 	i	b	a	a	d	í	b	ó	l	í	i	b	ó	n	g	ó	l	á	e	k	y	é	n	i	y	í	b	v	ú	a	</S>
cet	0.00436347	0.00532373	0.00430749	0.00427132	0.00666604	0.010272	0.0301639	0.0268132	0.0516073	0.072492	0.0914435	0.0890155	0.0864915	0.0774549	0.0607046	0.0414801	0.0349794	0.0271014	0.0232878	0.02104	0.0231566	0.024595	0.024645	0.0216482	0.0275298	0.0257028	0.0216909	0.0181466	0.0178922	0.0159775	0.00973637
homme	0.057508	0.321174	0.259192	0.135616	0.124434	0.0123487	0.00372778	0.00212407	0.00254732	0.00239485	0.00143373	0.00176609	0.000674258	0.000573402	0.00109412	0.00102588	0.000931482	0.00126495	0.003818	0.00391831	0.0031966	0.00631699	0.0116573	0.00968127	0.00935819	0.0053267	0.00371554	0.00479132	0.00431442	0.00252625	0.00154769
est	0.0259834	0.0208224	0.0318832	0.0365144	0.076181	0.072052	0.0498239	0.0377564	0.0277354	0.0281098	0.0286705	0.029306	0.031757	0.0377209	0.0410464	0.0469245	0.0703882	0.0447564	0.0304242	0.0290197	0.0339775	0.0349543	0.0224796	0.0152644	0.0210189	0.0146549	0.0138045	0.0164836	0.0120503	0.0131036	0.00533276
en	0.0229705	0.0587911	0.058974	0.0361108	0.0270202	0.038263	0.0304554	0.0107312	0.0339446	0.0282101	0.0268616	0.0232684	0.0293806	0.0234583	0.019401	0.017622	0.0235681	0.0259308	0.033291	0.0349801	0.0240648	0.0344468	0.0376081	0.040797	0.0384926	0.028565	0.0280274	0.0400212	0.0297667	0.0420695	0.0529083
train	0.033216	0.0210944	0.0170453	0.0117517	0.00867086	0.0115593	0.0099721	0.00898177	0.00988684	0.00937902	0.0148775	0.0215072	0.0297377	0.0288578	0.028671	0.0352288	0.0371783	0.0414854	0.0449605	0.0472784	0.0512232	0.0517069	0.0534436	0.0527955	0.0496302	0.0519016	0.0354223	0.0488022	0.03922	0.0458536	0.048661
de	0.0916955	0.0557793	0.0674846	0.045823	0.0493615	0.0301386	0.0207202	0.0202472	0.0174981	0.0381641	0.0169248	0.0109555	0.0120722	0.0226725	0.0228639	0.02139	0.029013	0.0144157	0.0142332	0.00952045	0.0120066	0.0167432	0.0182997	0.0234088	0.0222436	0.0242414	0.0323951	0.0229114	0.0344925	0.0385797	0.143705
rouler	0.0408106	0.0392097	0.0286055	0.0334405	0.0339915	0.0270804	0.0247961	0.0168764	0.0181893	0.0174092	0.0154559	0.0242539	0.0204268	0.0205213	0.019766	0.0282252	0.0399581	0.0313416	0.0431494	0.0405089	0.0275312	0.0403023	0.0533012	0.0530965	0.0436717	0.03438	0.0281901	0.0348284	0.0365828	0.0359758	0.0481235
un	0.0529082	0.0398106	0.0370777	0.0235824	0.0119854	0.0133875	0.0121739	0.00501327	0.00566222	0.00576115	0.00646893	0.00816045	0.0100006	0.0122697	0.0150033	0.0090092	0.0115189	0.0162273	0.0277355	0.0291663	0.0317421	0.0414007	0.0455456	0.0423232	0.030285	0.0404122	0.0271755	0.0439751	0.0519455	0.0873218	0.204951
tronc	0.0628493	0.042113	0.0337389	0.0201982	0.0060765	0.00757672	0.00683086	0.00360488	0.0051965	0.00655678	0.00630795	0.0099512	0.00988592	0.00670933	0.00983433	0.00931621	0.00995418	0.0132328	0.0222782	0.0254799	0.024396	0.0297271	0.0368707	0.0286134	0.0345881	0.0370704	0.0208215	0.0439565	0.0715711	0.0864368	0.268257
d'	0.130278	0.0735737	0.0775223	0.0620678	0.0644081	0.0494806	0.0382131	0.0206937	0.0148134	0.00987614	0.0116114	0.0126589	0.0137515	0.0140067	0.0182516	0.0115426	0.0137049	0.0237564	0.0238407	0.0234708	0.0234331	0.0202911	0.0182201	0.0179735	0.016761	0.0173765	0.0165315	0.0219989	0.0238027	0.0287887	0.0873001
arbre	0.0586825	0.0794766	0.0614824	0.0243616	0.00713275	0.00856514	0.00658912	0.00250748	0.0046896	0.00607059	0.00891541	0.0115145	0.0156129	0.0144539	0.0138692	0.0185565	0.0192536	0.0251414	0.0329167	0.0334195	0.0274353	0.0282432	0.0375801	0.0220512	0.0293228	0.0346353	0.0283179	0.0410309	0.0660653	0.0783906	0.153716
</S>	0.110821	0.0980461	0.0703927	0.018058	0.00326587	0.00489647	0.00380911	0.00179617	0.00149164	0.00183129	0.00424776	0.00782531	0.00893031	0.00714436	0.00763221	0.00771598	0.00744443	0.0129468	0.0152063	0.0160766	0.0170584	0.0126825	0.0149063	0.00878689	0.0140028	0.0179545	0.0172962	0.0326848	0.0580827	0.0876918	0.309275
