 	é	w	ú	r	ú	w	á	l	e	k	ώ	ώ	l	i	w	a	á	l	a	a	n	g	i	m	í	d	z	á	a	</S>
lorsqu'	0.0151179	0.00881186	0.00949688	0.00743465	0.00720407	0.0133612	0.0213375	0.0303659	0.0436635	0.0658631	0.0629737	0.0642244	0.0601788	0.0390372	0.0289046	0.0220602	0.0333585	0.022293	0.0173348	0.0184529	0.0258384	0.0207283	0.0253996	0.0240141	0.0637195	0.0637814	0.0582894	0.0508017	0.0398743	0.0360788
il	0.136523	0.0983639	0.0831238	0.0704693	0.0632882	0.111557	0.059446	0.0467466	0.0333183	0.0186464	0.0244866	0.0248742	0.0204259	0.0260772	0.020028	0.00804546	0.0147292	0.00496964	0.00539699	0.00631701	0.00744262	0.00835954	0.0287036	0.0264228	0.01044	0.00819099	0.00996377	0.00323306	0.00723952	0.0131713
est	0.0573056	0.042904	0.0325593	0.0555247	0.0432402	0.0326389	0.054273	0.055664	0.0413931	0.0327307	0.0317483	0.0431287	0.0280695	0.017405	0.0148493	0.0316768	0.0618069	0.0210616	0.0106484	0.0233857	0.0134364	0.0171881	0.0240012	0.0217937	0.0324115	0.0382496	0.0408687	0.0307469	0.0299899	0.0193003
rentré	0.0231827	0.0262196	0.027107	0.0248194	0.0364863	0.0432274	0.0697072	0.0785675	0.0592268	0.0568218	0.0331287	0.0319062	0.0326624	0.0605432	0.0344882	0.0271211	0.056377	0.0196211	0.0224889	0.0260967	0.0184862	0.0448164	0.0423623	0.0139759	0.00857371	0.00566771	0.00627156	0.00969289	0.0215944	0.0387599
de	0.0209573	0.0274772	0.0321944	0.0333387	0.0453088	0.0524646	0.0511634	0.0411658	0.0366234	0.0391039	0.0658148	0.0827944	0.0434529	0.064878	0.0229851	0.0151799	0.0333001	0.0326026	0.0142655	0.0097803	0.0105861	0.0130466	0.0144272	0.0106042	0.016264	0.00963151	0.0130789	0.0207288	0.0295977	0.0971838
l'	0.0368987	0.0381255	0.0342049	0.0319395	0.0338532	0.0286467	0.0286604	0.0276448	0.0219942	0.01265	0.0192632	0.0247522	0.0137609	0.0337584	0.0111399	0.0107156	0.0184868	0.0211241	0.0222441	0.0266345	0.0314788	0.0439568	0.0637294	0.0540677	0.0487917	0.0488354	0.0549455	0.0617885	0.0487104	0.047198
école	0.0614032	0.0468628	0.0324441	0.0344719	0.0382909	0.0394997	0.0263308	0.0190898	0.0179875	0.0192751	0.0382045	0.0457532	0.0545197	0.0492745	0.0331189	0.0250228	0.0250558	0.0304014	0.0218777	0.0216464	0.0175913	0.0217796	0.0233996	0.0168138	0.0294306	0.026304	0.0340267	0.0328817	0.0443132	0.0729289
il	0.0320922	0.0285202	0.0135453	0.0236098	0.0275428	0.0305389	0.0373357	0.035828	0.033232	0.0402086	0.0758947	0.134551	0.0535416	0.0716742	0.0274781	0.0418847	0.0431312	0.019543	0.0122348	0.0145731	0.00727112	0.0118412	0.00967551	0.00468057	0.00705164	0.00769985	0.0101797	0.0221678	0.0379904	0.0844825
a	0.142768	0.0607468	0.0388255	0.0401545	0.0250497	0.0195115	0.0167173	0.0131777	0.0135499	0.015568	0.0252474	0.0443188	0.0269816	0.0242106	0.0282155	0.0346043	0.0297116	0.020053	0.0158377	0.0129228	0.0128628	0.0141017	0.0149819	0.0112113	0.0276681	0.0253552	0.0408597	0.0590163	0.0591678	0.0866031
bondit	0.0577669	0.0382635	0.0279839	0.0251069	0.0182454	0.0174074	0.0172438	0.0150276	0.0130827	0.0140927	0.0139179	0.0162878	0.0143321	0.0140445	0.0212521	0.0353441	0.0357566	0.0472573	0.0427508	0.0359544	0.0320996	0.0367793	0.0458039	0.0322818	0.0407918	0.0386014	0.051854	0.0554676	0.0639893	0.0812128
sur	0.0547234	0.0574656	0.0357461	0.0266203	0.0219204	0.0212258	0.0178465	0.0153662	0.0118833	0.00863039	0.0101547	0.0109158	0.0101607	0.00874024	0.00764706	0.0124745	0.0141289	0.0212815	0.0200285	0.0258953	0.0222201	0.0403289	0.0482398	0.0350292	0.0422692	0.0387598	0.0603267	0.0855269	0.0803612	0.134083
la	0.0526049	0.0447686	0.0341833	0.0258732	0.0197738	0.0194022	0.0167311	0.0165087	0.0156499	0.00919776	0.00996599	0.00980905	0.0100435	0.0142779	0.0134182	0.0133382	0.0191109	0.0334993	0.0289707	0.0251698	0.0300408	0.0317908	0.0488875	0.0393095	0.0392312	0.0408471	0.0521424	0.0683298	0.0769273	0.140196
nourriture	0.0447153	0.0270587	0.0198845	0.0165286	0.0114107	0.0201262	0.00663055	0.00666846	0.00650826	0.00531938	0.00553327	0.00602685	0.00719336	0.00975662	0.0120784	0.0149941	0.0172703	0.0211926	0.0200186	0.0181745	0.0170393	0.0179339	0.0241867	0.0202462	0.0408819	0.0772049	0.0930463	0.117743	0.0892313	0.205397
</S>	0.0375776	0.03966	0.0300277	0.0301054	0.028239	0.0356398	0.0306982	0.0290342	0.0259524	0.0224422	0.0212102	0.0199995	0.0193409	0.0143354	0.013968	0.0260723	0.0347699	0.0253173	0.0290196	0.0382268	0.0296493	0.040201	0.0489398	0.0309231	0.0394942	0.0325397	0.0420606	0.0440943	0.0550091	0.0854525
