 	o	b	o	s	ó	b	ó	ó	d	z	e	m	w	á	n	a	l	á	a	d	z	w	á	n	g	o	l	o	y	á	p	o	o	t	á	á	á	b	h	á	m	b	i	w	á	l	e	t	s	a	t	s	a	e	</S>
avant	0.00757697	0.011006	0.0145266	0.0121639	0.0182511	0.021542	0.0251465	0.0301285	0.0330126	0.0373417	0.0383786	0.0436712	0.0502581	0.0720644	0.0382855	0.0270779	0.0419822	0.0152748	0.0166152	0.0152687	0.0128954	0.0165386	0.00907243	0.00850222	0.0191528	0.00947749	0.00782389	0.00878584	0.00610125	0.00729308	0.00844589	0.00717562	0.00702873	0.00551963	0.00683302	0.00745416	0.00673746	0.0045972	0.00660547	0.00462399	0.00857771	0.00733993	0.0103932	0.0177201	0.0168812	0.018899	0.0242782	0.0226001	0.024611	0.0200228	0.020143	0.0199039	0.0186315	0.0154412	0.0143208
que	0.0581965	0.0385279	0.0183336	0.0143309	0.010804	0.00901483	0.0105271	0.00987479	0.0126657	0.0111208	0.0264659	0.0293776	0.0238709	0.0439533	0.0512419	0.0501878	0.0623131	0.0390565	0.0286668	0.036249	0.0236048	0.0165668	0.0255209	0.0281517	0.0281758	0.0196632	0.0157912	0.0116429	0.0185056	0.00897126	0.0103202	0.00753255	0.00637649	0.00650484	0.0158041	0.0169711	0.0115459	0.0255868	0.0092895	0.010541	0.0045582	0.00766026	0.0041347	0.0136197	0.00377004	0.00629015	0.00671933	0.00583378	0.00602205	0.00648116	0.00630891	0.00706613	0.00853856	0.00649182	0.00465981
l'	0.0497996	0.0397776	0.0243757	0.017049	0.0202885	0.018519	0.0116891	0.0110664	0.0141806	0.0126953	0.0123998	0.00760407	0.00717531	0.00842011	0.0153119	0.0205658	0.0364708	0.0208497	0.0207053	0.0446384	0.0303639	0.027752	0.029879	0.0564856	0.0283613	0.0218153	0.0249486	0.0241769	0.0142187	0.0215815	0.0176541	0.0116616	0.00998672	0.0093569	0.0131592	0.0106325	0.020217	0.0234452	0.0148955	0.0280492	0.0124789	0.0114532	0.0104567	0.00962081	0.00846652	0.00720363	0.00797565	0.00824459	0.00792574	0.00880801	0.0103696	0.010678	0.0116448	0.010765	0.0116857
enfant	0.0251157	0.0370773	0.0316239	0.0271063	0.0250533	0.01881	0.0146546	0.0177278	0.0152566	0.0141414	0.014564	0.0136242	0.0149084	0.0269632	0.0325287	0.025042	0.0169143	0.017905	0.0174968	0.0245825	0.0231349	0.0143847	0.00853317	0.0261282	0.0147678	0.0115362	0.0314814	0.00955268	0.0207184	0.0210464	0.0235394	0.0164797	0.0388854	0.0234035	0.0514577	0.0428381	0.0349925	0.0389455	0.0204174	0.0169743	0.012039	0.00778208	0.00474543	0.0069093	0.00324453	0.00163517	0.00171409	0.00193509	0.00250661	0.00190505	0.00149161	0.00418227	0.00517219	0.00760849	0.0168159
ne	0.0184526	0.023274	0.0266223	0.0343928	0.0470547	0.0333904	0.0242864	0.0157564	0.00988105	0.00932945	0.008505	0.00882698	0.0118513	0.0201045	0.0110493	0.0166673	0.0145017	0.0164516	0.0104529	0.0172117	0.0137485	0.0156266	0.017087	0.0319676	0.0265843	0.0144419	0.0327621	0.0125475	0.0289821	0.0193347	0.0308846	0.0265138	0.0564518	0.0329664	0.0453174	0.0258236	0.0386841	0.0298469	0.0180897	0.0145319	0.0124195	0.00812373	0.00492317	0.00248416	0.00201025	0.00164831	0.00176154	0.00138797	0.00132424	0.00172613	0.00240564	0.00271369	0.0072976	0.0149936	0.0245259
voy	0.0183496	0.0160879	0.0158212	0.0183581	0.0193092	0.0165456	0.015299	0.0153594	0.0117286	0.00967756	0.00929463	0.0109649	0.0122748	0.0119988	0.0066954	0.00597375	0.0102258	0.0109578	0.0105148	0.0158955	0.0134965	0.0112712	0.015682	0.0338541	0.0301026	0.016051	0.0324903	0.0150805	0.0354163	0.0210616	0.0325156	0.0327752	0.0436494	0.0425336	0.0375589	0.0386712	0.0388687	0.0436462	0.0302332	0.0146435	0.0202052	0.0145844	0.0077619	0.00708287	0.00437522	0.00595781	0.00659213	0.00653561	0.00698848	0.00755367	0.00878507	0.00961284	0.0164433	0.0187304	0.017857
age	0.0089996	0.011692	0.00860075	0.00904431	0.0089348	0.00666499	0.0055029	0.00595239	0.00840695	0.00863682	0.00805866	0.0126797	0.0104867	0.015913	0.0125035	0.0171677	0.0104922	0.0236996	0.00902469	0.0180808	0.011385	0.0140041	0.0326562	0.0655338	0.0207714	0.0269054	0.0354568	0.0180138	0.0345557	0.0329009	0.0452054	0.0544786	0.0696553	0.0437642	0.0447752	0.0336134	0.0410358	0.0246905	0.0171096	0.017071	0.0159463	0.00829012	0.0034673	0.00173716	0.0018785	0.00157742	0.00173447	0.00182403	0.00213772	0.00171772	0.00184777	0.00311494	0.00685302	0.0105847	0.0331649
son	0.0135778	0.0137438	0.00922864	0.00980956	0.00782967	0.00660354	0.00586142	0.00584651	0.00630771	0.00601145	0.00512833	0.00553473	0.00683721	0.00842147	0.00619898	0.00948909	0.017583	0.00828589	0.013511	0.0228453	0.02212	0.0252717	0.0309188	0.0439756	0.0411513	0.0473968	0.0492588	0.0466283	0.0414172	0.0419739	0.0468175	0.0420107	0.0393333	0.0291405	0.0253395	0.0218321	0.0251043	0.0153343	0.0208077	0.0142926	0.014285	0.00954532	0.00814251	0.00310889	0.0019871	0.00226598	0.00319609	0.00376301	0.00447068	0.00359434	0.00336061	0.00718028	0.0125351	0.0212192	0.0425658
père	0.0371168	0.0279233	0.0173859	0.015146	0.00813601	0.00582857	0.00718535	0.00864918	0.0102608	0.0114565	0.0117446	0.0142091	0.011725	0.0147575	0.010164	0.013621	0.0130442	0.0153787	0.013726	0.0162848	0.0176354	0.018507	0.019911	0.0240635	0.029074	0.0226469	0.0249508	0.0266828	0.0193768	0.0215012	0.0308084	0.0200428	0.0225091	0.0199128	0.0209955	0.0185327	0.0208229	0.0175124	0.0167372	0.0175493	0.0158165	0.015728	0.0141302	0.00995989	0.00887674	0.00969772	0.0111746	0.011299	0.0201662	0.0162181	0.0118281	0.0267255	0.0308965	0.0286064	0.0553607
l'	0.0249833	0.0139961	0.0116012	0.0101404	0.0083457	0.00696828	0.00718903	0.006047	0.00552295	0.00599817	0.00555005	0.00627145	0.00315436	0.00315376	0.00234503	0.0021415	0.00354234	0.00338202	0.00385246	0.0055797	0.00698368	0.00476384	0.0162602	0.0142179	0.0226599	0.0181926	0.0273363	0.0268347	0.0245147	0.0242274	0.0404894	0.0336092	0.0586338	0.0408648	0.0376713	0.038062	0.0467063	0.0254023	0.036691	0.029432	0.0375941	0.025903	0.0161192	0.0109072	0.00888329	0.0111178	0.0143651	0.0135475	0.0141959	0.0146624	0.0148245	0.0162088	0.0242034	0.0300545	0.0340948
