 	n	z	a	m	b	é	á	p	έ	y	e	s	ú	k	ó	m	b	ó	l	í	í	p	é	n	d	í	a	k	ó	m	b	ó	á	t	s	ω	m	é	n	g	y	ε	n	d	z	ε	</S>
dieu	0.0111071	0.0107128	0.0126739	0.0127812	0.0184765	0.019894	0.0205417	0.0281496	0.0310856	0.0371444	0.0446394	0.0677829	0.0801701	0.0772697	0.0681709	0.0514428	0.0215123	0.0111056	0.0140945	0.00616344	0.009346	0.00957223	0.0105647	0.0172608	0.0152405	0.00884102	0.0134382	0.0124713	0.0130446	0.011016	0.0136397	0.0166099	0.0118074	0.00997995	0.0168847	0.0144331	0.0122045	0.0103945	0.0134614	0.0114786	0.0161915	0.00896241	0.0118057	0.0154575	0.0154244	0.0181469	0.0174042
a	0.0374034	0.0668637	0.0546199	0.025646	0.0406843	0.0327579	0.0119096	0.0127191	0.00873215	0.010957	0.025978	0.0337364	0.0892338	0.0772192	0.0361347	0.0284326	0.0201797	0.0147725	0.00570956	0.00366819	0.00361367	0.00357841	0.00430809	0.00942572	0.00532334	0.00826405	0.00977902	0.0175174	0.0152822	0.0103026	0.0272997	0.0285431	0.0351887	0.00992286	0.0284841	0.0147523	0.0226921	0.00995732	0.0221603	0.0104368	0.0194146	0.0117203	0.007866	0.0131384	0.00604992	0.00258517	0.00503605
donné	0.0242611	0.0301999	0.0264034	0.0237462	0.0214179	0.0169446	0.0183665	0.0156562	0.00808563	0.00951179	0.00848075	0.0117848	0.0131464	0.0112681	0.0135499	0.020813	0.00870651	0.011949	0.00860245	0.0143925	0.0199804	0.0177299	0.0223033	0.0187452	0.0325926	0.0224603	0.0209535	0.0319652	0.0234567	0.0339957	0.0347958	0.0333478	0.0413807	0.027609	0.0335484	0.0479806	0.0407392	0.0345405	0.0424564	0.0208985	0.0190242	0.0258427	0.0114455	0.0101422	0.00687694	0.00551398	0.00238813
à	0.00880003	0.0131861	0.0228754	0.0330417	0.0346314	0.0351364	0.03816	0.0309218	0.0240371	0.0276438	0.02464	0.0249226	0.0245762	0.0241939	0.0249816	0.025344	0.0218991	0.0254253	0.0240623	0.0407462	0.029936	0.0354511	0.0279619	0.0200936	0.0203657	0.0200867	0.0144408	0.0133933	0.0146641	0.0141346	0.0122835	0.00988879	0.0149441	0.0121601	0.0105779	0.0159432	0.0133221	0.0124262	0.0102957	0.0103202	0.00956464	0.0142162	0.0121629	0.0149689	0.0290367	0.0323704	0.025766
jésus	0.0174736	0.0178261	0.0210563	0.0250702	0.0318102	0.0381438	0.0396377	0.0395042	0.0303692	0.0306924	0.0207759	0.0155654	0.0124142	0.0178841	0.018335	0.0304351	0.0302203	0.0302381	0.0212319	0.0202783	0.0173319	0.0218109	0.0199523	0.0236922	0.0190968	0.0279486	0.0178904	0.014368	0.0193449	0.0145711	0.0159132	0.0163435	0.0140033	0.0125665	0.0122119	0.0109217	0.00752925	0.00894976	0.00980256	0.010478	0.00903285	0.0117305	0.0123268	0.0187372	0.0265165	0.036602	0.0613657
le	0.0236161	0.0239466	0.0206394	0.0204588	0.0198836	0.0181501	0.0212008	0.0147869	0.0106339	0.0100404	0.00879598	0.00862353	0.00650814	0.00868225	0.00962451	0.015756	0.0359657	0.0272752	0.0396548	0.0287913	0.0214337	0.0310658	0.0324155	0.0318393	0.0277813	0.0441687	0.0190927	0.0222643	0.0184947	0.0168757	0.0207102	0.0198315	0.0240302	0.0179785	0.0230522	0.015659	0.0172477	0.0169037	0.0217553	0.0182126	0.0186753	0.0170392	0.0155224	0.0180574	0.022911	0.0286229	0.0453252
nom	0.0260731	0.0328533	0.0272859	0.0266835	0.0250553	0.0222433	0.0175507	0.00967559	0.00961935	0.00932366	0.00915315	0.00857141	0.00737566	0.00874573	0.0126056	0.0173922	0.0298704	0.0135532	0.0192954	0.0111164	0.00762068	0.0081326	0.00968725	0.0132105	0.0114512	0.0187514	0.0192285	0.0277446	0.0249266	0.0205332	0.0304176	0.0275153	0.0241567	0.0268727	0.0373587	0.0213496	0.0319525	0.0311214	0.0345994	0.0221476	0.0301538	0.0265722	0.0213931	0.0264094	0.024645	0.0296492	0.0483563
qui	0.0287264	0.0159447	0.011744	0.0116754	0.0154903	0.0180768	0.0195241	0.00993659	0.0104899	0.00998284	0.00940349	0.00959157	0.00954016	0.00760423	0.0108178	0.0135229	0.0175033	0.0175924	0.016214	0.0187106	0.0171798	0.0249965	0.0201477	0.0216667	0.027452	0.0375309	0.0403618	0.0323798	0.0320718	0.0393011	0.0524352	0.0289089	0.0257291	0.0584336	0.0351461	0.0280991	0.0246141	0.0324863	0.0254079	0.0178352	0.0103257	0.0123017	0.0138667	0.0126359	0.0102793	0.011745	0.0245705
dépasse	0.0416367	0.0187897	0.0149434	0.0133356	0.0170996	0.0149668	0.00782158	0.010016	0.0117131	0.012411	0.0171191	0.0151773	0.0146182	0.015414	0.0139645	0.0177613	0.0268544	0.0155755	0.0210964	0.0129469	0.0115998	0.0173386	0.0133748	0.0159271	0.0238618	0.0232753	0.0336955	0.0327268	0.0242855	0.0346884	0.0288009	0.0228871	0.027963	0.03936	0.0288157	0.0259623	0.0204998	0.0270672	0.0183725	0.022246	0.0280401	0.0249385	0.024246	0.0222323	0.0238915	0.0184744	0.0321681
tout	0.0310667	0.0233067	0.0206199	0.0185616	0.0160795	0.0119427	0.00657552	0.00551261	0.00621371	0.00643148	0.00792789	0.00696939	0.0076638	0.0062342	0.0065681	0.00836524	0.00953612	0.00865833	0.0117275	0.0111105	0.0102601	0.0115388	0.0146772	0.0120223	0.0165523	0.0153352	0.0216461	0.0220827	0.0235632	0.021074	0.030877	0.0225727	0.0261312	0.0452223	0.0335416	0.0257582	0.0265933	0.0360734	0.0280609	0.0278113	0.0248118	0.0250552	0.0295099	0.0384553	0.0535028	0.0506758	0.0755237
