 	b	í	s	í	l	é	t	u	b	h	u	u	m	á	a	s	á	w	ó	m	á	</S>
nous	0.12033	0.153382	0.0926905	0.0964229	0.0694648	0.0277883	0.0439144	0.0521239	0.0627399	0.064412	0.0329737	0.0252503	0.023336	0.0184858	0.0158539	0.0122067	0.00917371	0.0137826	0.0154955	0.0172159	0.0135179	0.0194396
avons	0.0353167	0.0374169	0.0474539	0.0355983	0.0512993	0.0574748	0.0668924	0.0698948	0.0755321	0.076088	0.072584	0.0564575	0.0661942	0.0588037	0.0580215	0.0384917	0.035738	0.0283622	0.0120816	0.0058941	0.00646434	0.00793973
marché	0.0584117	0.0776555	0.0375075	0.030039	0.0140607	0.0230847	0.0336144	0.0422205	0.0928184	0.0744202	0.0533158	0.0558332	0.0587568	0.0506143	0.0527723	0.0393293	0.0540788	0.0478092	0.0269495	0.0291369	0.019533	0.0280384
dans	0.0143168	0.0114668	0.0114656	0.0186454	0.0296826	0.0202202	0.0263769	0.0386134	0.0500983	0.0555493	0.0736189	0.0829186	0.0850615	0.0732508	0.0675357	0.0636848	0.0573724	0.0313582	0.052791	0.0580366	0.0375716	0.0403644
l'	0.0166281	0.00862409	0.0081603	0.0102182	0.0114028	0.01813	0.0327902	0.0355418	0.0409623	0.0499606	0.0491468	0.0460791	0.0412302	0.0609582	0.077639	0.0908869	0.081069	0.048832	0.0597356	0.101306	0.0471148	0.0635837
eau	0.0270761	0.0365304	0.0330593	0.0309094	0.0272995	0.0292778	0.0211382	0.0190908	0.0219339	0.0179313	0.0193474	0.0306385	0.0466308	0.0602563	0.0655076	0.0671137	0.062103	0.0583096	0.0683599	0.0756179	0.0677259	0.114143
de	0.0218001	0.0251083	0.0212931	0.0201913	0.0184788	0.0203519	0.0231711	0.0284443	0.0352225	0.0407505	0.0366047	0.0414414	0.0327115	0.0481954	0.0520962	0.0607905	0.0661694	0.0597664	0.0663196	0.0892642	0.0929042	0.0989249
la	0.0249956	0.02904	0.0263056	0.0261979	0.0253284	0.0255486	0.0289647	0.0293119	0.0339827	0.0243881	0.0189983	0.018963	0.0268606	0.0480028	0.0587603	0.0715901	0.0719099	0.0487373	0.0895267	0.0911164	0.0843215	0.0971496
vouma	0.0243705	0.0289803	0.0287479	0.0252509	0.0266361	0.0225822	0.0124177	0.0117945	0.0101511	0.0100318	0.00938675	0.0128099	0.0177972	0.0308474	0.0646629	0.0700257	0.0707028	0.065807	0.114381	0.116053	0.100287	0.126276
</S>	0.050912	0.0362372	0.0342616	0.0293122	0.024738	0.0210377	0.0183736	0.0200844	0.0193251	0.0186207	0.0157987	0.0167677	0.0182215	0.0285038	0.0407429	0.04598	0.0554112	0.0803385	0.0950541	0.101595	0.10317	0.125514
