 	n	g	á	í	l	o	n	i	i	s	e	b	ω	n	g	ω	m	í	k	y	a	l	ó	p	i	t	á	á	l	e	</S>
je	0.102229	0.224097	0.206466	0.0985081	0.138037	0.0327656	0.0187764	0.00902943	0.00994117	0.0094516	0.00697986	0.00579502	0.00550753	0.00579384	0.00789693	0.00840077	0.00964529	0.00675454	0.005885	0.00710702	0.00735082	0.00784367	0.00703594	0.00749981	0.00705984	0.00718687	0.00766861	0.00682703	0.00655282	0.00775219	0.00815476
suis	0.0826521	0.0232524	0.044013	0.0520162	0.0299306	0.0319116	0.0237714	0.0377693	0.0445607	0.172327	0.0925292	0.0454268	0.0471791	0.0233473	0.0421157	0.0441409	0.0238244	0.0168014	0.0193106	0.0142381	0.00810578	0.00829192	0.0057215	0.00736589	0.00663501	0.00657634	0.00532409	0.0115178	0.00737425	0.00843338	0.0135368
resté	0.0106291	0.00560507	0.00516328	0.00865895	0.00869754	0.0168046	0.0198688	0.0329195	0.0321642	0.0254545	0.0332863	0.0316063	0.0302516	0.0350728	0.0423201	0.0339641	0.0364095	0.0382362	0.0651024	0.0593326	0.0754959	0.0340219	0.0577159	0.0701768	0.0597083	0.0311635	0.0223771	0.0237214	0.0174554	0.0201246	0.0164916
longtemps	0.00731418	0.00515488	0.00402443	0.00200197	0.00279825	0.00900062	0.0168747	0.0394144	0.0489095	0.037544	0.0425243	0.0617077	0.0593006	0.0632292	0.0290332	0.022206	0.0327094	0.0640595	0.0863243	0.0451907	0.0377669	0.0283973	0.0320673	0.0267583	0.0274024	0.0343203	0.0284197	0.0271023	0.0283486	0.0305999	0.0194951
à	0.0136402	0.0115641	0.00813876	0.0094717	0.0187116	0.0361107	0.0432311	0.0530237	0.0752074	0.035334	0.0360617	0.0407471	0.0355839	0.0356657	0.0284248	0.0258891	0.0371761	0.0504331	0.0443246	0.0375032	0.0273788	0.0186774	0.0275234	0.0194985	0.0246455	0.0234093	0.0188376	0.0254325	0.0304804	0.0388337	0.0690403
boundji	0.0256564	0.0163403	0.0126995	0.0097388	0.0143085	0.0186372	0.0197491	0.0292885	0.0259425	0.0289378	0.0313683	0.0360064	0.0401367	0.044339	0.0341111	0.0310378	0.030855	0.0320968	0.0305022	0.0313962	0.0509556	0.0369479	0.0514026	0.0523368	0.0552672	0.0424425	0.0372798	0.0296038	0.0276819	0.0290948	0.0438389
pour	0.0350841	0.0449299	0.0315681	0.0221812	0.0136622	0.0153262	0.0186163	0.0249772	0.0244161	0.0239418	0.0249387	0.0272338	0.0352804	0.0362465	0.0288079	0.0381374	0.0380059	0.0348926	0.0341886	0.031735	0.0297296	0.0263694	0.032071	0.0283008	0.0311976	0.034893	0.0298906	0.0402233	0.0453174	0.0451915	0.072646
suivre	0.0526806	0.0400154	0.0284502	0.0167851	0.0129561	0.0188453	0.0223605	0.0259173	0.0254589	0.026033	0.0246561	0.0266025	0.0254518	0.0285741	0.0294591	0.0455032	0.046248	0.0431456	0.0411079	0.0341848	0.0363046	0.0230963	0.0342511	0.0322549	0.0432399	0.0353092	0.0236737	0.0369154	0.035701	0.0388919	0.0459265
le	0.025566	0.0225794	0.021873	0.0209901	0.0204927	0.0218847	0.0238724	0.0261034	0.0279308	0.0238441	0.0244238	0.0243673	0.0247911	0.0251541	0.0242725	0.0293748	0.0384025	0.0344505	0.0246461	0.0229029	0.0208048	0.0175362	0.023583	0.0204813	0.0326267	0.0474207	0.0344176	0.0656702	0.0707532	0.0732634	0.0855208
traitement	0.0104173	0.0096657	0.00938445	0.0101693	0.0101252	0.0105946	0.0158016	0.0191174	0.0157199	0.0209517	0.0223417	0.0278809	0.0350773	0.035436	0.0305594	0.0376382	0.0354596	0.02679	0.0230681	0.0207497	0.0211531	0.016856	0.0234224	0.028137	0.0396835	0.0471565	0.0472057	0.0757995	0.0821886	0.085125	0.106324
à	0.0517967	0.0249709	0.01796	0.0212152	0.0151291	0.013029	0.0193874	0.0231239	0.0240719	0.0274904	0.0268984	0.0296696	0.035261	0.0358592	0.0346151	0.0510692	0.0360394	0.0339477	0.0297328	0.0265534	0.0272715	0.022468	0.0220147	0.0222494	0.0247794	0.0319939	0.0300632	0.0406706	0.0440559	0.049623	0.10699
l'	0.0498833	0.0272654	0.023465	0.0170962	0.0164008	0.0195946	0.0185453	0.0254795	0.0233742	0.028488	0.0181059	0.0226892	0.0209469	0.0172984	0.0179917	0.0437018	0.0350889	0.0318631	0.0401314	0.0437457	0.0492139	0.0462656	0.0488848	0.0391822	0.0409148	0.0364454	0.0255729	0.0337946	0.0297095	0.0407625	0.0680986
hôpital	0.0215694	0.0168804	0.0146477	0.0120828	0.00731701	0.0104237	0.0151071	0.0200491	0.0163654	0.0205196	0.0150097	0.0171415	0.0197282	0.0158378	0.0167615	0.034504	0.0428467	0.0361823	0.0498642	0.0460608	0.0350976	0.0265623	0.0402328	0.0320804	0.0341102	0.0482301	0.030917	0.0596939	0.0627054	0.0740898	0.107382
</S>	0.0696243	0.0208562	0.0134803	0.0107364	0.00645596	0.00870739	0.0114316	0.0169668	0.0141855	0.0218093	0.0139099	0.0167834	0.0192209	0.0150279	0.0174571	0.0496066	0.0519483	0.0500354	0.0670169	0.0526383	0.0365253	0.0329882	0.0259474	0.0180193	0.0155858	0.0256029	0.0157269	0.0386466	0.0533105	0.0666543	0.123094
