 	n	y	ω	s	í	á	m	i	f	u	b	á	á	i	k	o	ó	ó	</S>
l'	0.0247858	0.0157806	0.00751653	0.00665093	0.00993046	0.0111016	0.0204531	0.0380324	0.0824771	0.108623	0.182807	0.221567	0.132798	0.0538843	0.0280078	0.014133	0.0125701	0.0137199	0.0151604
oiseau	0.0131363	0.0215739	0.0811312	0.0800552	0.136172	0.170252	0.197667	0.156318	0.0867314	0.0218374	0.00837037	0.00533604	0.0079443	0.00847339	0.00181853	0.000982982	0.000824731	0.000655133	0.000720101
s'	0.0266394	0.0220786	0.0176365	0.0180275	0.024609	0.0418142	0.0473595	0.0633662	0.0829316	0.119543	0.149152	0.136764	0.144109	0.0666559	0.0165825	0.00636539	0.00533194	0.00599126	0.00504227
est	0.0506241	0.086519	0.0853649	0.100243	0.11676	0.141043	0.118971	0.0967362	0.0313418	0.0221438	0.0182073	0.0160178	0.0214798	0.0186346	0.0139972	0.00717698	0.0116419	0.0148788	0.0282194
envolé	0.0607475	0.0397288	0.0463888	0.0613121	0.0742662	0.0838279	0.0848074	0.0761628	0.0483772	0.0423402	0.0428424	0.035384	0.0428041	0.0494174	0.0496484	0.0400907	0.0396642	0.0402586	0.0419313
loin	0.0507673	0.0385413	0.0444471	0.0513302	0.0511903	0.0383651	0.0325843	0.0250774	0.0210222	0.0203849	0.0171767	0.0164629	0.0179665	0.0452252	0.0781685	0.093834	0.107974	0.0934082	0.156074
dans	0.0731844	0.0545105	0.0512672	0.0613596	0.0534281	0.0330499	0.0268416	0.0286279	0.0363701	0.0206513	0.0244376	0.0239909	0.0212427	0.0282076	0.0469666	0.067086	0.0860782	0.0911997	0.1715
les	0.0765459	0.0718544	0.0702875	0.0694919	0.0644426	0.065937	0.0679889	0.0551134	0.0219351	0.00417417	0.00309707	0.00258446	0.00531382	0.0111898	0.0262908	0.0528997	0.0595783	0.0832586	0.188017
air	0.0790782	0.0714138	0.0694384	0.0637524	0.0450733	0.0268112	0.0184295	0.0122043	0.00585942	0.0023166	0.00224462	0.00298655	0.00677141	0.0187534	0.0402181	0.0717534	0.117526	0.125996	0.219373
</S>	0.133506	0.0961956	0.0747536	0.0537457	0.034446	0.0187818	0.0151398	0.0202502	0.010257	0.00289561	0.0030129	0.00343645	0.00757152	0.019188	0.0382749	0.0671523	0.0841585	0.103791	0.213444
