 	t	á	á	w	á	á	l	á	a	t	i	á	l	a	n	ω	k	á	a	o	d	i	d	z	ó	o	</S>
quand	0.021844	0.0330882	0.0430856	0.0556629	0.068938	0.0813567	0.029556	0.0210617	0.037995	0.0402923	0.037629	0.0446847	0.0444612	0.0473042	0.046792	0.0524921	0.0732603	0.0354992	0.0153469	0.016692	0.0227936	0.0375022	0.0250235	0.013852	0.0156911	0.0155908	0.0225045
le	0.127529	0.0397461	0.0249864	0.0146263	0.029759	0.0438399	0.0274487	0.0454966	0.0374687	0.0427049	0.0423048	0.0479297	0.0885877	0.0566893	0.0194938	0.0457883	0.0699063	0.047008	0.0241548	0.0305373	0.0181561	0.0193951	0.0149565	0.00758017	0.00718471	0.00686293	0.0198588
père	0.0361242	0.0303392	0.0263036	0.0247925	0.051404	0.0337913	0.0793846	0.063898	0.0653288	0.0886188	0.0679423	0.0577125	0.0517556	0.0763107	0.0497924	0.0346365	0.0242922	0.0135141	0.00741286	0.0191184	0.0116845	0.012	0.0124901	0.00959621	0.00979122	0.0170868	0.0248788
te	0.0420722	0.0231892	0.0148438	0.00676159	0.00902714	0.0139971	0.0173937	0.0225898	0.0281418	0.041202	0.0472843	0.037254	0.0492175	0.0525591	0.0428273	0.0580817	0.0356218	0.031223	0.043824	0.03563	0.0444122	0.0453595	0.0479745	0.0428494	0.0521251	0.0559293	0.0586089
parle	0.0423572	0.027471	0.0199886	0.026975	0.0206008	0.0305039	0.0322331	0.0520285	0.0573617	0.0426985	0.046041	0.0468182	0.0656886	0.0601255	0.0550317	0.0460151	0.0395897	0.0308158	0.022563	0.0251535	0.0195674	0.0213411	0.0284086	0.0262196	0.0276005	0.0284111	0.0583912
tu	0.0491686	0.0229547	0.0214471	0.0236034	0.0275994	0.0403656	0.0534208	0.0565998	0.054102	0.0424373	0.0323037	0.0345114	0.0371853	0.0378331	0.0417346	0.0365771	0.0372309	0.0292289	0.0225569	0.0136398	0.0146849	0.0143727	0.0183391	0.0253871	0.03532	0.0459445	0.131451
dois	0.0306845	0.012918	0.0142168	0.015345	0.0184931	0.0261546	0.037864	0.0361091	0.0290277	0.0283516	0.0237763	0.0288696	0.0314818	0.0481726	0.0526065	0.0395958	0.0582718	0.079706	0.056394	0.0250344	0.0173865	0.0204138	0.0284046	0.0235782	0.040468	0.0599826	0.116693
rester	0.0236745	0.0115788	0.0139665	0.0173449	0.014072	0.0177112	0.0343743	0.0141003	0.015009	0.0185847	0.0390433	0.0294497	0.0251823	0.0459149	0.0454668	0.0471641	0.0462465	0.0485342	0.0537886	0.0220082	0.0225453	0.0128797	0.013834	0.0166331	0.0525235	0.0729549	0.225415
calme	0.0291474	0.0123778	0.0113799	0.0130105	0.0115326	0.0132956	0.0206381	0.016281	0.0168459	0.0279618	0.0299157	0.03506	0.0228946	0.0376126	0.0365975	0.0349786	0.0515905	0.0751704	0.0413022	0.0211568	0.00951376	0.010652	0.0179794	0.0329161	0.0535139	0.0580801	0.258595
</S>	0.0679255	0.0371129	0.0308022	0.0332681	0.0481664	0.0442541	0.0626419	0.0285456	0.0252685	0.0306043	0.0306925	0.015533	0.0155653	0.0155648	0.0139454	0.0123506	0.015117	0.0146467	0.0138486	0.0115912	0.0165217	0.0237437	0.0292886	0.0627417	0.0713505	0.0858395	0.143069
