 	a	t	y	e	e	l	i	á	d	i	m	ó	l	e	k	ó	n	y	i	</S>
les	0.116979	0.0354072	0.0228061	0.0121567	0.0144119	0.0237485	0.0536076	0.057247	0.0461295	0.0361415	0.0805815	0.153873	0.0421002	0.0606886	0.0746853	0.0312836	0.0549449	0.0295282	0.0324975	0.0211825
ouvrières	0.0399362	0.0630189	0.104757	0.155934	0.160006	0.106671	0.093074	0.0464151	0.0228754	0.0199488	0.0501633	0.019359	0.024311	0.0220377	0.0190146	0.0118469	0.0134789	0.0107298	0.0115088	0.00491417
des	0.0255407	0.0435013	0.0351667	0.0482267	0.0433078	0.0466588	0.0653017	0.0558796	0.0228196	0.055025	0.0659638	0.0912064	0.110292	0.0822633	0.0486783	0.0465908	0.0281486	0.0194284	0.0269562	0.0390443
termites	0.0554939	0.0987729	0.0764579	0.0711164	0.0685236	0.0500999	0.0432366	0.0705243	0.054325	0.0246636	0.0220528	0.0627986	0.0176637	0.0202034	0.0227745	0.0256278	0.0410528	0.0366118	0.0336394	0.104361
sont	0.0783278	0.0888934	0.0763295	0.0805663	0.062967	0.0377575	0.0359845	0.0429527	0.0255697	0.0230293	0.0191572	0.020346	0.0211908	0.0261803	0.0350027	0.0411567	0.0338065	0.0334465	0.0301824	0.187153
sur	0.0353957	0.0315485	0.0373265	0.044219	0.0474997	0.042399	0.0329071	0.0266976	0.0167431	0.0190139	0.0296297	0.059069	0.0743063	0.0900202	0.0887273	0.0875163	0.0509243	0.0526957	0.0447251	0.0886361
le	0.0374926	0.0259555	0.0337937	0.0433226	0.0479391	0.0441677	0.0427603	0.0298859	0.0202181	0.0273105	0.0425318	0.114783	0.0541917	0.0523227	0.0549848	0.0652912	0.0589469	0.0723485	0.0558665	0.0758872
bois	0.0378343	0.0435581	0.0494416	0.0676923	0.0722953	0.0538045	0.0286557	0.0149993	0.012698	0.0128991	0.0126581	0.0269285	0.0215465	0.0370581	0.045123	0.0757852	0.0675611	0.0805551	0.070601	0.168305
mort	0.0571346	0.0552998	0.0544407	0.0456961	0.0241265	0.0105458	0.006034	0.00431629	0.00366744	0.00320786	0.00306792	0.00768833	0.0121193	0.0326653	0.049851	0.0765735	0.0664179	0.100803	0.0788254	0.30752
</S>	0.0519894	0.0448822	0.041529	0.0369172	0.0261482	0.0138583	0.00905533	0.00843027	0.0103135	0.00710137	0.00486323	0.00860447	0.00600681	0.0151936	0.0286211	0.070724	0.0976404	0.149816	0.133561	0.234745
