 	á	f	u	r	u	s	u	w	a	m	ó	b	e	a	b	í	í	y	í	b	h	í	w	a	</S>
on	0.246446	0.173273	0.0423179	0.0302617	0.0145197	0.00822135	0.0120408	0.0110784	0.0141402	0.012144	0.0145198	0.0209218	0.0204097	0.0554301	0.0526907	0.0515018	0.0436177	0.0268532	0.0239953	0.0267518	0.0241785	0.0294374	0.0198667	0.0129715	0.0124111
lui	0.0221687	0.0220092	0.0614414	0.102942	0.134948	0.18486	0.0825869	0.0755565	0.0175725	0.0237407	0.0225434	0.0434108	0.0176547	0.020042	0.00565126	0.012336	0.00716174	0.0172885	0.017121	0.0202093	0.0188763	0.0210535	0.0204298	0.01123	0.0171656
a	0.0172312	0.0201825	0.0262016	0.0247599	0.0195218	0.0234705	0.0208228	0.0410449	0.0298543	0.0287185	0.0273061	0.0483593	0.0614539	0.0542661	0.0861786	0.10751	0.0998025	0.0819302	0.0570637	0.0243555	0.0256433	0.0280625	0.0214853	0.014483	0.010292
exigé	0.0233046	0.0188143	0.0251592	0.0262144	0.029578	0.0505778	0.049938	0.0524144	0.0505555	0.0549478	0.0441329	0.0777749	0.0972766	0.0594838	0.05722	0.0618479	0.062562	0.0335058	0.0271941	0.0150636	0.0133318	0.0126143	0.0120643	0.015567	0.028857
un	0.0170707	0.0105651	0.0182511	0.0159669	0.0150364	0.0411025	0.0400179	0.0343029	0.0364886	0.0446054	0.0650655	0.0463783	0.0580618	0.0394959	0.0680197	0.0752416	0.0538371	0.0636576	0.0387884	0.0253214	0.017816	0.0320373	0.0270409	0.0349934	0.0808376
dédommagement	0.0669333	0.0481039	0.0381153	0.0451902	0.0481571	0.0515324	0.049527	0.0277467	0.0280217	0.0242878	0.0158984	0.0287888	0.0243711	0.0198494	0.0268607	0.0291898	0.0226716	0.0290341	0.0317157	0.0432041	0.0388593	0.0584197	0.0533277	0.0491881	0.101006
pour	0.0340449	0.0332072	0.0240272	0.0297662	0.0305722	0.0253625	0.0275422	0.0252176	0.0297251	0.0296407	0.0283363	0.0297732	0.0256474	0.0268437	0.0260635	0.0271153	0.0297684	0.0612979	0.0491952	0.0606106	0.0421329	0.0511693	0.064835	0.0820773	0.106028
ce	0.0227718	0.0192316	0.0275525	0.0244135	0.0217173	0.0195289	0.0203027	0.0139567	0.0139704	0.0166688	0.00803416	0.0163737	0.0192868	0.0134501	0.0250784	0.0297802	0.0429568	0.0577721	0.0652924	0.0799276	0.0673841	0.0943852	0.0837854	0.0782696	0.118109
qu'	0.0354329	0.0337474	0.0342462	0.0344229	0.0311023	0.0241528	0.0192302	0.0121298	0.0127944	0.0147411	0.0166654	0.014232	0.0158553	0.0142873	0.0172873	0.017268	0.0288268	0.046288	0.048138	0.0625785	0.0656353	0.0964374	0.0856614	0.0924537	0.126385
il	0.0340586	0.0327872	0.0330976	0.0331017	0.0310844	0.0304279	0.0230818	0.0150026	0.0168404	0.0187509	0.0173773	0.0156004	0.0164164	0.00814978	0.00845035	0.0100282	0.0163946	0.0333799	0.0498776	0.0729397	0.0844658	0.08826	0.0933257	0.0979135	0.119188
a	0.0784309	0.0624046	0.061853	0.0611255	0.0390899	0.0300717	0.0144469	0.0113938	0.0139446	0.0173887	0.0167771	0.0197874	0.0209569	0.0151521	0.021728	0.0199471	0.0414312	0.0324662	0.0486165	0.0382948	0.0253479	0.0452319	0.038495	0.0593232	0.166295
volé	0.0994916	0.0679175	0.0563212	0.0532905	0.0425059	0.0335346	0.0151762	0.0101747	0.0137585	0.0176563	0.0155182	0.0228912	0.0233561	0.0239637	0.0291026	0.0286042	0.0385527	0.0257685	0.0377024	0.0357276	0.0247429	0.048365	0.0369398	0.0591092	0.139828
</S>	0.05456	0.0555804	0.0459312	0.0347594	0.0240121	0.027293	0.0145907	0.0086011	0.0121882	0.0129462	0.00709242	0.0145596	0.0213236	0.014482	0.0299486	0.0352184	0.070521	0.0489541	0.0628022	0.0669546	0.0650712	0.068045	0.0432749	0.0590863	0.102204
