 	l	e	b	a	m	b	á	m	b	o	n	d	z	i	b	á	a	d	z	á	á	m	á	b	v	i	á	l	a	á	a	m	b	á	n	g	é	</S>
pendant	0.0187171	0.00978589	0.0103054	0.0152825	0.0194854	0.0311387	0.0422638	0.0461872	0.0377472	0.0431015	0.0523547	0.0697687	0.0730648	0.0895989	0.0643396	0.0538936	0.0214135	0.0186142	0.0146567	0.011518	0.0142928	0.0141132	0.0138749	0.0143297	0.0174142	0.0135729	0.0117389	0.0135536	0.0127376	0.0109888	0.0130951	0.01179	0.00985533	0.0118838	0.0137913	0.0209605	0.0224084	0.0163615
la	0.0213948	0.0148485	0.0136616	0.015589	0.0174301	0.0347931	0.0374326	0.0347221	0.0405052	0.0173569	0.027687	0.0630442	0.116535	0.0747129	0.0921679	0.0530684	0.026685	0.0136028	0.00708783	0.0162813	0.0148039	0.0146402	0.0228116	0.021456	0.00893607	0.0145228	0.0280029	0.0196844	0.0156621	0.0138426	0.0129963	0.0114373	0.0106169	0.0164077	0.00920058	0.00755027	0.00588233	0.0129401
saison	0.019751	0.0190942	0.0202617	0.0260237	0.0265431	0.0224854	0.0212515	0.022569	0.0207389	0.0186676	0.0120939	0.0141533	0.0182397	0.0206763	0.0216416	0.0273759	0.0337608	0.0426775	0.0425397	0.0413145	0.0375936	0.0357508	0.0469096	0.0292545	0.0416162	0.0294139	0.0273949	0.0259167	0.0153832	0.0141442	0.0403595	0.0305598	0.0317721	0.0240954	0.0292661	0.0177497	0.0125967	0.0183641
de	0.0169054	0.0130206	0.0207216	0.0206803	0.0217083	0.0199756	0.0223212	0.024078	0.028772	0.0242282	0.0288828	0.0319255	0.0444438	0.0414933	0.0409929	0.045191	0.0442543	0.0447369	0.0406655	0.0252175	0.0242121	0.0263836	0.0241999	0.0199242	0.0259678	0.0153371	0.0157839	0.016654	0.014678	0.0170559	0.0235018	0.0171083	0.0245432	0.0239711	0.0191953	0.0222439	0.0266517	0.0423735
grandes	0.0314606	0.0282756	0.0292713	0.0303094	0.0326216	0.0310757	0.0271671	0.0274962	0.0246079	0.0253915	0.0218274	0.0351654	0.0341888	0.0270851	0.0266356	0.0292435	0.0177273	0.0134416	0.0172141	0.0226086	0.0195159	0.0201117	0.0178135	0.0180113	0.0128993	0.0105135	0.014272	0.0155488	0.0156406	0.0146193	0.0144616	0.0167523	0.0192778	0.034575	0.0405578	0.0522576	0.0410984	0.0892593
pluies	0.0108163	0.010311	0.0101143	0.0137616	0.0174955	0.0187603	0.0199243	0.0226738	0.0295554	0.0241905	0.0170991	0.0178009	0.0180679	0.0186725	0.0224568	0.0216974	0.0247939	0.031041	0.0301873	0.0281511	0.0347899	0.0247233	0.0222102	0.0263496	0.0247106	0.0197003	0.022363	0.0236984	0.0265327	0.0302112	0.029541	0.0345026	0.031765	0.0364119	0.0323375	0.0408393	0.042441	0.0893017
les	0.0201487	0.0202918	0.0176272	0.0196711	0.0208041	0.0208421	0.0195811	0.0139842	0.0157772	0.0116281	0.00901304	0.00919561	0.0106452	0.0135011	0.0139347	0.0141325	0.0171023	0.0300459	0.0312982	0.037772	0.0352885	0.0347117	0.0306176	0.032107	0.0284733	0.0218317	0.0266425	0.0273065	0.0300763	0.0294038	0.0248302	0.0292291	0.0266334	0.0419785	0.0402655	0.0515472	0.0520807	0.0699807
populations	0.0238353	0.0257337	0.0179591	0.0185793	0.0157978	0.0123841	0.0107899	0.0112881	0.0120969	0.0143755	0.017105	0.0202601	0.0225236	0.0206836	0.0255234	0.0320569	0.0304722	0.0273931	0.0257197	0.0241812	0.0234834	0.0213258	0.0332816	0.0298072	0.0260857	0.033532	0.029493	0.0359378	0.0273707	0.018984	0.0235985	0.0326731	0.0218495	0.0398341	0.0387159	0.0391811	0.0446092	0.0714791
de	0.0200959	0.0166435	0.0115782	0.0136866	0.0151629	0.0123709	0.0102703	0.00880479	0.0111474	0.0106265	0.00765283	0.0101958	0.0150203	0.0197882	0.0218655	0.0251894	0.0289824	0.0416246	0.0422954	0.0376599	0.0422186	0.0363879	0.0335758	0.0327526	0.0271907	0.0249103	0.0219167	0.0232424	0.0248481	0.0255609	0.0259309	0.0356268	0.0307675	0.0399393	0.0386946	0.0457397	0.0471298	0.0629057
boundji	0.036653	0.0293362	0.0202824	0.0228261	0.0266944	0.0163006	0.00985006	0.00675835	0.00759896	0.0103062	0.00851067	0.00903835	0.0111729	0.0122331	0.0153418	0.015891	0.0161683	0.0135664	0.0168732	0.0223581	0.0321123	0.0350745	0.0384631	0.0336929	0.0203088	0.0273694	0.0310181	0.0310185	0.0334687	0.0297534	0.0293992	0.0293768	0.0352289	0.0383111	0.0482532	0.0538446	0.0563915	0.0691547
