 	i	k	w	é	é	l	í	b	a	y	ú	r	u	í	d	í	i	y	í	í	m	o	r	o	l	a	m	o	r	o	n	d	é	n	g	é	y	á	w	a	</S>
il	0.0441005	0.0609382	0.0473739	0.0255046	0.0106959	0.00880874	0.0221249	0.0101931	0.0248026	0.0243933	0.0334699	0.0336461	0.0318819	0.0854256	0.0697536	0.0582102	0.0176211	0.0257251	0.0130981	0.0118283	0.00916544	0.00670963	0.00643968	0.00366922	0.00804439	0.00909542	0.0110112	0.0152743	0.00856096	0.0141577	0.0115884	0.0207034	0.0263258	0.025469	0.0269125	0.0361482	0.0234762	0.0181321	0.0202791	0.0238468	0.0153948
y	0.0623856	0.104326	0.0896902	0.0973928	0.0967218	0.0720611	0.0196747	0.0110978	0.00830894	0.00469172	0.0326796	0.0255557	0.0313035	0.0226958	0.0111576	0.0173204	0.0154194	0.0269475	0.0182541	0.020102	0.00854167	0.0188906	0.0169552	0.010635	0.0191255	0.0105742	0.00552622	0.0101117	0.0063293	0.00635957	0.00289451	0.00245101	0.0015943	0.00318417	0.00240994	0.00220766	0.00504588	0.00607514	0.0267743	0.024801	0.0217264
a	0.0370377	0.0214852	0.0279018	0.01805	0.0118707	0.0200208	0.0298032	0.0351364	0.0372204	0.0789376	0.102091	0.0919303	0.0719701	0.047264	0.0432095	0.0140437	0.0101602	0.0133632	0.00799875	0.00897535	0.0108073	0.010079	0.0133992	0.0147524	0.0163882	0.024316	0.0164485	0.0142817	0.0143655	0.0164944	0.0113729	0.0122325	0.0160173	0.0139335	0.0111069	0.00908305	0.0104385	0.00858321	0.0107162	0.00821083	0.00850236
plusieurs	0.0231141	0.0245263	0.0301285	0.0290773	0.0282875	0.024237	0.0102643	0.0220306	0.0206792	0.0268121	0.0421941	0.0377904	0.0287921	0.0257671	0.0247761	0.0234686	0.0282605	0.0235678	0.0294437	0.0262327	0.0327328	0.0298636	0.0305458	0.0315014	0.0362148	0.0390239	0.0399229	0.0173518	0.0210706	0.0121834	0.0172665	0.0151541	0.0157527	0.0192335	0.0186855	0.00924924	0.015915	0.016853	0.0130275	0.0134857	0.025516
manières	0.022885	0.0163062	0.0123335	0.0166366	0.0277315	0.0272984	0.0618909	0.0452855	0.0481316	0.0393004	0.0298323	0.0291674	0.0216239	0.0406667	0.0254163	0.0152565	0.0201008	0.0157322	0.0327361	0.0176362	0.0194617	0.0310733	0.0239309	0.021164	0.0185662	0.0255449	0.0237758	0.0225652	0.0271472	0.0275544	0.0341046	0.0227413	0.0227661	0.0154825	0.0137263	0.00839564	0.0098117	0.00711286	0.0154615	0.0126013	0.0310447
de	0.0319343	0.0188496	0.0198738	0.0107465	0.00681687	0.0096479	0.0178113	0.0124026	0.0146594	0.0331919	0.0216452	0.0291022	0.019127	0.0160842	0.0332277	0.0172024	0.0316421	0.0119223	0.0228934	0.0226439	0.031178	0.0337455	0.0419734	0.0695327	0.0491618	0.0269617	0.0183661	0.0101824	0.0143343	0.0129857	0.0166752	0.0125755	0.0301826	0.0379815	0.0411731	0.0182893	0.0395842	0.017885	0.0109482	0.0120689	0.0527903
baiser	0.0705851	0.0492705	0.0469623	0.0212489	0.0173469	0.0292843	0.00952554	0.00743036	0.0054029	0.0091875	0.00986153	0.00889075	0.014653	0.0107773	0.0124336	0.0135186	0.0229601	0.0146479	0.0250669	0.018961	0.0216344	0.0256524	0.0230459	0.0210846	0.0220637	0.0139707	0.0127943	0.0102438	0.0100977	0.0156306	0.0140979	0.013905	0.0231202	0.0306952	0.0380457	0.0241265	0.0395033	0.0498679	0.0392146	0.0378882	0.0953026
chacun	0.0334229	0.0269493	0.0285468	0.0271313	0.0215498	0.0189108	0.0557126	0.0253568	0.0240449	0.0335631	0.0210632	0.021571	0.0154677	0.0166594	0.0135055	0.0163443	0.0236199	0.0124575	0.0199569	0.018219	0.0296248	0.0342298	0.0373913	0.0373488	0.0465115	0.0293088	0.0165597	0.0186828	0.0157117	0.0203128	0.0129098	0.0101769	0.0349299	0.0224892	0.0127027	0.0143594	0.0155539	0.0172365	0.0178707	0.0170396	0.0649968
fait	0.0355511	0.0352543	0.0256761	0.0315816	0.0228723	0.0152087	0.0222882	0.015075	0.0122319	0.0205261	0.0141975	0.0142617	0.0124089	0.0121637	0.0141143	0.0170046	0.0296576	0.0196541	0.0257254	0.0226878	0.0296927	0.0361487	0.0245318	0.0192539	0.0144248	0.0141856	0.0141974	0.018265	0.0166232	0.0253882	0.0229316	0.021428	0.0441067	0.0330231	0.0305391	0.0197133	0.0244057	0.0172062	0.0310762	0.0277245	0.0969935
ce	0.0461889	0.0383774	0.0285164	0.0352637	0.0282153	0.00776277	0.00990806	0.0127534	0.0126658	0.0155484	0.0150197	0.0153954	0.0148267	0.0177876	0.0196065	0.0229232	0.0258708	0.0194436	0.023783	0.0297313	0.0266983	0.0239962	0.0270517	0.0355545	0.0258192	0.0126319	0.0137378	0.00961839	0.0119172	0.0151819	0.0173869	0.0179153	0.0304115	0.0311978	0.0341299	0.025116	0.0229744	0.021226	0.0321722	0.0307645	0.0949104
qu'	0.0309987	0.0212445	0.0159519	0.0232761	0.0220706	0.00572208	0.00582105	0.00923582	0.00766713	0.00998309	0.0148885	0.0126249	0.0167794	0.0206086	0.0242156	0.0315109	0.030915	0.0336947	0.034381	0.0435449	0.0271402	0.0275076	0.0305375	0.034434	0.0314544	0.0174032	0.02014	0.0139077	0.0190724	0.022929	0.0197203	0.0203826	0.0251553	0.0265876	0.0311178	0.0305401	0.0290644	0.022973	0.0308511	0.0359138	0.0680331
il	0.0419744	0.0320417	0.0384783	0.0265553	0.0244574	0.0246494	0.0188196	0.0202323	0.0216997	0.0231857	0.0258943	0.0273145	0.0194828	0.0182749	0.013049	0.00561405	0.0128031	0.00684516	0.0109956	0.010657	0.0104872	0.014886	0.0250857	0.0471307	0.0364659	0.0309739	0.0196965	0.0182961	0.0224491	0.0277297	0.0383007	0.0344176	0.0247724	0.0261329	0.0279252	0.0213568	0.0227331	0.0325045	0.0319639	0.0194756	0.0441926
veut	0.127587	0.0709891	0.0530214	0.020868	0.0139609	0.0199718	0.006556	0.00658662	0.00428583	0.00805533	0.0100991	0.00845633	0.0209907	0.0141567	0.0174702	0.0187122	0.0245678	0.0137519	0.0178276	0.0180853	0.017319	0.0219461	0.0255177	0.0265994	0.0198001	0.0123854	0.0130429	0.0084168	0.0126333	0.0128411	0.00971655	0.0130127	0.0175603	0.0293879	0.0313298	0.0215232	0.0209487	0.0162785	0.0343186	0.0278902	0.111532
</S>	0.0274847	0.0270114	0.0229706	0.0224747	0.0204688	0.0217736	0.0143016	0.0154839	0.0128406	0.0158031	0.0211398	0.0196751	0.0205475	0.0205711	0.020735	0.00908253	0.027424	0.0130749	0.0145126	0.0167093	0.0133579	0.0170846	0.0203624	0.0297544	0.0218558	0.0158854	0.013302	0.0147228	0.0162517	0.0192648	0.0205126	0.0205074	0.0266768	0.0332145	0.0371029	0.0363354	0.0377543	0.0357239	0.061116	0.0411119	0.0840177
