 	e	k	w	ω	ω	l	í	y	é	é	k	w	ω	í	w	a	y	é	e	s	ε	r	έ	w	á	r	e	w	a	l	á	a	y	é	b	h	á	n	d	z	ω	ώ	y	á	w	a	</S>
la	0.00955825	0.00921141	0.0111861	0.0124282	0.0159931	0.0191972	0.0120677	0.0252821	0.0260717	0.0330725	0.0481144	0.0451886	0.0646861	0.0592448	0.0671534	0.0543904	0.0526863	0.0333818	0.0184022	0.0108222	0.0100026	0.0103984	0.0081295	0.0151244	0.0092867	0.00753974	0.00798592	0.0123768	0.00573543	0.00677616	0.00585957	0.00822176	0.00834789	0.00839391	0.00931452	0.00760294	0.0106537	0.0100128	0.012138	0.0222172	0.0284678	0.0228398	0.028393	0.0290636	0.0186724	0.027764	0.0205432
manière	0.021134	0.0461927	0.0533346	0.0476641	0.0381749	0.0320579	0.027587	0.0323453	0.0318467	0.0534355	0.0866979	0.0952397	0.110213	0.10632	0.0116621	0.02746	0.0236231	0.0167445	0.0172592	0.011023	0.00293027	0.00938858	0.00123816	0.00187248	0.00378396	0.00155871	0.00277721	0.00270793	0.00197035	0.0018398	0.00183388	0.0051807	0.00577874	0.00573068	0.00966441	0.00363898	0.00255806	0.00383619	0.00519479	0.00457031	0.00960297	0.00601607	0.00743131	0.00215687	0.0036245	0.0014383	0.00166088
dont	0.108996	0.0494287	0.033712	0.0167773	0.00985631	0.0211624	0.0146977	0.0130476	0.0121183	0.0163953	0.0246957	0.0226739	0.0183426	0.0105798	0.0182263	0.0320544	0.0241814	0.0291498	0.0169495	0.0207175	0.0151158	0.0158102	0.0143881	0.0206032	0.015455	0.0452322	0.0155609	0.0624349	0.0224122	0.0186964	0.0246842	0.0199817	0.042515	0.021331	0.0142266	0.0118773	0.00924012	0.0080769	0.00798649	0.00902119	0.00708053	0.0109968	0.00891069	0.00712461	0.00438704	0.0151947	0.0178934
il	0.0461357	0.0608838	0.0286694	0.0239466	0.0321861	0.0307616	0.0268235	0.0241832	0.0357504	0.0264197	0.0365784	0.0395681	0.0369037	0.0473794	0.0301775	0.0201432	0.0343972	0.0175935	0.00872128	0.0356454	0.0335177	0.0278487	0.0261428	0.0219112	0.0166022	0.0205966	0.0303744	0.00843463	0.011895	0.0125743	0.00744373	0.00722275	0.00772549	0.00766418	0.00905548	0.00628007	0.00797439	0.00755247	0.0046479	0.00722446	0.0096476	0.00737817	0.005353	0.00900996	0.00646802	0.00515651	0.0314306
s'	0.0530979	0.025432	0.022132	0.0216376	0.0267051	0.0386637	0.03505	0.0192644	0.0217673	0.0107792	0.010832	0.0167022	0.0115693	0.0242821	0.0134744	0.0259902	0.0422326	0.0467517	0.0222715	0.0280536	0.0276499	0.0267494	0.0258111	0.0157283	0.0285648	0.0353206	0.0327338	0.0220858	0.0289491	0.0275105	0.0243504	0.0230658	0.0201151	0.0142988	0.012895	0.0104416	0.0113553	0.0059651	0.00707748	0.010904	0.00877812	0.00744756	0.00620471	0.00874194	0.00763744	0.0123913	0.0205382
est	0.0236699	0.0242604	0.0257682	0.0228766	0.0493346	0.0526121	0.0238501	0.0188166	0.0143246	0.0116785	0.00908937	0.00810649	0.00735746	0.0140209	0.00469217	0.00831693	0.0280734	0.0232824	0.0247053	0.0258402	0.0225207	0.0226311	0.0256849	0.013776	0.039909	0.0322244	0.0279307	0.0249055	0.0207576	0.0267823	0.0217197	0.0219984	0.0245327	0.0184611	0.0226046	0.0183793	0.0180453	0.0127074	0.0139329	0.0172463	0.0183909	0.00735409	0.00954135	0.008887	0.00919884	0.0209589	0.0582424
calmé	0.0418885	0.0342573	0.0202888	0.0128198	0.0154605	0.014937	0.00818397	0.00933198	0.008451	0.00704247	0.00849114	0.00670861	0.00927203	0.0125018	0.0092856	0.0110753	0.0186232	0.0192532	0.0178181	0.0437591	0.0417617	0.0459903	0.0326777	0.0365248	0.0450381	0.0398169	0.0607652	0.0857362	0.0306638	0.0366371	0.0215072	0.0102674	0.0110049	0.0113389	0.0240222	0.00737421	0.0140676	0.014304	0.0123037	0.0109712	0.0119599	0.00484622	0.0108782	0.0044636	0.00721681	0.012958	0.0254548
montre	0.0282753	0.0240085	0.0219833	0.0221291	0.0203591	0.0182255	0.00891114	0.0084367	0.00764839	0.00746609	0.00586998	0.0040424	0.00510741	0.00885897	0.0058741	0.00813411	0.0384644	0.0234889	0.0317789	0.0356755	0.0257574	0.0460942	0.0170552	0.0187364	0.0323513	0.0145275	0.0393321	0.025298	0.0148131	0.0208397	0.0172252	0.0106001	0.00973041	0.0119578	0.0242019	0.00928577	0.0209557	0.0218195	0.0230027	0.0319326	0.039868	0.0112269	0.0345707	0.00874252	0.0206542	0.0470975	0.0675861
qu'	0.0429557	0.0511374	0.0179441	0.0208777	0.0380859	0.0263104	0.0277636	0.0216701	0.0252922	0.0159988	0.0139771	0.00815211	0.0121587	0.0168312	0.00811582	0.0089283	0.0115391	0.0112199	0.00872233	0.0210393	0.0279207	0.0163506	0.0465466	0.0404224	0.020119	0.0672701	0.0275965	0.0289141	0.0529554	0.0237531	0.0406499	0.0176034	0.0296331	0.0187202	0.0134798	0.014261	0.00984968	0.0126766	0.00742194	0.00532862	0.00678606	0.00309818	0.00575372	0.00462114	0.00444551	0.00681731	0.0382854
il	0.0766178	0.0695788	0.0435248	0.0292034	0.0330485	0.0283212	0.020254	0.014019	0.0101299	0.00531498	0.00623191	0.00362378	0.00321632	0.0046951	0.00235931	0.00225309	0.0067141	0.00422734	0.00595802	0.0170664	0.0172777	0.022031	0.0326365	0.0223557	0.0310995	0.0283779	0.0361422	0.0253738	0.0240892	0.0245264	0.0222542	0.0128979	0.0120227	0.0132451	0.0148585	0.0172653	0.0118372	0.0171079	0.0118911	0.00970407	0.0336372	0.00958197	0.0170574	0.00958032	0.0188518	0.0232164	0.0947231
