 	e	l	ω	n	d	í	l	í	y	é	é	l	ω	n	d	ώ	ώ	b	á	a	n	g	á	y	é	y	á	a	m	b	ω	r	i	</S>
la	0.00925878	0.0115134	0.0172164	0.0172515	0.0202758	0.0187746	0.0179858	0.0229111	0.0331247	0.0447329	0.0384296	0.0376611	0.0415039	0.0486817	0.0409134	0.03609	0.0306175	0.0271661	0.0163627	0.0159346	0.0181272	0.022434	0.0264563	0.027761	0.0355047	0.0344487	0.0424212	0.0426199	0.037326	0.0323053	0.0387658	0.0263756	0.036424	0.0326246
manière	0.00866882	0.0202531	0.0299583	0.0265665	0.0298152	0.0314201	0.0469325	0.0965315	0.0696081	0.0360804	0.0503881	0.0608803	0.0656574	0.0526662	0.036419	0.0612648	0.0467544	0.0394722	0.0397152	0.0284195	0.0150953	0.0122593	0.00818416	0.00814614	0.00360151	0.00555966	0.00767029	0.00648147	0.0056022	0.0213572	0.0108002	0.00700234	0.00860892	0.00215976
dont	0.167851	0.078121	0.0432556	0.047386	0.0272522	0.0305709	0.017963	0.0119704	0.0132474	0.0142243	0.0169343	0.0278816	0.0334085	0.0295618	0.0311748	0.0389532	0.0419773	0.0434338	0.0467325	0.0329508	0.0323881	0.030704	0.018155	0.0129652	0.0108622	0.0114661	0.00990336	0.0103037	0.0101028	0.0115905	0.00955932	0.00896286	0.0111779	0.0170084
ils	0.0479478	0.0405777	0.0505737	0.0268576	0.0178043	0.0152835	0.0106136	0.00615449	0.00916683	0.0164644	0.0271443	0.0435856	0.0271691	0.0443695	0.0403967	0.0531808	0.0569068	0.0558661	0.029983	0.0259054	0.026824	0.0358083	0.0256516	0.019726	0.0198633	0.0340215	0.0206902	0.0273308	0.0212851	0.013113	0.0154013	0.0148025	0.0191487	0.0603824
ne	0.0646058	0.0492403	0.0494526	0.0445509	0.0357671	0.0523495	0.0398986	0.0295444	0.0201628	0.0260977	0.0211307	0.0202244	0.0379388	0.0378522	0.0232639	0.055191	0.0478744	0.0549646	0.0583198	0.0491213	0.0285842	0.0236156	0.0153171	0.0108029	0.00956357	0.0101368	0.00633524	0.00551743	0.00559538	0.00614665	0.00709548	0.00836977	0.0104521	0.0349172
suivent	0.0377266	0.0454714	0.0393222	0.0607645	0.0762051	0.0659806	0.0430824	0.0243957	0.0110035	0.00988636	0.0127389	0.0119201	0.0155559	0.0183934	0.0140624	0.0209895	0.0280896	0.0334407	0.0464386	0.0468856	0.0348427	0.0285958	0.0293712	0.0231117	0.0218545	0.0282346	0.0161289	0.0166338	0.0153151	0.0159465	0.0139482	0.0179321	0.0206695	0.0550628
est	0.031429	0.0301855	0.0240171	0.0247154	0.0216131	0.0394132	0.0268525	0.0148211	0.00882107	0.00874532	0.00832033	0.0100282	0.00948332	0.0134614	0.0184708	0.0207421	0.0226969	0.0205756	0.0237603	0.0283834	0.0283218	0.0256358	0.0305539	0.0323338	0.0444098	0.0517786	0.0533092	0.051049	0.0577213	0.0408643	0.0363865	0.0335611	0.0453225	0.0622165
celle	0.0706842	0.0407231	0.0399851	0.036672	0.0378483	0.0444817	0.0414722	0.0393731	0.0350984	0.0225819	0.0225274	0.0173342	0.0184831	0.0163435	0.00918322	0.0104553	0.00773639	0.00566092	0.00645882	0.0131022	0.0068521	0.00673392	0.00949193	0.00932803	0.0145626	0.0181989	0.0288243	0.0188822	0.0298466	0.0358875	0.0444547	0.0507934	0.0488947	0.141044
des	0.0499992	0.0370398	0.028605	0.0350753	0.0352871	0.0493716	0.0558669	0.0592029	0.0477785	0.0282545	0.0264563	0.0230229	0.0150153	0.0207668	0.0122661	0.0112464	0.00920618	0.00588274	0.0098329	0.0110516	0.007485	0.00722631	0.00811733	0.00868442	0.012127	0.0212664	0.0284461	0.0240054	0.0303177	0.0268922	0.0360655	0.0382057	0.0357291	0.144204
policiers	0.0464025	0.0433015	0.0417906	0.0302668	0.0172233	0.00960828	0.00708942	0.00743063	0.00865132	0.00775594	0.00805974	0.0084451	0.00960313	0.00907321	0.00756794	0.0109642	0.00650468	0.00584816	0.0074118	0.0180783	0.0106146	0.0140021	0.015337	0.023161	0.0246866	0.0267448	0.0382677	0.0246072	0.034404	0.0518126	0.0730561	0.0886584	0.0959063	0.167665
</S>	0.116421	0.0880248	0.0757871	0.0562642	0.0398029	0.0288289	0.0225679	0.0181128	0.0116858	0.00977767	0.00721179	0.00462725	0.00535848	0.00272206	0.0021547	0.00444247	0.00315147	0.00342468	0.00714819	0.0219187	0.00643116	0.00794566	0.00893281	0.0165587	0.0125264	0.0165561	0.0250605	0.0221479	0.0236439	0.0247822	0.0491099	0.040303	0.0861831	0.130386
