 	k	w	a	r	a	t	a	á	s	í	í	s	i	m	á	a	á	t	s	ω	m	á	á	d	z	e	s	á	t	s	á	o	</S>
kwarata	0.0213424	0.0137682	0.0213495	0.0155872	0.0124451	0.00926168	0.0159293	0.0241689	0.0335541	0.0399971	0.036914	0.0384613	0.0473852	0.0271414	0.0360264	0.0295841	0.0517433	0.0668079	0.0533145	0.0388584	0.0369649	0.0338277	0.0286308	0.026886	0.0256831	0.0343008	0.0343817	0.0291606	0.0314285	0.0253118	0.0250544	0.0204216	0.014308
a	0.105306	0.0511529	0.0397304	0.0447284	0.0394149	0.0444801	0.0387247	0.0881625	0.0430031	0.0281498	0.032614	0.0255759	0.0516423	0.046409	0.028221	0.03513	0.0450335	0.027355	0.03759	0.0187045	0.0157163	0.0139893	0.00963978	0.00796318	0.00887162	0.00932749	0.00876907	0.0118413	0.0122406	0.00933136	0.00918854	0.00663748	0.00535569
fini	0.011491	0.00809089	0.00766056	0.0118852	0.0205098	0.0415811	0.0303613	0.0273027	0.04552	0.0317966	0.0271362	0.0457472	0.0206727	0.0232899	0.0174242	0.0196251	0.0319584	0.0241158	0.0327352	0.0389874	0.0417172	0.0362905	0.0248903	0.0165122	0.0187878	0.0178182	0.0203931	0.0417263	0.0546506	0.0507525	0.070256	0.0515994	0.0367146
l'	0.0219978	0.0113659	0.00670689	0.0100477	0.00847557	0.0108345	0.010631	0.0134617	0.0189667	0.0188461	0.0241417	0.0275492	0.0308519	0.0390745	0.0293374	0.0391295	0.0346882	0.0249109	0.02322	0.0253977	0.0326149	0.0350642	0.0334095	0.0244912	0.03146	0.0335777	0.0380021	0.0392467	0.0694223	0.0636952	0.0472293	0.0623304	0.0598218
eau	0.0478161	0.021507	0.024758	0.0246852	0.0261532	0.0340398	0.0293637	0.030906	0.0614721	0.0634346	0.0769413	0.115635	0.0475256	0.0587079	0.0244892	0.0443063	0.0196002	0.0153155	0.0172418	0.0215149	0.013709	0.0135992	0.00825518	0.00741924	0.00558819	0.00646178	0.00654418	0.00695391	0.0103859	0.0116729	0.0136017	0.0179898	0.0724055
qui	0.0403857	0.0334239	0.0242659	0.018512	0.0175434	0.0168266	0.0120608	0.0142906	0.0139427	0.0133538	0.0187342	0.0410812	0.0211625	0.0387043	0.0125857	0.0300991	0.0268394	0.0188407	0.026323	0.0273128	0.0214354	0.0154023	0.0130105	0.0138348	0.0263776	0.0359005	0.0375522	0.0334168	0.0353831	0.0562149	0.0588419	0.071817	0.114525
était	0.0218435	0.0188359	0.0120014	0.0176944	0.0194753	0.0188482	0.0125404	0.0150996	0.0123133	0.00929198	0.0136838	0.0214533	0.0145908	0.025329	0.0140832	0.0279446	0.0324871	0.0264631	0.0384127	0.0434948	0.0362156	0.0406948	0.0315308	0.0279537	0.0359439	0.0277958	0.0332384	0.0352167	0.0349448	0.0563175	0.0537026	0.0645496	0.106009
dans	0.0507406	0.0291046	0.0186613	0.0292374	0.0281672	0.0242823	0.00957175	0.0136802	0.0140278	0.0242833	0.0231493	0.0287677	0.0211954	0.0271618	0.0130136	0.0191799	0.0182004	0.0159418	0.0181518	0.0222778	0.0202529	0.0292375	0.0308403	0.0273964	0.0316512	0.0185495	0.0152968	0.0211644	0.0243121	0.0494849	0.0571273	0.0720707	0.15382
la	0.032305	0.0165621	0.00990868	0.0119602	0.00911309	0.00832317	0.00632215	0.00770752	0.00719665	0.00706888	0.00728763	0.0112636	0.00791212	0.0125487	0.00678389	0.0123158	0.017097	0.0162851	0.0146817	0.0324631	0.0371544	0.0324664	0.0332211	0.0207056	0.0428417	0.0372193	0.0398886	0.038877	0.037617	0.0574399	0.0653957	0.0961214	0.205946
calebasse	0.0400108	0.0132387	0.0170584	0.0197031	0.0161865	0.012063	0.0075339	0.00762244	0.00725173	0.00897956	0.00854751	0.0113226	0.00937994	0.0138708	0.00749872	0.0108394	0.0134178	0.0122796	0.0114033	0.0287603	0.0390996	0.0558045	0.066853	0.0424381	0.0418399	0.0321856	0.0298488	0.0439415	0.0477276	0.0563243	0.0547879	0.0803834	0.131798
</S>	0.0352141	0.0225323	0.0191484	0.0248455	0.019768	0.0236343	0.0185483	0.0201049	0.0261066	0.0237039	0.0286405	0.0108505	0.0251335	0.0183868	0.0211587	0.022113	0.0221849	0.0163134	0.0162483	0.022848	0.0330517	0.0348978	0.0327546	0.0233777	0.038876	0.0383867	0.0466188	0.0296106	0.0306104	0.0469893	0.0554294	0.0482302	0.103683
