 	p	á	n	y	á	a	a	n	d	é	e	m	á	á	b	a	á	i	b	h	o	l	i	í	d	í	i	n	έ	</S>
il	0.0383907	0.0560993	0.0458858	0.0454439	0.0537834	0.0375531	0.053712	0.0551981	0.0457078	0.0235401	0.026089	0.0359516	0.0313558	0.0333286	0.0404098	0.0524436	0.0596015	0.0457283	0.0332371	0.0294885	0.0236291	0.0226284	0.00839233	0.0102824	0.0153904	0.0193358	0.01793	0.0156423	0.0145641	0.00925708
y	0.0797342	0.0758468	0.0739418	0.0657879	0.0725819	0.0705178	0.0677535	0.074759	0.0719038	0.0648683	0.0564157	0.033188	0.0104215	0.0172642	0.019039	0.0155095	0.00587445	0.00617683	0.0125632	0.0120624	0.00734261	0.00438407	0.00715074	0.0153805	0.0175588	0.0105488	0.00751909	0.00618567	0.00667654	0.0110434
a	0.0483233	0.0267433	0.0410754	0.0242089	0.0111496	0.0188501	0.0199379	0.0252146	0.0294618	0.0225014	0.0294025	0.0474117	0.0641074	0.0635773	0.0959218	0.0874296	0.0740316	0.0545286	0.0298146	0.0237885	0.031269	0.0157588	0.0163921	0.0169819	0.0154299	0.0152097	0.0149527	0.0127885	0.0104628	0.0132749
un	0.0469133	0.0283126	0.0345476	0.0246649	0.0230586	0.0230623	0.0144858	0.0154248	0.0146596	0.0115875	0.0138985	0.0221793	0.0194651	0.0337244	0.0585829	0.0451524	0.068098	0.0525312	0.0284688	0.0361106	0.0373319	0.06771	0.0870045	0.0492471	0.0222062	0.0251214	0.0258297	0.0231634	0.0207553	0.0267022
grand	0.0264301	0.0268314	0.0309612	0.0188326	0.0145221	0.0195424	0.0403802	0.0488701	0.0342035	0.0461822	0.0461489	0.0799894	0.058053	0.0958793	0.0714773	0.0566545	0.0572897	0.0215554	0.0298197	0.0246455	0.0289922	0.0176356	0.0295984	0.0130202	0.0117153	0.0107768	0.0164627	0.00878497	0.00564604	0.0090992
espace	0.0496241	0.0652674	0.0483057	0.0419026	0.0437773	0.0485044	0.048064	0.0335168	0.0272195	0.0387327	0.0366716	0.0618865	0.0383106	0.0239782	0.0180851	0.0163173	0.00586261	0.00933312	0.00974218	0.0121566	0.0229	0.0101931	0.0234916	0.0427684	0.0387033	0.0323422	0.0331818	0.0313823	0.0295134	0.0582655
entre	0.0240556	0.0279074	0.0256676	0.0217893	0.0258609	0.0248273	0.029443	0.0255657	0.030019	0.0432506	0.0381872	0.0295322	0.0296292	0.0116884	0.00744297	0.00718526	0.00501643	0.00994594	0.0198047	0.0149657	0.0385204	0.0217478	0.0741811	0.0660954	0.0554742	0.0466501	0.0488299	0.0456525	0.0580769	0.0929875
ces	0.0434805	0.0339884	0.0353244	0.0346543	0.0342774	0.0405789	0.0514035	0.054333	0.0434341	0.0345157	0.0325536	0.0196676	0.0208183	0.00742577	0.00609355	0.00664579	0.00589154	0.0106551	0.0260561	0.0147737	0.0312137	0.0190539	0.0400016	0.0449793	0.0490971	0.0323408	0.0442693	0.0532207	0.0486111	0.0806413
deux	0.0940751	0.0589494	0.0661853	0.0554306	0.0517802	0.0515445	0.0404783	0.027166	0.0234449	0.0187951	0.0191656	0.0123654	0.00834691	0.00479919	0.00501762	0.00639715	0.00572264	0.0162492	0.0242633	0.0119411	0.0263646	0.0107457	0.015241	0.0361538	0.0349084	0.0217746	0.0387644	0.0505134	0.0529624	0.110454
maisons	0.0995522	0.0540095	0.0600727	0.0450141	0.0393953	0.0355928	0.0230472	0.0185994	0.0185548	0.0152317	0.0163773	0.0124383	0.00817912	0.00479171	0.00506364	0.00770171	0.00692408	0.0205841	0.026839	0.0136777	0.0286604	0.00925369	0.0250406	0.0343365	0.0431206	0.0325398	0.0586533	0.0720327	0.065064	0.099652
</S>	0.0548388	0.0408811	0.0306515	0.0304689	0.0313163	0.0248539	0.0219883	0.0176564	0.0174217	0.0196203	0.018448	0.0101584	0.00868607	0.00854129	0.00579278	0.00574162	0.00451353	0.00544448	0.00789223	0.0136935	0.0310327	0.0257212	0.0499041	0.0645568	0.0525421	0.0401174	0.0685519	0.0856221	0.0830379	0.120305
