 	a	m	b	ω	r	i	á	d	z	e	b	á	a	k	y	é	n	á	á	m	ú	b	h	u	ó	n	g	ω	n	g	ω	y	á	l	e	k	ώ	ώ	l	i	</S>
les	0.0890285	0.0893303	0.0559487	0.0284959	0.0638256	0.0682488	0.0587254	0.0457244	0.0488776	0.0306652	0.0392781	0.0254677	0.0250081	0.0211864	0.010511	0.0060061	0.00887017	0.00763601	0.00506457	0.00383571	0.00380342	0.00572021	0.00500305	0.0106088	0.00882025	0.0159785	0.0170112	0.0154396	0.0161227	0.0150427	0.0190069	0.0167649	0.0227073	0.0162693	0.021506	0.0150446	0.0110966	0.0122224	0.00886057	0.00548399	0.00575287
policiers	0.031301	0.0336644	0.0414187	0.0663233	0.088388	0.0801596	0.0702851	0.0427169	0.0486267	0.0522126	0.0858551	0.0498102	0.0621943	0.0188561	0.00444543	0.0039767	0.0052517	0.00553757	0.00666204	0.00369468	0.0055065	0.00257022	0.00566604	0.00563576	0.00650645	0.00517336	0.00588232	0.0094222	0.00770383	0.0112699	0.0135107	0.0147439	0.0113512	0.0137342	0.0128836	0.02007	0.0111574	0.0123341	0.00943006	0.00759533	0.00647275
étaient	0.0437612	0.0337602	0.0317949	0.0353543	0.0256149	0.0248575	0.035128	0.0582741	0.0488878	0.0551714	0.0431876	0.0511485	0.0395865	0.0505615	0.0341414	0.0291647	0.0169026	0.0248931	0.0168534	0.0112254	0.0157428	0.0119006	0.020318	0.0167163	0.0207565	0.00988978	0.0283472	0.0105137	0.016783	0.0115077	0.0145412	0.00932295	0.00851104	0.0106562	0.0108976	0.0142939	0.0111242	0.00885042	0.0180341	0.0120602	0.0089634
en	0.00994152	0.0201942	0.0229991	0.036981	0.0367057	0.0345795	0.031086	0.0342466	0.0355893	0.0289987	0.0192016	0.0183775	0.017399	0.0187326	0.0185656	0.0201043	0.0174385	0.0175172	0.0174762	0.0176685	0.0230341	0.0242013	0.0309572	0.0316465	0.0302477	0.0225863	0.0405847	0.0262489	0.0333607	0.0286534	0.0298769	0.0235235	0.0136078	0.0217174	0.0217779	0.0187089	0.0180382	0.0212124	0.0229281	0.0212101	0.0220756
train	0.00849765	0.00955186	0.0106995	0.0132832	0.0126407	0.0138355	0.0168834	0.0182801	0.0191218	0.021248	0.0178906	0.019767	0.0192411	0.0198033	0.0213285	0.0277506	0.0260659	0.0228118	0.0247232	0.0445451	0.0385732	0.0460484	0.0290247	0.0258292	0.0271798	0.0299719	0.021009	0.0333676	0.0288591	0.0271036	0.0302737	0.0226087	0.0161052	0.0207851	0.0267435	0.0307709	0.0232852	0.0346692	0.0358246	0.0309902	0.0330084
d'	0.0221354	0.0162542	0.0145599	0.0131774	0.0142264	0.0139854	0.0214551	0.0184558	0.0111048	0.0221807	0.0282657	0.0500991	0.0775675	0.0787573	0.0986036	0.0673186	0.0374098	0.026906	0.0249649	0.0244586	0.0226244	0.0148653	0.0122846	0.00848475	0.00999287	0.0100859	0.010661	0.0118599	0.0104724	0.0117865	0.00769415	0.0100549	0.00497208	0.00984924	0.00835344	0.010714	0.0175024	0.0240325	0.029983	0.0306039	0.0412365
encercler	0.0123315	0.0099586	0.00666605	0.0105031	0.00996689	0.00973947	0.0113316	0.0158071	0.0124838	0.0181702	0.0141398	0.0183715	0.0188801	0.0236586	0.028484	0.0436342	0.0317337	0.0453278	0.0428877	0.0380984	0.0359401	0.0337946	0.03201	0.0281947	0.0295542	0.026998	0.0273933	0.0300818	0.0304974	0.0277237	0.0277574	0.024693	0.0261682	0.026372	0.0258802	0.0266187	0.0221392	0.0230588	0.0277438	0.0228195	0.0223877
le	0.0300749	0.0268436	0.0258116	0.0270303	0.0270562	0.0312959	0.0327586	0.0212362	0.0173951	0.0164804	0.0118876	0.0144231	0.0150513	0.016982	0.0215967	0.0319189	0.0344533	0.0569157	0.042831	0.0412307	0.0356778	0.0361387	0.0224459	0.0190305	0.0228289	0.0150827	0.0153804	0.0163313	0.0125122	0.0188845	0.0140788	0.018242	0.0140531	0.016313	0.0191965	0.0152728	0.0189164	0.0216017	0.0189559	0.0257094	0.0600743
voleur	0.0257431	0.0212088	0.0230652	0.0183834	0.0235524	0.0270865	0.0252968	0.0187527	0.0180971	0.0233516	0.0274107	0.0214889	0.0300303	0.0241062	0.010781	0.0120764	0.0149747	0.0133067	0.0163051	0.013849	0.0185085	0.0184043	0.0146282	0.0224232	0.0216192	0.029202	0.00910014	0.0302806	0.0238153	0.0265442	0.0248098	0.0300567	0.0157586	0.0245708	0.0221248	0.029387	0.0339746	0.0398213	0.0244651	0.0263522	0.105287
derrière	0.0273558	0.0227963	0.0169609	0.0180818	0.0166707	0.0167616	0.0108428	0.00774261	0.00746821	0.00885467	0.0110693	0.00971365	0.0108592	0.0117702	0.0128861	0.0184259	0.0179905	0.0357252	0.0461078	0.0489537	0.0489553	0.0532542	0.0475655	0.0440005	0.0516202	0.0401636	0.0144919	0.0544392	0.0221296	0.0349662	0.0110838	0.0155254	0.00801156	0.0090015	0.00477854	0.00767327	0.0143196	0.0129228	0.00917867	0.0215695	0.0973122
