 	i	t	s	w	é	t	s	w	e	l	é	m	í	í	p	έ	w	a	n	g	á	í	t	s	ω	í	d	z	e	a	m	b	ω	b	h	ω	ω	</S>
toutes	0.0784862	0.0382022	0.022876	0.055925	0.0363462	0.02067	0.0288606	0.0285903	0.0606647	0.063583	0.0389439	0.0205079	0.0175573	0.0164152	0.0146244	0.0180827	0.0180164	0.0133664	0.0162439	0.0263234	0.0247489	0.0169277	0.0105177	0.0129123	0.0139434	0.0185683	0.0134807	0.0242053	0.0234333	0.0282362	0.0277736	0.0206792	0.0249632	0.0199361	0.0236414	0.0194289	0.0245258	0.0177923
les	0.0347452	0.0260684	0.0244174	0.0418926	0.0516829	0.0429532	0.0396975	0.0763895	0.0555656	0.0587182	0.0740393	0.0605023	0.0587397	0.0279682	0.0195323	0.023374	0.0415226	0.00575442	0.00339729	0.00506526	0.00509113	0.00656447	0.0149026	0.0237094	0.0116038	0.0121632	0.011668	0.0176327	0.0203001	0.0148362	0.0176157	0.0140796	0.0172452	0.00880271	0.00611657	0.00697856	0.0068006	0.0118637
oranges	0.0476572	0.0462612	0.0329563	0.0323986	0.016684	0.013795	0.0118522	0.0231388	0.0321809	0.0284403	0.017118	0.0147139	0.026574	0.0265926	0.043648	0.033407	0.0344684	0.0355619	0.0383546	0.0505777	0.046877	0.0218306	0.0143484	0.0227461	0.0339522	0.0186206	0.0188503	0.0185916	0.0193649	0.0207366	0.0214066	0.0211042	0.015973	0.0184024	0.0177929	0.0202683	0.0208633	0.0218905
qu'	0.0353715	0.0404901	0.0448263	0.0172459	0.0174501	0.0123282	0.01092	0.00511225	0.00582887	0.00833553	0.00774355	0.0160307	0.0185116	0.02379	0.0389355	0.026621	0.0316344	0.0405324	0.0463073	0.0364948	0.0538522	0.0736124	0.0399894	0.0266756	0.0449395	0.0194813	0.0273455	0.0115211	0.00837317	0.00877815	0.0073709	0.0090603	0.00936212	0.0125778	0.0195268	0.0280321	0.043238	0.0717538
il	0.0259239	0.0284332	0.0245689	0.0198268	0.0228775	0.0194308	0.0174483	0.0129604	0.0216422	0.0240001	0.0227729	0.0598436	0.0632556	0.0375634	0.0431988	0.0312675	0.0447528	0.0290275	0.0313578	0.0379327	0.0384004	0.0365254	0.0352798	0.0270375	0.0290507	0.0149864	0.015638	0.0169782	0.0129927	0.0126617	0.0117906	0.0114309	0.0114203	0.0122693	0.0142099	0.0152207	0.0203951	0.0456276
m'	0.0235895	0.0273477	0.0247849	0.0211447	0.0238876	0.0193383	0.016807	0.00762517	0.0154777	0.0117187	0.0114109	0.0251746	0.031104	0.0296407	0.0639216	0.0517406	0.0364606	0.0448897	0.0573146	0.0546689	0.0501388	0.0373258	0.0293558	0.0216094	0.0141233	0.00834918	0.00853488	0.00942841	0.0120852	0.011399	0.0103151	0.00910112	0.0149635	0.0132295	0.021619	0.0289213	0.0374204	0.0640328
a	0.0375453	0.0334508	0.0287376	0.0244215	0.0258732	0.016272	0.00875343	0.00589989	0.0101813	0.0156786	0.0193831	0.0441888	0.0285665	0.0299013	0.0345643	0.0310565	0.0244425	0.0240909	0.0277962	0.0313888	0.0369932	0.0339194	0.0374641	0.0295885	0.0135913	0.00898888	0.00798249	0.00776605	0.0110506	0.0126247	0.0124261	0.0157916	0.0248705	0.0243859	0.041868	0.0432759	0.0501387	0.0850816
données	0.0317566	0.0290416	0.0281253	0.0218414	0.0244886	0.0180066	0.00732346	0.00607066	0.0110049	0.0189531	0.0340843	0.0735149	0.0474581	0.0567518	0.0691251	0.0533044	0.0412108	0.0390376	0.0310544	0.0260121	0.0172666	0.0197633	0.0184176	0.0123012	0.0060511	0.00441075	0.00493538	0.00498734	0.00741993	0.00859983	0.0107219	0.0109853	0.0155915	0.0172947	0.0260954	0.0276577	0.0327719	0.0865628
étaient	0.0509906	0.0456906	0.0384019	0.0283211	0.0276013	0.0144465	0.00893918	0.00836911	0.0117748	0.0188539	0.0200899	0.0282891	0.0196503	0.0139508	0.0175189	0.0206605	0.0162826	0.00728028	0.00920763	0.0148976	0.0167672	0.0247125	0.0350875	0.0219338	0.0108866	0.0103809	0.00806341	0.0181515	0.0194358	0.0205091	0.0215923	0.0248913	0.0379447	0.0340325	0.0519221	0.0631178	0.0471998	0.112155
déjà	0.0330027	0.029513	0.0375601	0.0216249	0.0266798	0.0160752	0.00953367	0.00515558	0.00574815	0.0078936	0.00772123	0.0143326	0.0119899	0.00862822	0.0185189	0.0213957	0.0301297	0.0164707	0.0230321	0.0327464	0.0558907	0.047896	0.0535843	0.0242454	0.0148252	0.0104277	0.00907106	0.0160735	0.01784	0.0187623	0.0194632	0.0255742	0.0370679	0.0358137	0.0503175	0.0572849	0.0561907	0.0719193
