 	w	a	á	b	é	i	n	g	á	m	í	p	á	m	a	l	í	b	h	ώ	ω	l	í	í	d	z	é	l	a	b	á	a	l	a	m	w	á	s	í	</S>
il	0.0247672	0.0633683	0.171652	0.279435	0.189877	0.16921	0.0350175	0.0333153	0.0156817	0.00362077	0.00148171	0.000390441	0.000684302	0.000593696	0.00114142	0.000588177	0.000453086	0.000525648	0.000478778	0.000413084	0.000391698	0.000204972	0.000268438	0.000275812	0.000335151	0.000264873	0.000343369	0.000247811	0.00024218	0.000279857	0.000429542	0.000463985	0.000382216	0.000472282	0.000470162	0.000410599	0.000480335	0.000519389	0.000546508	0.00027452
m'	0.0209401	0.013195	0.011828	0.0110353	0.0179888	0.0123519	0.0214911	0.0125172	0.0196348	0.031802	0.0448656	0.0850337	0.0754068	0.0755524	0.0653833	0.104439	0.0764757	0.05731	0.0510505	0.0361961	0.0111192	0.00703891	0.00760191	0.00699679	0.00596209	0.00689281	0.00641871	0.00563101	0.00611805	0.00829319	0.00875317	0.0105236	0.00479656	0.00505263	0.00263546	0.00794124	0.00493719	0.00943495	0.0172043	0.0121507
a	0.0166391	0.0170961	0.0132783	0.0155412	0.0163005	0.0136514	0.0213694	0.0104035	0.0129265	0.029313	0.0239017	0.0485817	0.0538753	0.0454909	0.0293419	0.0267847	0.0190274	0.0288394	0.0233137	0.0214773	0.0462367	0.0163344	0.0328658	0.0232005	0.0447766	0.0419626	0.0330779	0.0442739	0.0292196	0.0297916	0.0337665	0.0182657	0.0192405	0.015992	0.0149208	0.0170141	0.0158369	0.013783	0.0106443	0.0116436
appelé	0.0175342	0.0189824	0.0167679	0.0159286	0.0180925	0.0153814	0.0260385	0.0150483	0.0163072	0.0266558	0.0113285	0.0184823	0.037674	0.0729621	0.0409013	0.0323272	0.0353677	0.0413671	0.0405556	0.0355273	0.0458271	0.0685231	0.0343711	0.0394552	0.0200635	0.0218234	0.0182859	0.015385	0.014782	0.0192523	0.0134189	0.0160974	0.0145503	0.0131837	0.0141576	0.00685971	0.0125131	0.0147587	0.0160373	0.0274249
pour	0.0042996	0.00401629	0.00235135	0.00191791	0.00143288	0.00291028	0.00120331	0.00214059	0.00197956	0.00231871	0.00351132	0.00341191	0.00499261	0.0101649	0.0117805	0.0143374	0.0264895	0.0612535	0.0680154	0.0731348	0.0857377	0.184782	0.0941086	0.0398761	0.037285	0.0458647	0.02681	0.0272972	0.0258343	0.0205237	0.012343	0.00772502	0.0122422	0.00979727	0.0231723	0.00629614	0.00645029	0.0117353	0.00629807	0.0141588
juger	0.00528112	0.00837469	0.00752936	0.00363679	0.00368015	0.00448428	0.00539062	0.00387493	0.0046124	0.00796002	0.0101564	0.0104709	0.00955087	0.0115409	0.0206382	0.0155917	0.0238502	0.0529702	0.0524799	0.0478648	0.0423161	0.0329765	0.0325738	0.0281401	0.0397488	0.0260518	0.0213345	0.032286	0.0314504	0.0328491	0.0344566	0.0248691	0.0293578	0.0254046	0.0386563	0.0532004	0.0243908	0.0438123	0.038993	0.0571939
l'	0.00505769	0.00907712	0.00653866	0.00360555	0.00571477	0.00936652	0.00837461	0.00874494	0.00982623	0.00953821	0.0113937	0.0087106	0.00687456	0.011862	0.0174949	0.0168985	0.0262074	0.0495049	0.0534449	0.0519296	0.0461983	0.0421947	0.0324074	0.0300017	0.0292603	0.0260815	0.0226587	0.0268454	0.0250009	0.0215179	0.0270056	0.0217911	0.0352831	0.0287724	0.0346772	0.0231449	0.0242186	0.046951	0.0519849	0.0738391
affaire	0.00722168	0.00909904	0.00754576	0.00663117	0.00719617	0.00866826	0.00834324	0.00999291	0.0131264	0.0103789	0.0103214	0.0107711	0.00676286	0.00791394	0.0125668	0.0145794	0.020735	0.0476242	0.0469671	0.0724026	0.0601359	0.063545	0.0411772	0.0515092	0.031376	0.0411127	0.0106925	0.00974795	0.0107169	0.0123508	0.0109309	0.0131969	0.0251191	0.0135378	0.0216279	0.00927122	0.00910573	0.0765157	0.05952	0.0899624
qui	0.00839422	0.00881886	0.00878464	0.00759288	0.0095658	0.0100265	0.00973178	0.00891554	0.00868328	0.00821976	0.00976847	0.00859063	0.00734441	0.00690462	0.010336	0.00907154	0.00976169	0.0164786	0.0196021	0.0271217	0.0366338	0.041401	0.0398079	0.0276303	0.0299933	0.027538	0.0252817	0.0364475	0.0428148	0.0503467	0.0436387	0.0452049	0.0424225	0.0399254	0.0402136	0.0393973	0.0389696	0.0418249	0.0449415	0.0518532
l'	0.00964788	0.00961721	0.0101404	0.00789948	0.012192	0.0117387	0.013409	0.00964351	0.00899334	0.00925868	0.0101943	0.00819112	0.00755516	0.00888653	0.00833029	0.00790176	0.00864618	0.0108165	0.0122308	0.015817	0.028237	0.0345054	0.0314652	0.0455927	0.0369692	0.0222673	0.0136831	0.0275998	0.0254416	0.0247209	0.0267381	0.0208701	0.0335885	0.0376514	0.0751968	0.0729739	0.0450789	0.0759282	0.0553911	0.0649909
