 	o	n	d	z	é	á	b	h	á	m	b	i	o	b	i	a	a	t	í	ε	s	á	m	í	s	í	</S>
onze	0.00604851	0.00671213	0.00470954	0.00513091	0.00637932	0.0173248	0.0410413	0.066359	0.0847145	0.0741046	0.0794068	0.0626535	0.0713178	0.0752709	0.0584378	0.0621597	0.0423124	0.0328266	0.0300285	0.0167196	0.0235651	0.0205981	0.0210496	0.0228038	0.0211117	0.0269185	0.020295
a	0.0739435	0.0639071	0.0518765	0.0533946	0.0655842	0.0621374	0.0453205	0.0559459	0.0444681	0.0540942	0.0632673	0.0647644	0.0429404	0.0338982	0.0410917	0.0240334	0.0282712	0.015009	0.0153897	0.0126232	0.00821328	0.0157891	0.0146534	0.00814296	0.0166109	0.0134834	0.0111465
craché	0.0535523	0.0460228	0.0371949	0.0665957	0.0575947	0.0807048	0.0472112	0.0479157	0.0401295	0.0419993	0.0443831	0.0365532	0.0264405	0.0169391	0.0130129	0.00855776	0.0135528	0.0176549	0.0169402	0.0308399	0.0302354	0.0409558	0.0582663	0.020533	0.0482717	0.0264962	0.0314459
dans	0.021198	0.0270725	0.0505986	0.0639164	0.0420502	0.024378	0.0146164	0.0196348	0.0169004	0.0154906	0.0172217	0.0180783	0.0178505	0.035652	0.0418872	0.074471	0.0746665	0.0597081	0.0484393	0.0527947	0.0434225	0.0402253	0.0463634	0.0317448	0.0411675	0.0267255	0.0337257
la	0.0240981	0.0180797	0.0118646	0.0167167	0.0460729	0.0675182	0.0504554	0.0432511	0.0253475	0.0337902	0.0262799	0.0318055	0.0242285	0.0245596	0.0160711	0.0126236	0.0169313	0.0226639	0.0525232	0.0670446	0.0414226	0.0442635	0.03952	0.0299227	0.0541292	0.0615911	0.0972253
figure	0.0387595	0.0398379	0.0431374	0.0337509	0.0314278	0.0265808	0.0256582	0.0423658	0.0361666	0.0551742	0.0539339	0.0553307	0.0453792	0.0375732	0.0287724	0.0351235	0.0279624	0.0349263	0.0256184	0.0303886	0.0295872	0.033652	0.0319113	0.0240005	0.0287217	0.0374014	0.0668584
de	0.0629197	0.0468329	0.0535128	0.0474137	0.0394586	0.0280505	0.023833	0.0267422	0.0243071	0.0275055	0.021318	0.0208133	0.0199298	0.025578	0.0222671	0.0312678	0.0182829	0.0190786	0.0189439	0.0282441	0.0209959	0.0274402	0.0273152	0.0432101	0.051925	0.0849606	0.137854
son	0.0983879	0.0696963	0.0627296	0.0506146	0.0318184	0.020204	0.00870928	0.0096861	0.00871647	0.0100996	0.00978401	0.012715	0.0125554	0.0148537	0.0167818	0.0188075	0.0140782	0.0123912	0.0120626	0.0212103	0.0210632	0.0384004	0.0386961	0.0682594	0.0675284	0.101462	0.148688
ami	0.0660672	0.0429497	0.0358071	0.0192403	0.0116885	0.0102649	0.0108101	0.0140453	0.0154392	0.0157922	0.0168657	0.0173984	0.016909	0.0225451	0.033302	0.0320124	0.0191751	0.0188524	0.0165079	0.0304082	0.0214046	0.035308	0.040506	0.0546265	0.0883104	0.1169	0.176863
</S>	0.0894253	0.0427327	0.0267916	0.0195679	0.0178029	0.0176878	0.0106371	0.0133263	0.013365	0.0094689	0.00916385	0.0132851	0.0117878	0.0183906	0.0216244	0.0190719	0.0173024	0.0165328	0.0195519	0.0469843	0.0493231	0.0660571	0.0738664	0.0666116	0.0712189	0.0931752	0.125247
