 	m	o	r	o	w	ó	á	m	i	p	f	ú	m	b	á	l	a	n	d	z	ó	r	o	b	v	ú	a	</S>
cet	0.0100311	0.00964554	0.00847425	0.00928839	0.0129386	0.00816192	0.00573491	0.00883088	0.0236678	0.0224617	0.0448655	0.0406101	0.0510111	0.0536372	0.0606904	0.0440627	0.0433079	0.036129	0.0396482	0.0427569	0.0431364	0.0427636	0.0434789	0.0490625	0.0603065	0.0641083	0.0619067	0.0592829
homme	0.303162	0.128827	0.0877692	0.0874242	0.0376043	0.0761001	0.0364139	0.0322421	0.0668873	0.0337454	0.025755	0.00325047	0.00127136	0.00181134	0.00140471	0.00168584	0.00208733	0.00278557	0.00798349	0.00982296	0.0122723	0.00884851	0.0114195	0.0104409	0.00439471	0.00254298	0.00145835	0.00058945
est	0.0460743	0.0432413	0.0332229	0.0252243	0.0245568	0.0421029	0.0187192	0.0235511	0.0275938	0.0292749	0.0412854	0.0836895	0.0688945	0.0529321	0.0465505	0.0300372	0.025889	0.034093	0.0589589	0.0944453	0.0469624	0.0250339	0.0124037	0.0145296	0.0172309	0.0108922	0.0131459	0.00946454
devenu	0.0153536	0.020603	0.0260943	0.0322259	0.0253975	0.0314256	0.0258986	0.0317702	0.0462196	0.0497105	0.0445362	0.0353567	0.0317902	0.0386167	0.0405232	0.0385435	0.0590171	0.0846743	0.0707285	0.0422946	0.0543766	0.039561	0.0196235	0.0153167	0.0170755	0.0157397	0.0205363	0.026991
pâle	0.0557412	0.033274	0.0311781	0.0218485	0.0151635	0.0144643	0.0110257	0.0110064	0.0111595	0.0135659	0.0168865	0.0167037	0.0197459	0.01424	0.0189354	0.0243165	0.0262298	0.0448933	0.0473083	0.0704214	0.0646761	0.0640762	0.0663953	0.063051	0.050824	0.0484068	0.04932	0.0751428
à	0.0805625	0.0475027	0.0276494	0.0209249	0.0244894	0.0162519	0.018899	0.0125232	0.0187213	0.0262119	0.0373456	0.0347549	0.0299127	0.0267058	0.0301767	0.0228767	0.0279581	0.0127392	0.0115934	0.0192218	0.0247933	0.0379703	0.0488695	0.0614393	0.0579828	0.0665223	0.0601335	0.0952679
cause	0.0681084	0.0568399	0.0605011	0.0954504	0.0645933	0.0809642	0.062312	0.0436553	0.0467092	0.0470565	0.0400418	0.036328	0.0269612	0.0142633	0.00773096	0.00617584	0.00623928	0.00549096	0.00881997	0.0131852	0.0197465	0.0215628	0.0238128	0.0287434	0.0279928	0.025569	0.0302261	0.0309199
de	0.0888411	0.0786775	0.0807313	0.0720963	0.0354443	0.0429277	0.0344339	0.0236946	0.0257009	0.0257991	0.0271785	0.0255243	0.0262631	0.019444	0.0180611	0.0170027	0.0114482	0.0118183	0.0111408	0.00850232	0.0144435	0.0234191	0.0250065	0.0305766	0.0291384	0.0424418	0.0401433	0.110101
la	0.0844284	0.0743416	0.0685333	0.0666711	0.0397728	0.0259471	0.0077988	0.00333857	0.00540133	0.00373085	0.00445911	0.00754854	0.00705447	0.00515172	0.00511098	0.00767647	0.00883689	0.0125532	0.0240414	0.0366324	0.0377393	0.0347972	0.0459538	0.04326	0.0548775	0.0509282	0.0679379	0.165477
maladie	0.158486	0.107115	0.0859596	0.0503878	0.0232299	0.0210698	0.0152481	0.0122172	0.0182393	0.00979462	0.0115291	0.0118635	0.0102702	0.00504429	0.00420777	0.00926903	0.0107967	0.0140195	0.0203825	0.0236446	0.0130798	0.0126107	0.0367728	0.0392452	0.0411166	0.0392127	0.0420387	0.153148
</S>	0.117987	0.11084	0.0997419	0.0981182	0.0456649	0.0463975	0.0230673	0.0125066	0.0132975	0.0077112	0.00949591	0.0121226	0.0105063	0.00820259	0.00535822	0.00633283	0.00575975	0.00712889	0.0124322	0.0153709	0.016793	0.0204036	0.0175224	0.0156869	0.023288	0.0253528	0.0350078	0.177903
