 	l	y	ó	l	o	í	t	s	ω	t	á	á	y	a	n	g	a	l	a	l	á	a	d	z	w	a	á	i	s	á	l	a	</S>
chaque	0.0316573	0.0225088	0.0163583	0.0213891	0.0408286	0.0311346	0.0431891	0.0446768	0.0441238	0.0432958	0.0304438	0.0262415	0.0428611	0.0499151	0.0589557	0.0544217	0.0459497	0.0256777	0.0212082	0.0183261	0.0220894	0.0201799	0.0238704	0.0199832	0.0213424	0.0199839	0.0266758	0.0334003	0.0258723	0.0190846	0.0222657	0.0155857	0.0165034
matin	0.0290793	0.0169862	0.0185765	0.0224969	0.0399865	0.0214529	0.00896533	0.00503291	0.00719002	0.00600928	0.00678155	0.0143165	0.0162643	0.0187245	0.038914	0.0424273	0.089085	0.0895632	0.0961681	0.0857828	0.0978388	0.0447221	0.0454478	0.016069	0.0332431	0.0269977	0.015852	0.0120047	0.00691238	0.00770702	0.0101294	0.0067302	0.00254276
le	0.0304798	0.0249925	0.0360807	0.0265535	0.0186148	0.0166743	0.0144676	0.0190995	0.0150967	0.0140835	0.0170284	0.0169468	0.017183	0.0280796	0.0192831	0.0129369	0.0236444	0.0434404	0.0601896	0.0963496	0.0924373	0.0575183	0.0513618	0.0322609	0.0549667	0.0211761	0.0615662	0.0252534	0.020123	0.00858995	0.0111601	0.00796236	0.00439893
père	0.0389031	0.0386483	0.03461	0.0295673	0.036714	0.0498503	0.0521036	0.0557519	0.0416109	0.0322734	0.0450817	0.0415408	0.0291162	0.0320945	0.0161821	0.0125204	0.0148851	0.0317699	0.0411778	0.0421269	0.0355012	0.0374982	0.0247754	0.0292664	0.0223875	0.0147261	0.0197185	0.0118104	0.0114494	0.0119082	0.0114603	0.014175	0.0387952
de	0.0184859	0.0234901	0.0305359	0.0260825	0.0274061	0.0366271	0.0399616	0.0446247	0.0376984	0.0322422	0.0288749	0.0338059	0.0282946	0.0225466	0.0198062	0.0158632	0.0327546	0.0607849	0.0527278	0.0540058	0.0364519	0.0380953	0.0246114	0.0421849	0.00845486	0.0199566	0.0211565	0.0185337	0.0149399	0.0243915	0.0249087	0.0280924	0.0316033
ngala	0.0403902	0.0341346	0.0331008	0.0401151	0.0533986	0.0700987	0.0681997	0.0554381	0.0552902	0.0446693	0.039037	0.048506	0.0421088	0.0413459	0.0204819	0.0121755	0.0097782	0.0129638	0.00985258	0.00798032	0.00693002	0.00843887	0.0117706	0.0180409	0.0113432	0.0215903	0.0217069	0.0287318	0.0213549	0.0314307	0.0265001	0.0275984	0.0254983
part	0.0272381	0.0231612	0.0222129	0.0233959	0.0255924	0.0311553	0.0324562	0.0335241	0.0389952	0.0270785	0.0241597	0.0311229	0.030999	0.0370594	0.0266231	0.029667	0.0209578	0.0373435	0.0410416	0.025488	0.0264744	0.0291612	0.0292663	0.0318699	0.0238782	0.0312849	0.0319102	0.0338405	0.0315906	0.0332709	0.0324525	0.0333512	0.0423771
au	0.0331313	0.0277584	0.026561	0.0274948	0.0282202	0.0303812	0.0323401	0.0298576	0.0246313	0.0139941	0.0132496	0.0134328	0.0139729	0.0140324	0.0126249	0.0157048	0.0147934	0.0247111	0.0252118	0.0217874	0.0225491	0.0326876	0.0265258	0.0474006	0.0166038	0.0484142	0.0207946	0.0433231	0.0219566	0.0507416	0.0536722	0.0809836	0.090456
travail	0.107103	0.0744049	0.0629016	0.0607245	0.0444769	0.030279	0.0239444	0.0240992	0.0230663	0.0171662	0.0166817	0.0210788	0.0153447	0.0172716	0.0178481	0.0187375	0.0177016	0.0176988	0.0300356	0.0265032	0.0120742	0.0126413	0.00519382	0.0121804	0.00301845	0.00585663	0.0037984	0.0141535	0.00925608	0.0216355	0.0241224	0.0554643	0.153537
</S>	0.11026	0.0580638	0.0517198	0.038237	0.0312278	0.0189099	0.0133132	0.0112584	0.0103422	0.00923772	0.00910257	0.0114395	0.0106369	0.0121871	0.0107906	0.0127967	0.0136674	0.0227524	0.0246579	0.0245271	0.0146944	0.0199919	0.0130316	0.0381113	0.00663622	0.021448	0.0123736	0.0292882	0.0161023	0.0411187	0.0404681	0.0765739	0.165033
