 	o	k	a	b	h	i	n	g	á	s	á	p	o	o	y	é	o	n	d	ó	n	g	o	o	t	o	</S>
la	0.00744708	0.0124739	0.010565	0.00758628	0.00790358	0.0113197	0.0340507	0.0502898	0.0858253	0.0514058	0.0499978	0.0591596	0.0601519	0.0752577	0.0627307	0.0559547	0.0583097	0.0496608	0.0455051	0.0403397	0.0372324	0.0143825	0.0260735	0.0220593	0.0221194	0.0206209	0.0215771
seule	0.0179473	0.0278079	0.0320484	0.0631146	0.0300534	0.0354976	0.0325918	0.0499563	0.118014	0.0859095	0.0987357	0.0778285	0.0395318	0.0299138	0.0198042	0.0282559	0.0179089	0.0240469	0.0255229	0.0423757	0.0200955	0.0412491	0.0299661	0.00846733	0.0024307	0.000548461	0.000377559
personne	0.0579093	0.0311681	0.0243158	0.022642	0.0312302	0.0512287	0.0871315	0.102615	0.107393	0.062084	0.0326478	0.0296262	0.0270898	0.0246075	0.0527534	0.0427395	0.0349428	0.0395046	0.0296102	0.0261868	0.0230667	0.0163888	0.0173985	0.00576077	0.00447796	0.00691559	0.00856573
qui	0.0208362	0.0174335	0.0155019	0.0185292	0.0173958	0.0161376	0.020777	0.0109175	0.0148018	0.0134033	0.0229816	0.046875	0.0802568	0.0533386	0.0441814	0.0391523	0.0435981	0.0431567	0.0527399	0.0421583	0.044029	0.0555347	0.0616227	0.0456302	0.0352005	0.069329	0.0544814
m'	0.0504919	0.0677048	0.0701517	0.0731421	0.0674279	0.0634005	0.0461168	0.0402616	0.0334535	0.0242536	0.0193897	0.01646	0.0139679	0.0111847	0.0127695	0.0155744	0.0211755	0.0254682	0.0249216	0.0338727	0.0281573	0.0314237	0.0393741	0.0298315	0.0380394	0.0360192	0.0659662
offre	0.0385093	0.0395646	0.0370652	0.0427317	0.0371791	0.0411833	0.0334869	0.019818	0.0185242	0.0139589	0.0131854	0.0102519	0.00908299	0.0181539	0.022289	0.032709	0.0440189	0.0488975	0.0493437	0.0512167	0.0421871	0.0397911	0.0448627	0.035962	0.0530462	0.0561008	0.10688
des	0.0431702	0.0476126	0.0375449	0.0356368	0.0255126	0.0244382	0.0214765	0.0223044	0.0340777	0.0323221	0.0382537	0.0241019	0.0174893	0.0150088	0.0148232	0.0193964	0.0170902	0.0182891	0.0173108	0.0309685	0.0322562	0.0364183	0.0477243	0.0286158	0.0556871	0.0807879	0.181682
choses	0.0776377	0.0558581	0.0399928	0.0366962	0.0171191	0.0157101	0.0125943	0.00937353	0.0135014	0.0134779	0.0147292	0.0128439	0.00903689	0.0111371	0.0103701	0.0135137	0.0167964	0.0209657	0.0323436	0.0384589	0.0466937	0.0526115	0.0505296	0.0537841	0.0750102	0.0678336	0.181381
dans	0.0857269	0.0567436	0.0433748	0.0409264	0.0296427	0.0280978	0.0178781	0.0131296	0.0111257	0.00858843	0.0106205	0.0104275	0.00889516	0.00802322	0.00756937	0.0145901	0.0150084	0.0184432	0.0254818	0.0425687	0.0412222	0.0620087	0.0648691	0.0666659	0.0777594	0.0846787	0.105934
ce	0.0715468	0.0565941	0.0514336	0.0493341	0.0319729	0.0371037	0.0489127	0.0381189	0.0284128	0.0229675	0.0198346	0.0138438	0.014828	0.0196123	0.0175744	0.0182615	0.0129592	0.0172065	0.0172313	0.0240951	0.0280461	0.045284	0.0496747	0.0431086	0.0572613	0.0551338	0.109648
village	0.0747313	0.0475237	0.0355016	0.0310747	0.0169532	0.0150253	0.00657081	0.00604399	0.00673443	0.00557413	0.00746029	0.00508845	0.00498733	0.00494167	0.00499122	0.0103616	0.0137153	0.0188546	0.030506	0.0525134	0.0381062	0.0770121	0.0626691	0.0620437	0.0864071	0.106706	0.167903
c'	0.136684	0.0563873	0.0322074	0.0245086	0.0157205	0.0125122	0.00524497	0.00380435	0.00449446	0.0043152	0.00624212	0.0040969	0.0039193	0.00454559	0.00523308	0.0143979	0.0162558	0.0163273	0.0255084	0.036296	0.0323562	0.0457488	0.0507117	0.046364	0.069171	0.11609	0.210857
est	0.130815	0.0703743	0.0455302	0.0393212	0.0188382	0.0148721	0.0292055	0.0277458	0.0269553	0.0199434	0.023783	0.032603	0.0261164	0.0120934	0.0111479	0.00947704	0.00801999	0.00926963	0.00951755	0.0130957	0.0181442	0.0236891	0.0368616	0.0293089	0.0534279	0.109288	0.150556
ondongo	0.141667	0.0246129	0.0116185	0.0132197	0.00502982	0.00481238	0.00933158	0.00719731	0.0151305	0.013251	0.0296448	0.0328815	0.0492914	0.0443719	0.0275974	0.0458091	0.0338486	0.0434211	0.0423699	0.0528791	0.033032	0.0688347	0.0820106	0.0409215	0.0324152	0.0447777	0.0500231
</S>	0.0967464	0.0479109	0.0356627	0.0346739	0.0240189	0.0297682	0.0286589	0.0149571	0.0140124	0.00922098	0.0123016	0.00652399	0.00650974	0.00992049	0.00972125	0.01506	0.0172036	0.0178857	0.0237791	0.0367242	0.0428875	0.0571611	0.0609219	0.0540396	0.0610071	0.0876373	0.145086
