 	e	k	w	é	r	í	r	í	y	á	t	s	έ	r	έ	y	é	y	é	e	p	a	s	á	a	b	á	y	á	</S>
cette	0.0108228	0.00889001	0.0120852	0.0146747	0.0123269	0.00857581	0.00904873	0.0205634	0.0393901	0.0494994	0.0467924	0.0560106	0.0315971	0.0343091	0.0306867	0.0361745	0.0385097	0.0220662	0.0289009	0.036612	0.0267563	0.048809	0.0463504	0.0560874	0.0776891	0.0467999	0.0442422	0.0412831	0.0433999	0.0210466
manière	0.011738	0.0326018	0.0787676	0.067244	0.022075	0.0196531	0.00908287	0.00832551	0.0308394	0.086956	0.0498346	0.102631	0.0468168	0.0293699	0.0327438	0.0325479	0.0612631	0.0464965	0.0444288	0.0274767	0.0227913	0.0321107	0.0115298	0.0396563	0.0114736	0.0198408	0.0054845	0.00820237	0.00600243	0.00201606
d'	0.0982327	0.0336278	0.025267	0.0312615	0.0214615	0.0262861	0.0521592	0.0372779	0.024171	0.0230759	0.0166991	0.0205097	0.0227017	0.0443202	0.0309007	0.042069	0.0720135	0.0363967	0.0255045	0.0418486	0.0382342	0.0545569	0.0428474	0.0268707	0.0301962	0.0142872	0.0296205	0.0157931	0.0160996	0.00570982
enfoncer	0.0305114	0.0371578	0.0544514	0.0474189	0.0467346	0.0360498	0.0375031	0.0358339	0.0515302	0.0262311	0.0142355	0.0271988	0.0285389	0.0490076	0.029591	0.0338948	0.0370872	0.035053	0.0399249	0.0547391	0.0449373	0.0327695	0.0290485	0.0182853	0.0212979	0.0189769	0.0176511	0.0132405	0.0152526	0.0358473
la	0.0206106	0.0252142	0.0313154	0.0314479	0.0373169	0.04025	0.0443527	0.0481332	0.0341512	0.0231533	0.0180377	0.0219404	0.0212528	0.0244154	0.0200361	0.0242873	0.023039	0.0242524	0.0328251	0.0533577	0.0543999	0.0356644	0.0291447	0.026413	0.0163664	0.0280053	0.0202316	0.0438454	0.0500304	0.0965096
pointe	0.0389147	0.0300458	0.0525924	0.0491132	0.0452329	0.0553949	0.0517361	0.0392405	0.0336041	0.0305612	0.0201883	0.0192812	0.0212491	0.0170957	0.0266469	0.0299238	0.0232498	0.0295955	0.0358366	0.0192102	0.029109	0.0215629	0.0196165	0.0258319	0.0141861	0.0200148	0.0281919	0.0427065	0.0572414	0.0728259
abime	0.0866479	0.0949594	0.0623594	0.0679054	0.0586365	0.0608142	0.090464	0.0548375	0.0391043	0.0207237	0.0223819	0.0173138	0.0182812	0.016345	0.0236781	0.0186293	0.00833187	0.0196888	0.0206278	0.0158022	0.0172934	0.0128411	0.00495285	0.00980891	0.00790167	0.005544	0.00857877	0.0174315	0.0244705	0.0736449
la	0.0538767	0.071021	0.0437378	0.032496	0.0233044	0.0293047	0.0467933	0.0303988	0.0369029	0.0398633	0.0565392	0.0422692	0.0432386	0.0281819	0.0319478	0.0156293	0.00458351	0.00560705	0.00601488	0.00828599	0.0136093	0.0197676	0.00983823	0.0262411	0.0296942	0.0284131	0.0300215	0.0474489	0.0516372	0.0933326
planche	0.0369371	0.0678249	0.0434094	0.033349	0.0253624	0.0233116	0.024625	0.0181318	0.0159157	0.0172438	0.0262358	0.0216484	0.0241806	0.0145514	0.0205116	0.0195258	0.0184374	0.0230821	0.0159607	0.00929471	0.0170373	0.0146292	0.00711422	0.020191	0.00708495	0.0103321	0.0133246	0.105766	0.13493	0.170052
</S>	0.0853764	0.0918316	0.0839025	0.0603558	0.0806919	0.0917507	0.0982368	0.0404238	0.0200619	0.0158376	0.0163733	0.0111519	0.0133501	0.0152476	0.0215649	0.0210526	0.0132416	0.0204663	0.0154327	0.0111154	0.00939335	0.00873715	0.00506178	0.0101419	0.0112248	0.00849414	0.0165091	0.0154151	0.0176321	0.0699252
