 	o	k	o	n	d	z	i	l	á	a	y	é	l	á	á	m	b	a	o	y	e	n	á	</S>
le	0.0150196	0.00994765	0.00851315	0.00818772	0.0081345	0.0108804	0.0125717	0.0212662	0.0507216	0.0502885	0.0514426	0.0517425	0.0533398	0.0682115	0.0600082	0.0864465	0.104205	0.0742665	0.0670822	0.0488398	0.0420745	0.0382704	0.034763	0.0237767
chef	0.0654488	0.150656	0.184439	0.185435	0.109059	0.0572971	0.017584	0.00557246	0.00603242	0.00739749	0.0457365	0.0290821	0.0226786	0.0104709	0.0125774	0.0141073	0.0175767	0.0201645	0.0250511	0.0062517	0.00418842	0.00170451	0.000852663	0.000637031
ne	0.0477505	0.0431156	0.0457913	0.0520167	0.0528468	0.0470362	0.0563788	0.0680774	0.065873	0.0622577	0.0397591	0.0439074	0.0238905	0.042191	0.0431292	0.0800997	0.0618847	0.0674659	0.0302393	0.00999631	0.00732271	0.00377425	0.00291209	0.00228369
tient	0.0679954	0.101436	0.110462	0.0892709	0.0803705	0.0389047	0.0347504	0.0472478	0.0578033	0.0566627	0.064279	0.0519259	0.0642334	0.0236713	0.0220304	0.017125	0.00719029	0.0084109	0.0110424	0.00651223	0.0097454	0.00899987	0.00578976	0.0141404
pas	0.038633	0.0238613	0.0307646	0.0323496	0.0488946	0.0488154	0.0577431	0.0417824	0.0394862	0.0267643	0.0334165	0.0421664	0.0509834	0.0368766	0.0362419	0.0353369	0.0563098	0.0723149	0.0519323	0.0336513	0.0394593	0.0401314	0.0338772	0.0482076
compte	0.0293623	0.0272636	0.0394243	0.0485669	0.048276	0.0655154	0.0749579	0.0357648	0.0349622	0.0237223	0.0477436	0.0504312	0.0434868	0.0203288	0.0162381	0.0120791	0.0187565	0.0281099	0.0437047	0.052849	0.0554223	0.0556313	0.0498935	0.0775096
de	0.0192356	0.0200829	0.0304537	0.03942	0.0367934	0.0513689	0.0643729	0.0593308	0.0666144	0.0485491	0.0372465	0.0319182	0.0235995	0.0161332	0.00948458	0.00944302	0.0151183	0.0273953	0.0485967	0.0629656	0.0638554	0.0661308	0.070175	0.0817162
certaines	0.0295857	0.0287508	0.0312303	0.0347993	0.0332698	0.0312591	0.042213	0.0348885	0.0343482	0.0182123	0.0130908	0.0111585	0.0114085	0.0144404	0.0121201	0.01527	0.0377994	0.0591573	0.0672562	0.0749549	0.0718437	0.0737325	0.0892101	0.130001
lois	0.105331	0.0800718	0.0823107	0.0864986	0.0494859	0.0295524	0.00734384	0.0101294	0.00691923	0.00612412	0.00653518	0.00494597	0.0102519	0.0109898	0.0138514	0.0184136	0.027616	0.0355459	0.0713295	0.066357	0.0639204	0.0489438	0.0484653	0.109067
</S>	0.0406727	0.0309417	0.0282392	0.0281563	0.0276038	0.0272686	0.0315396	0.0343567	0.0247343	0.0243086	0.0222819	0.0263416	0.0190189	0.0166174	0.0124827	0.0118252	0.0172921	0.0273389	0.050479	0.0777656	0.0946684	0.102539	0.102943	0.120585
