 	m	v	ú	á	á	n	ώ	ω	s	i	o	n	ώ	ω	n	g	á	l	í	i	d	z	w	a	k	ώ	p	á	b	h	a	</S>
même	0.0135123	0.018877	0.0169622	0.015174	0.0156657	0.0158624	0.0106084	0.0105227	0.0229573	0.0227388	0.0415381	0.0463551	0.0601871	0.0657305	0.0635097	0.0423053	0.0280344	0.0251136	0.0249404	0.019721	0.00926456	0.0146303	0.019059	0.021904	0.0370232	0.0484757	0.0477831	0.0544451	0.0564236	0.0468669	0.0357079	0.0281005
s'	0.135958	0.0375339	0.0190463	0.0170684	0.0201641	0.0101265	0.0135619	0.013048	0.0182146	0.0293928	0.0965897	0.114989	0.108075	0.128672	0.0891368	0.0368192	0.0259475	0.00917386	0.00360217	0.00499079	0.00284117	0.00227612	0.0122613	0.00322234	0.00488626	0.00330242	0.00628652	0.00929192	0.00509188	0.00538061	0.00677837	0.00627035
il	0.0670529	0.0674383	0.0410877	0.0439668	0.0559327	0.0365805	0.0472607	0.0483802	0.0327465	0.0421971	0.0189314	0.023187	0.0287884	0.0262085	0.0346666	0.04618	0.0159324	0.0105898	0.0157981	0.0109593	0.00865406	0.0191353	0.0379907	0.0180226	0.0302684	0.0224554	0.0248993	0.0355217	0.022344	0.0181577	0.0257815	0.0228845
pleut	0.0329904	0.0298346	0.0309092	0.0368058	0.0485427	0.0380543	0.0630575	0.0689949	0.0556298	0.0315936	0.0185785	0.021265	0.024655	0.0369949	0.0417862	0.0416252	0.0422091	0.0393226	0.0546501	0.0856053	0.0240269	0.019912	0.0152446	0.0122089	0.00998174	0.00811308	0.00740008	0.00774835	0.00717099	0.00763367	0.0122753	0.0251797
j'	0.023523	0.0341895	0.0295942	0.0458623	0.0569732	0.0492049	0.0598133	0.0485588	0.0587432	0.052182	0.0133949	0.0306637	0.0221924	0.0266809	0.0412329	0.0355321	0.0409679	0.0400486	0.0520837	0.0367487	0.024336	0.0197094	0.00602392	0.0102512	0.00925048	0.00913651	0.00969533	0.0114943	0.00893413	0.0102312	0.0178952	0.0648522
irai	0.0261194	0.0409704	0.0308859	0.0329252	0.0328911	0.0266663	0.0288382	0.0250538	0.0245904	0.0264553	0.0295921	0.0327315	0.0324338	0.036979	0.0546924	0.0884405	0.0597738	0.0412324	0.0641076	0.0209951	0.0105114	0.0244757	0.0107907	0.0119815	0.0101519	0.0114722	0.0141462	0.0157455	0.0167896	0.0220188	0.0326043	0.062938
en	0.0259529	0.0538515	0.0447723	0.047957	0.0446016	0.0335598	0.0362204	0.0430084	0.0390121	0.0332062	0.02781	0.0410361	0.0378174	0.0294299	0.0408593	0.057298	0.0376569	0.0248292	0.0272199	0.0135705	0.00657141	0.0146701	0.00783898	0.0102953	0.00699835	0.00770201	0.0128193	0.0135725	0.0156033	0.0246497	0.0367944	0.102815
forêt	0.0450489	0.0827752	0.0556729	0.0575508	0.046693	0.047336	0.0619873	0.0388602	0.0290351	0.0290954	0.0257736	0.0376973	0.0429214	0.0425235	0.0428577	0.0387564	0.0281472	0.0148253	0.00794773	0.00330288	0.00228735	0.0036926	0.00254175	0.00342637	0.00191326	0.00318055	0.00570279	0.00733318	0.0119895	0.0248403	0.0415952	0.112689
aujourd'	0.0674911	0.0731166	0.0514819	0.0456545	0.0407868	0.0273915	0.0225077	0.0273431	0.0221226	0.0200862	0.0184937	0.026311	0.0309315	0.0465602	0.0538084	0.0534703	0.0608145	0.0396489	0.0203633	0.00356627	0.00866368	0.022885	0.00291587	0.00620897	0.00443666	0.00936242	0.0100035	0.0146	0.0165167	0.0267246	0.0318673	0.0938651
hui	0.244454	0.0906241	0.0601973	0.0368934	0.0333509	0.0222931	0.0256803	0.0272806	0.0141642	0.0143899	0.0143078	0.015225	0.0116993	0.0198283	0.0172177	0.0199136	0.0196319	0.012726	0.0206766	0.00328029	0.00577583	0.00698217	0.00335388	0.00556105	0.0054662	0.0143226	0.0154982	0.0227712	0.0334646	0.0429349	0.0471982	0.0728369
</S>	0.131247	0.0588926	0.0493305	0.0288112	0.0231033	0.0145557	0.0175107	0.019593	0.0118382	0.0121812	0.0109866	0.0102262	0.00656477	0.00771824	0.00710738	0.0121679	0.0121602	0.0113715	0.02049	0.0122306	0.0160621	0.0199099	0.0218465	0.0250453	0.0241664	0.0233444	0.0304379	0.0342806	0.0437893	0.0555956	0.0769728	0.150462
