 	b	í	s	í	l	é	w	ú	r	u	o	k	w	ε	r	έ	a	k	w	a	k	w	á	n	g	o	m	í	t	ó	n	g	a	l	á	k	ú	k	u	</S>
nous	0.0720473	0.0410837	0.0279645	0.0203841	0.0422744	0.0205312	0.0252692	0.013214	0.0205486	0.0274986	0.0430048	0.0385108	0.0265335	0.0312748	0.0339629	0.020963	0.0178188	0.0256607	0.0130907	0.0186504	0.0109336	0.028723	0.0181685	0.0317494	0.0160886	0.0152523	0.0193646	0.0196959	0.0154224	0.0172393	0.0179997	0.0238988	0.0215727	0.0282594	0.0244686	0.0186644	0.0269129	0.0252154	0.0165691	0.0235151
venons	0.0504136	0.043413	0.0374418	0.0419753	0.044861	0.0417845	0.0569884	0.0460733	0.0636066	0.0607567	0.0711833	0.0828511	0.086128	0.0431821	0.0366162	0.0123608	0.00894309	0.00841082	0.0151236	0.0063495	0.0045366	0.00573137	0.00274382	0.00777714	0.00253266	0.00418644	0.00561817	0.00492729	0.00885978	0.0038571	0.00735932	0.00866836	0.015308	0.0143663	0.0113386	0.0115372	0.00824018	0.00570283	0.00368697	0.00455929
de	0.0510629	0.0755806	0.0725327	0.0315047	0.0241091	0.025682	0.0260536	0.036721	0.0379968	0.0326272	0.0242565	0.021379	0.0257246	0.0235445	0.0245597	0.0167995	0.0166583	0.0179368	0.0275647	0.0104748	0.0255994	0.0125445	0.0256777	0.0192261	0.0308439	0.0303053	0.0155259	0.0188956	0.0164231	0.0165017	0.0135832	0.0146981	0.0160111	0.0201907	0.0115115	0.0126883	0.0163244	0.025459	0.0259488	0.00927257
couper	0.0154439	0.0149295	0.0152622	0.0170949	0.0156197	0.0182448	0.0228656	0.0230985	0.0248673	0.0218956	0.0227654	0.0250701	0.0265321	0.0416326	0.0395809	0.0511944	0.0659487	0.0565104	0.0456715	0.0307181	0.0287407	0.0343946	0.0216063	0.0234962	0.0163404	0.0156181	0.0116337	0.0149788	0.0138869	0.0108624	0.0125229	0.0151392	0.0162757	0.023121	0.016224	0.0120259	0.0218621	0.0288205	0.0295813	0.0379232
les	0.0106441	0.00975169	0.00938621	0.0100354	0.0107066	0.0103473	0.0138628	0.00912439	0.0118139	0.0111726	0.0134112	0.014506	0.0236863	0.0381105	0.033525	0.0544591	0.073973	0.032446	0.0210189	0.0376027	0.0320802	0.0323251	0.0360584	0.0253469	0.0224599	0.0435759	0.03925	0.0341164	0.0190369	0.0223544	0.0195795	0.0106737	0.0111013	0.00969879	0.0133367	0.0185625	0.0257599	0.0344543	0.0306822	0.0699632
lianes	0.0176151	0.0155341	0.0103454	0.0109474	0.0109126	0.00953547	0.00984263	0.00859504	0.0102265	0.0101978	0.0121752	0.0130724	0.0173236	0.0264722	0.0233543	0.0502484	0.0675442	0.0399889	0.0243183	0.0296045	0.0283664	0.0373658	0.0344753	0.0257376	0.0300656	0.0323381	0.0343269	0.0275867	0.0272709	0.0203951	0.0267867	0.0168106	0.0156445	0.0122958	0.0194128	0.021536	0.0237228	0.030174	0.0318667	0.0859678
nommées	0.0115598	0.00701572	0.00519555	0.00598835	0.0144117	0.0165991	0.0204133	0.0190201	0.0222995	0.0227869	0.0267069	0.0278347	0.0330069	0.0423453	0.0328294	0.0444287	0.0489346	0.0429593	0.0335452	0.0341053	0.0359617	0.0344509	0.0247	0.0244971	0.0299719	0.0273376	0.0233023	0.0210765	0.016614	0.0201807	0.0202228	0.0165883	0.0175817	0.0172416	0.0187694	0.0195254	0.0209102	0.0223425	0.0240457	0.0526935
kwakwango	0.0187898	0.0121554	0.0100343	0.00993161	0.00990116	0.00927923	0.0120835	0.00874734	0.00899466	0.00613484	0.00659597	0.00639903	0.00745464	0.0125536	0.0120255	0.0183614	0.0258389	0.0162325	0.00805917	0.0171106	0.0233767	0.0215529	0.0325373	0.0320568	0.0363949	0.0400784	0.041477	0.0308369	0.0396414	0.0334948	0.0354257	0.0357045	0.0293707	0.0299972	0.0395745	0.0578049	0.0435966	0.0461568	0.0425998	0.0716389
pour	0.0142788	0.0127995	0.0116451	0.0103262	0.00772782	0.00702548	0.00910883	0.00734046	0.00738684	0.0077421	0.00706237	0.00707138	0.00834715	0.0122546	0.0119785	0.0171414	0.0219789	0.00983467	0.00791249	0.0163457	0.0230116	0.0209905	0.0321016	0.0305831	0.0323197	0.0311663	0.0402103	0.0318292	0.0349541	0.0358724	0.0382395	0.0301085	0.0282207	0.0250958	0.041287	0.0603478	0.0456616	0.0522821	0.0563017	0.0941081
construire	0.024845	0.0213974	0.0187068	0.0170647	0.00850522	0.00662982	0.00574699	0.00494769	0.00536264	0.00392512	0.00487902	0.00501682	0.00454503	0.00661714	0.00845577	0.0106299	0.0152459	0.00971202	0.00812078	0.0108425	0.020639	0.0318713	0.0373507	0.0420365	0.0336467	0.0304515	0.0265522	0.0246945	0.0283092	0.0368664	0.0350606	0.0298817	0.0365654	0.0321647	0.0455609	0.0480032	0.0513204	0.060061	0.0687989	0.0789688
