 	a	b	á	á	á	d	í	i	m	b	v	a	l	a	a	s	a	n	y	a	</S>
il	0.0300426	0.0498221	0.0741428	0.153353	0.143602	0.150233	0.106775	0.0306724	0.0244175	0.0314866	0.0245152	0.0294735	0.0251211	0.0211917	0.020606	0.0150823	0.0240388	0.0161758	0.0121253	0.00918779	0.00793523
y	0.0832093	0.10049	0.102828	0.0927671	0.0563877	0.0647129	0.0518467	0.0509603	0.0475495	0.0359316	0.0229814	0.0575655	0.0169645	0.0177963	0.0210646	0.0144342	0.0251683	0.0505714	0.0309402	0.0319398	0.0238913
a	0.123712	0.0550145	0.0392651	0.0324473	0.0268078	0.0345177	0.0411273	0.0552608	0.0675933	0.0528104	0.0556989	0.0430727	0.0313031	0.0299266	0.0426931	0.0503895	0.0426589	0.0473004	0.0478282	0.0462127	0.0343601
autant	0.0635181	0.0477703	0.0404355	0.0460755	0.0417687	0.0404479	0.0335312	0.0228071	0.0283724	0.0210837	0.0356065	0.0533339	0.0489193	0.0457746	0.0408676	0.0556911	0.0486525	0.0638944	0.0666537	0.0865286	0.0682672
de	0.0265501	0.0122484	0.0148331	0.0193012	0.0140738	0.0163565	0.0244791	0.0508867	0.075585	0.0737427	0.0792895	0.0608197	0.0457524	0.0500037	0.0642507	0.076147	0.062721	0.0691391	0.0494014	0.0374243	0.0769946
couteaux	0.0519583	0.024841	0.0230684	0.0330895	0.0226488	0.0253578	0.0336487	0.0453449	0.0740927	0.0696709	0.0742186	0.0634728	0.0365648	0.0272646	0.0332622	0.0404895	0.0472135	0.0588668	0.0560153	0.0488442	0.110067
que	0.0380379	0.0225923	0.0227692	0.0312289	0.0202809	0.0265438	0.0268408	0.0187036	0.0304862	0.0303171	0.059678	0.0590494	0.0550293	0.0601393	0.0516813	0.0613625	0.0742637	0.0725791	0.0817141	0.0600061	0.0966964
des	0.0305774	0.0347358	0.035197	0.0442671	0.0318861	0.0434294	0.0416256	0.023813	0.0412459	0.0329688	0.0448841	0.0344316	0.0346218	0.0341376	0.0347689	0.0319686	0.0401639	0.0571131	0.104876	0.0873791	0.13591
fourchettes	0.0777533	0.039286	0.0379666	0.0374255	0.0360578	0.0369625	0.0314322	0.0138786	0.0155312	0.0180186	0.0323383	0.0593617	0.0487211	0.0400286	0.0340772	0.0462252	0.0631422	0.0679855	0.0788275	0.0673463	0.117634
</S>	0.0675153	0.0353859	0.034187	0.0288285	0.0251121	0.0289926	0.0212489	0.0107118	0.0140823	0.0149289	0.0292615	0.0606459	0.0525298	0.0279298	0.0237858	0.0478082	0.0659361	0.0906288	0.100745	0.106682	0.113054
