 	é	m	i	b	v	u	á	l	a	w	a	ε	b	h	a	n	á	a	ε	p	ω	ώ	o	t	o	m	ó	i	w	á	a	</S>
il	0.0252027	0.0103205	0.010396	0.00707815	0.0118669	0.0476824	0.0270745	0.061905	0.0359654	0.0658289	0.0585554	0.0999361	0.0935935	0.0918123	0.048614	0.0275313	0.018282	0.0177016	0.0212447	0.0249107	0.0096816	0.0150268	0.0163918	0.0151687	0.00925909	0.0124319	0.0123402	0.0274996	0.0152516	0.0306499	0.017706	0.0130905
n'	0.0468075	0.0517693	0.0443306	0.0522473	0.0680435	0.0383396	0.0541259	0.0371048	0.0465146	0.0241766	0.0422591	0.0469395	0.0510106	0.0508844	0.0233644	0.0257312	0.020106	0.0266757	0.0172106	0.0230731	0.0339311	0.0211382	0.031146	0.0401853	0.02861	0.00573495	0.0130476	0.00689733	0.0076295	0.00698986	0.00838336	0.00559244
a	0.0381631	0.05134	0.0439837	0.0431978	0.033441	0.0203778	0.0133338	0.0227079	0.0309281	0.0222853	0.0223246	0.0271399	0.0334595	0.0159269	0.0311343	0.035992	0.0451438	0.0639089	0.0269104	0.0548871	0.0672912	0.0634676	0.03009	0.0215199	0.0368133	0.023751	0.0246933	0.0150585	0.00895072	0.012783	0.00999519	0.00900011
plus	0.056347	0.0294365	0.0358538	0.0212418	0.0149195	0.0100163	0.0126085	0.00962226	0.0110979	0.00935147	0.0121209	0.0175559	0.0135597	0.0327338	0.017365	0.0257861	0.0286396	0.0239254	0.0420866	0.0340188	0.0341309	0.0561314	0.0680282	0.137861	0.0932758	0.0584855	0.018377	0.00827892	0.0173603	0.0112931	0.0170567	0.021434
qu'	0.0136354	0.0110788	0.0106235	0.0153283	0.00864221	0.00776129	0.00966708	0.00677941	0.00652937	0.00457521	0.0041881	0.00480355	0.00613658	0.00640591	0.00974485	0.0267771	0.0358934	0.0440936	0.0426947	0.0309454	0.0204392	0.0331037	0.0331968	0.0991818	0.149983	0.131288	0.0773874	0.0594917	0.0206315	0.0210333	0.0234511	0.0245093
un	0.0167946	0.0212177	0.018128	0.0222648	0.022607	0.0221654	0.0244813	0.0196722	0.0202728	0.0179623	0.0133038	0.0158283	0.0245796	0.0143051	0.0182962	0.0122171	0.0182498	0.0299382	0.0301623	0.0252552	0.0111109	0.0267615	0.0175366	0.0571453	0.0987883	0.109207	0.0727407	0.0471923	0.0413419	0.0323484	0.026713	0.0514126
an	0.0621882	0.0632857	0.0745775	0.0733179	0.0668041	0.0407984	0.0694953	0.0363272	0.0274348	0.0248238	0.0175106	0.0229572	0.0313984	0.0214992	0.010805	0.0105769	0.00923019	0.0191786	0.0105047	0.0119354	0.0104783	0.0151984	0.00841739	0.0109398	0.00877556	0.017696	0.0304748	0.0280699	0.0310544	0.035138	0.0273277	0.0717807
à	0.0319511	0.035931	0.0376308	0.0382867	0.0409154	0.0392282	0.0382087	0.0231135	0.0204336	0.0210567	0.0138466	0.0228606	0.0348197	0.0227704	0.0138064	0.0136094	0.0131349	0.0361883	0.035494	0.0275086	0.0174921	0.0338918	0.0140688	0.0212788	0.0156904	0.0391958	0.0408709	0.0279787	0.026921	0.0405642	0.0454693	0.115784
vivre	0.0910308	0.0594389	0.0561522	0.0462825	0.0372408	0.0219235	0.0200902	0.0189858	0.0128998	0.0110859	0.00865376	0.010249	0.0161245	0.0162675	0.00717167	0.0146849	0.0107695	0.0170096	0.0166783	0.0160184	0.0144705	0.0164575	0.0121513	0.015364	0.0170993	0.0336741	0.0438193	0.0381543	0.0508337	0.0539587	0.0788332	0.116427
</S>	0.0370624	0.030778	0.0287411	0.0268913	0.0284454	0.0238117	0.0121507	0.0103682	0.00740758	0.00630907	0.00572117	0.00582392	0.00663176	0.00827424	0.0100912	0.0107571	0.0136238	0.0159023	0.0236007	0.0172482	0.0174645	0.0213013	0.0192636	0.0264331	0.0322418	0.0489651	0.0801342	0.0855563	0.0839242	0.0821219	0.0841834	0.0887708
