 	n	d	é	e	y	é	é	b	h	í	i	p	f	u	s	a	t	s	í	n	a	y	í	a	é	m	i	p	é	n	d	á	o	b	í	a	</S>
cette	0.0245286	0.0582591	0.0521125	0.0347735	0.0203295	0.0117579	0.0275387	0.0681546	0.0445078	0.0459251	0.0557009	0.0476398	0.037852	0.0194809	0.0130467	0.0126319	0.0111423	0.0115216	0.0131268	0.011716	0.00894493	0.00983101	0.00834273	0.00958878	0.00874994	0.0114398	0.0152511	0.015926	0.017488	0.0271109	0.0266745	0.0431729	0.0380904	0.0323225	0.0402959	0.0332558	0.0317685
maison	0.0238645	0.0297206	0.022113	0.026808	0.0261813	0.0324116	0.0524542	0.0719052	0.0809894	0.165838	0.124791	0.0595288	0.0104095	0.009177	0.00494126	0.00560892	0.00599138	0.00768541	0.00403866	0.0019494	0.00355785	0.0131351	0.00811172	0.00957177	0.0160429	0.0229045	0.0259242	0.0304732	0.0290769	0.0235966	0.0144909	0.0169633	0.00966893	0.00446199	0.00360019	0.0012125	0.00080034
est	0.0369709	0.0220782	0.0262875	0.0367147	0.0558722	0.0793983	0.103956	0.0633662	0.0408384	0.0227232	0.00700754	0.00539283	0.00598629	0.00697542	0.00898981	0.0106181	0.01013	0.0171688	0.0220465	0.0137413	0.0189198	0.0174363	0.0183366	0.02044	0.0226224	0.0247152	0.033545	0.0202432	0.0268031	0.0280359	0.0393238	0.0444654	0.0397273	0.0222656	0.0118906	0.0102533	0.00471423
en	0.0455126	0.0336752	0.0406475	0.0442942	0.0547522	0.0803759	0.0766236	0.0569122	0.0342782	0.0454244	0.0148113	0.0188331	0.00847296	0.0144003	0.0165016	0.0185666	0.0205399	0.0198888	0.0202684	0.0159833	0.0163184	0.0119669	0.0101898	0.0116692	0.0138462	0.0148391	0.0181445	0.0271827	0.0281741	0.0242902	0.0246433	0.0227764	0.0203375	0.0177913	0.0143009	0.0182641	0.0245034
état	0.0237838	0.0134993	0.00967161	0.0080358	0.00901982	0.0135696	0.0124511	0.011286	0.0153662	0.0308578	0.0464284	0.0304281	0.0257609	0.0340833	0.0260298	0.0311223	0.027547	0.0282611	0.0224996	0.0239416	0.0224915	0.0338698	0.0231932	0.0325378	0.0255179	0.0362869	0.0322843	0.0607664	0.0500553	0.0349699	0.0365902	0.0395128	0.036886	0.0333658	0.0233085	0.0185142	0.0162063
de	0.0158157	0.0107056	0.00697067	0.00464983	0.0066529	0.0135704	0.0143779	0.015366	0.016667	0.0307223	0.0344551	0.0421717	0.024635	0.0287391	0.0264861	0.0290614	0.02606	0.0238178	0.0237225	0.0247978	0.0347152	0.0316491	0.0229747	0.0547681	0.0418802	0.0655388	0.045515	0.0359085	0.035883	0.0182429	0.0229012	0.0316279	0.0284991	0.0247814	0.0285723	0.028176	0.0289219
délabrement	0.0107212	0.0085811	0.00770519	0.00691143	0.00879069	0.0130458	0.0121595	0.0100751	0.00791731	0.0139257	0.0125379	0.0122693	0.0099734	0.00970279	0.00632525	0.0136253	0.0148275	0.0212085	0.0301418	0.0283873	0.0519321	0.0503474	0.056774	0.100725	0.0679447	0.107168	0.0895303	0.0328622	0.0316444	0.0118669	0.015082	0.0278677	0.02423	0.0173808	0.0231731	0.0182695	0.0143697
car	0.0400456	0.0233912	0.0195133	0.01559	0.0112257	0.00812569	0.00926864	0.00960246	0.00775382	0.0104216	0.0116203	0.0114651	0.0138418	0.0203536	0.0227801	0.036563	0.0353971	0.0364367	0.0294235	0.0426859	0.0357041	0.0457021	0.0281298	0.0284938	0.0328843	0.0177651	0.0146707	0.0176782	0.0160749	0.0190873	0.0231007	0.0382215	0.0401269	0.0391054	0.0556776	0.0607833	0.0712892
elle	0.0175978	0.0133488	0.0213446	0.0219924	0.0208208	0.024615	0.0189234	0.0271528	0.0239637	0.0108633	0.0149865	0.0155276	0.0237792	0.0217525	0.032938	0.0421506	0.0395128	0.0336132	0.047286	0.0484479	0.0548583	0.0454205	0.058211	0.0388528	0.0277122	0.0288941	0.0261087	0.0242066	0.0147862	0.0164357	0.0115243	0.00994749	0.00826129	0.00836868	0.0114673	0.0216314	0.0726967
est	0.137546	0.0712636	0.0411778	0.028025	0.0176756	0.00986467	0.00952322	0.0124863	0.00783197	0.0153675	0.0172157	0.024309	0.0290435	0.0456771	0.0488794	0.0399069	0.0291816	0.0141404	0.0114933	0.0152655	0.0106193	0.0133505	0.0138455	0.0145208	0.0159222	0.0141099	0.0124546	0.0155792	0.0102913	0.0162099	0.0149296	0.0187903	0.0192558	0.0141277	0.0244746	0.0453382	0.100306
déjà	0.0770712	0.0349036	0.0170119	0.013695	0.00725249	0.00651367	0.0058724	0.00735747	0.00520976	0.00801675	0.0101459	0.0153073	0.0237281	0.0457952	0.0555305	0.0542009	0.0444549	0.0334197	0.0307645	0.0367858	0.0279754	0.0293265	0.0215218	0.0238154	0.0279668	0.0209629	0.0195295	0.0268666	0.0217782	0.0162688	0.0148215	0.0187414	0.0176413	0.022347	0.0399156	0.0365077	0.0809767
