 	a	p	o	o	m	á	t	á	a	t	í	á	d	i	í	l	a	l	ω	n	g	ω	á	b	a	á	</S>
les	0.0582208	0.0342002	0.0336806	0.0119558	0.0242428	0.024162	0.0236058	0.0305772	0.0260252	0.023936	0.026606	0.0849394	0.0868609	0.0719884	0.0603632	0.0627588	0.0451662	0.0659239	0.0449669	0.0225305	0.0204911	0.0228894	0.0209431	0.0200738	0.020243	0.0188366	0.0138126
petits	0.0340349	0.045164	0.0383316	0.0324628	0.0792145	0.0742688	0.0574481	0.0770041	0.0557369	0.0342938	0.0311141	0.0246071	0.0353677	0.0312945	0.0300365	0.0331501	0.0242589	0.0360168	0.0336847	0.025109	0.0597986	0.0377653	0.0206293	0.0177946	0.0128752	0.0118132	0.00672469
villages	0.0603602	0.0613795	0.0609944	0.0761994	0.0657153	0.0713957	0.089719	0.0639195	0.0371424	0.0184624	0.0104183	0.011733	0.0114555	0.0146616	0.0167642	0.0297884	0.0260825	0.0230871	0.0280569	0.032209	0.0468922	0.0318892	0.0341963	0.0277046	0.0174241	0.0182209	0.014128
sont	0.0158964	0.0369257	0.0354178	0.0363719	0.0394198	0.0441286	0.0703774	0.0763866	0.124931	0.121056	0.127473	0.0554946	0.0396644	0.0313195	0.0293611	0.0159413	0.0123267	0.0076962	0.00314921	0.00463719	0.00440093	0.00511337	0.00559564	0.00510974	0.00738674	0.0138547	0.0305654
bâtis	0.0307955	0.0283306	0.0285917	0.0323042	0.039343	0.0444029	0.0422653	0.0476635	0.0503113	0.0581789	0.0481042	0.0538892	0.0488411	0.0598572	0.0551213	0.0419472	0.0285195	0.0336608	0.0209469	0.0164857	0.0137985	0.0170169	0.013186	0.013159	0.0169051	0.050803	0.0655715
avec	0.0535101	0.0475752	0.0368724	0.0285927	0.0293949	0.0365454	0.046784	0.0492169	0.0504109	0.0539162	0.0494941	0.047079	0.0397074	0.043707	0.0500416	0.0314507	0.0180722	0.0155221	0.0150587	0.0191975	0.0135978	0.0219562	0.0158983	0.0186797	0.0234749	0.05665	0.087594
deux	0.0269024	0.0186394	0.0189964	0.0185151	0.0215417	0.024592	0.040028	0.041471	0.0499432	0.0560854	0.0458131	0.0592127	0.0389803	0.0432011	0.0515653	0.0335666	0.0347887	0.033972	0.0130372	0.0238771	0.0135305	0.0421456	0.0292178	0.0483115	0.0385046	0.052858	0.0807033
rangées	0.0217575	0.0194377	0.0274838	0.0348188	0.0350077	0.0351262	0.0333454	0.0334526	0.0207379	0.0153031	0.0170179	0.0236101	0.0167532	0.0184125	0.0160931	0.0239437	0.0163444	0.0278486	0.0192972	0.0382689	0.0246172	0.060104	0.0494524	0.0575215	0.0787813	0.109864	0.1256
de	0.0437293	0.0489772	0.0582358	0.0598819	0.0534496	0.0551229	0.0456612	0.0552407	0.0184569	0.0137758	0.0199099	0.0134611	0.00974018	0.00847315	0.00835806	0.0112236	0.00859561	0.011005	0.00769554	0.0294886	0.0191824	0.045062	0.0388575	0.0483692	0.0413394	0.0813614	0.145346
maisons	0.124838	0.0786602	0.0568039	0.0490901	0.0464428	0.0436668	0.0325932	0.0309645	0.0112371	0.00776857	0.012033	0.00669497	0.00521946	0.00453221	0.00422006	0.00671486	0.00486356	0.00829431	0.0130864	0.0406172	0.0281958	0.0501271	0.0447853	0.0621447	0.0548721	0.0716445	0.0998898
</S>	0.0599808	0.0497273	0.0363314	0.0397217	0.0396901	0.0368481	0.033118	0.0329743	0.0269741	0.0195074	0.0232583	0.010067	0.00887743	0.00901107	0.00803381	0.0107322	0.0108589	0.0102802	0.0233569	0.0588702	0.0359506	0.0482077	0.0383336	0.0573369	0.0513378	0.0763121	0.144302
