 	n	g	á	e	k	o	o	é	k	a	b	h	i	r	i	m	ó	s	i	n	g	a	</S>
je	0.163662	0.241636	0.18497	0.050383	0.0159404	0.00893658	0.00586624	0.0166603	0.0307527	0.0220034	0.0168115	0.0140767	0.0126232	0.0107152	0.0108825	0.0105859	0.0144183	0.0242907	0.0249834	0.024891	0.0251634	0.0388027	0.0309446
me	0.231366	0.121141	0.0916985	0.0611045	0.038606	0.0415012	0.0336427	0.0298139	0.0201393	0.0180171	0.0220884	0.0209893	0.0135944	0.0149309	0.0143852	0.052435	0.0239566	0.0195108	0.0193395	0.0161404	0.0221367	0.0400464	0.0334162
suis	0.120359	0.0584137	0.0449532	0.0792078	0.0707814	0.0470544	0.0190043	0.0162818	0.0126403	0.0138034	0.0136796	0.0185935	0.0223619	0.0285573	0.0317857	0.0849359	0.046393	0.0523087	0.0412773	0.0530699	0.0525597	0.0447776	0.0272006
pris	0.0226277	0.00883731	0.00689607	0.022451	0.0475069	0.0620218	0.0436817	0.0246503	0.0233749	0.0370837	0.0674043	0.076415	0.0831684	0.0628247	0.0634296	0.0568391	0.0681616	0.0399166	0.0282047	0.0289804	0.0242704	0.0311212	0.0701326
le	0.0180916	0.00823763	0.00804946	0.0236839	0.046104	0.0454373	0.0493966	0.0360233	0.0229196	0.0248061	0.0179794	0.0201124	0.0291199	0.037466	0.0822009	0.0791425	0.118962	0.0724996	0.0503712	0.0529065	0.03734	0.0397291	0.0794213
pied	0.015154	0.0202869	0.0294688	0.0210669	0.0152682	0.0184064	0.0221654	0.0221023	0.0157426	0.0145632	0.0117639	0.0141364	0.0301085	0.0428813	0.055765	0.0577342	0.0945237	0.0960563	0.0738695	0.0852136	0.0615969	0.0626084	0.119518
dans	0.0188836	0.0141851	0.0185526	0.0142352	0.0165525	0.0179142	0.0234728	0.0197711	0.0184555	0.0170778	0.0155027	0.0157642	0.0221855	0.0424561	0.0888712	0.0960192	0.107941	0.0725144	0.0586622	0.0680583	0.0618989	0.0622702	0.108756
un	0.0692511	0.0336685	0.0316117	0.0246218	0.0268267	0.0350219	0.0485585	0.0363356	0.0271267	0.0214404	0.00951023	0.00772864	0.00680342	0.00962038	0.0203729	0.0358821	0.059937	0.0573	0.063041	0.0665718	0.0721516	0.0750922	0.161526
fil	0.0433516	0.0284962	0.0345738	0.0313844	0.025533	0.0250936	0.01483	0.00877425	0.00445429	0.00405987	0.00315553	0.00289728	0.00286271	0.00501286	0.0116345	0.0281364	0.0412811	0.0608192	0.0740514	0.0927685	0.128521	0.112242	0.216067
</S>	0.0390103	0.027746	0.0283701	0.0300556	0.027566	0.0264195	0.0168011	0.0115009	0.00589476	0.00629314	0.0048171	0.00330967	0.00344132	0.00350875	0.00535778	0.0152376	0.0303919	0.0557473	0.0698851	0.0867846	0.116898	0.134764	0.250199
