 	t	s	i	m	b	a	á	w	ú	r	á	o	k	y	é	n	á	e	m	y	o	ó	n	g	a	é	</S>
tsimba	0.0248119	0.01821	0.00716513	0.0138059	0.0130718	0.0518481	0.05546	0.13116	0.0911019	0.0650236	0.0426185	0.0411766	0.0434712	0.024798	0.0346186	0.0237498	0.0238112	0.0186825	0.0182222	0.0135071	0.0155796	0.0273879	0.0436071	0.0445484	0.037731	0.0438851	0.0309473
vient	0.0565439	0.0909812	0.0815233	0.0560278	0.0824132	0.0658031	0.0471691	0.0426875	0.128711	0.0898971	0.0603256	0.0683671	0.0182565	0.015205	0.00871461	0.0043051	0.00639484	0.0108388	0.00957626	0.00633336	0.00415582	0.00674689	0.0107557	0.00905308	0.0115786	0.00504256	0.00259293
de	0.0272451	0.0219051	0.0330511	0.0315176	0.0428432	0.0844158	0.0665872	0.0485862	0.0227294	0.0730525	0.0574035	0.0675654	0.0974762	0.0486134	0.053655	0.033704	0.0311017	0.0362247	0.0329325	0.0226582	0.016983	0.00946858	0.00770738	0.00877776	0.00753626	0.0109577	0.00530144
s'	0.0336611	0.0398273	0.0490363	0.0341814	0.0343742	0.0366282	0.0263788	0.0085358	0.0134903	0.0169355	0.0257411	0.0288849	0.0505917	0.0488186	0.0294602	0.0350494	0.0376156	0.0501103	0.0482863	0.0679486	0.0451482	0.0482593	0.0331433	0.0309023	0.0275232	0.041649	0.0578191
initier	0.0646921	0.0432577	0.0426279	0.0394731	0.036624	0.0359692	0.0237688	0.0182024	0.0118082	0.0144722	0.0125006	0.0136625	0.0123902	0.0141114	0.0209942	0.0231271	0.0317056	0.0403229	0.0483062	0.0434502	0.0375934	0.0406369	0.046493	0.0595108	0.050639	0.0675232	0.106137
à	0.0596868	0.0491694	0.0481371	0.0467026	0.0449677	0.0447173	0.037271	0.0375449	0.0246589	0.0291852	0.0228645	0.0302553	0.0214472	0.0227484	0.0173274	0.014422	0.0162992	0.0253636	0.023202	0.0308243	0.0352859	0.0395109	0.0364512	0.0414504	0.0396999	0.0587542	0.102053
la	0.0311995	0.0191617	0.0221851	0.0268452	0.0161863	0.014651	0.0114221	0.0112305	0.0108796	0.0120323	0.0198989	0.0191557	0.0163567	0.0146423	0.0167349	0.0178453	0.0263226	0.0338315	0.0499922	0.0497937	0.0573264	0.0653471	0.080745	0.0817193	0.0907268	0.0882334	0.0955349
divina	0.0341078	0.0169629	0.0204494	0.0154311	0.00982315	0.00561002	0.00530867	0.00722702	0.0112275	0.0205382	0.0307494	0.0393578	0.0445528	0.0250638	0.0261976	0.0272749	0.0404017	0.0578585	0.0620485	0.0520491	0.0599904	0.0689659	0.0635652	0.0363182	0.0698107	0.0711173	0.0779925
tion	0.0262523	0.0216538	0.0262316	0.0295574	0.0236173	0.0224031	0.0129349	0.00530889	0.0054537	0.00724602	0.0174779	0.0109793	0.0249478	0.035205	0.0252512	0.0343964	0.0217307	0.0258118	0.0368277	0.0506669	0.0544205	0.0661681	0.0525404	0.0488155	0.0593896	0.0792377	0.175474
au	0.0591465	0.0472299	0.0480869	0.048777	0.039861	0.039042	0.0283897	0.0178713	0.0172758	0.0238823	0.023085	0.0320661	0.031748	0.0339506	0.0185312	0.0257817	0.0247236	0.0317608	0.0282308	0.0371155	0.0277145	0.0487205	0.0349552	0.0442125	0.0379433	0.0509939	0.0989044
pays	0.0614862	0.0290851	0.0230183	0.014089	0.00838532	0.00736194	0.00648381	0.00371543	0.00559193	0.00781136	0.0116391	0.0128097	0.0126249	0.0158759	0.00849772	0.0150085	0.0156001	0.0261202	0.0355803	0.0474997	0.083223	0.0966711	0.0706861	0.0592339	0.0927398	0.0919915	0.13717
ngaé	0.0710922	0.0322927	0.0337419	0.0208377	0.0162463	0.0139198	0.0108017	0.00491945	0.00917247	0.0123019	0.01963	0.0193089	0.0425039	0.0271752	0.0226228	0.0304545	0.0291823	0.0357809	0.0422387	0.0463383	0.0500211	0.0573408	0.0411533	0.0420084	0.0623926	0.0788317	0.12769
</S>	0.0617821	0.0426493	0.0448766	0.0352388	0.0266692	0.0223199	0.0151383	0.00976615	0.0137737	0.0164358	0.0140406	0.0232789	0.0253316	0.0251009	0.0187877	0.0234153	0.0241168	0.0337794	0.0321617	0.0390507	0.0408134	0.0620555	0.0454786	0.0481169	0.057163	0.0670662	0.131593
