 	i	b	a	a	d	í	i	á	l	é	á	n	ώ	b	o	l	a	</S>
cet	0.0117793	0.0115358	0.00745945	0.0146817	0.0170837	0.0219113	0.0324183	0.0702796	0.0851554	0.105213	0.0957001	0.0813526	0.0849943	0.0943495	0.106023	0.0696457	0.0498159	0.0406013
homme-là	0.226301	0.24383	0.218585	0.115488	0.106127	0.0305322	0.0110832	0.00932219	0.0111024	0.00705259	0.00806357	0.00211032	0.00181234	0.00224975	0.00188711	0.00311525	0.000899114	0.000438447
avait	0.059407	0.085038	0.188584	0.11566	0.0646244	0.0798313	0.03739	0.0722104	0.0527186	0.0452704	0.0491892	0.0292405	0.0269787	0.0309332	0.0247529	0.0145498	0.0113314	0.0122907
eu	0.203802	0.237216	0.223681	0.115901	0.0206272	0.0253646	0.0185692	0.0121055	0.00911265	0.00927738	0.00885079	0.00886252	0.0128859	0.00768469	0.0115813	0.0116886	0.013846	0.0489426
des	0.147794	0.105094	0.0900375	0.0654089	0.0381454	0.0210587	0.0196641	0.0278803	0.026005	0.0131704	0.0188237	0.0193654	0.0284742	0.0399041	0.0748985	0.0703851	0.0714438	0.122447
rapports	0.0847919	0.0612105	0.087617	0.0645024	0.056513	0.0518852	0.0283776	0.0478515	0.0566243	0.0499306	0.0422561	0.04719	0.0563189	0.0492423	0.0463524	0.0401206	0.0439529	0.0852627
sexuels	0.240338	0.141677	0.122987	0.0810579	0.0456322	0.0333156	0.0389801	0.0305654	0.0363874	0.0134226	0.0214253	0.0164812	0.00942891	0.0130126	0.0197497	0.019153	0.0372003	0.0791853
avec	0.120287	0.0544715	0.0461081	0.0413987	0.0367166	0.0235204	0.0400966	0.0228165	0.0282317	0.0267997	0.0339361	0.0421331	0.0319325	0.0401974	0.071004	0.0776329	0.0931841	0.169533
ta	0.121132	0.0953606	0.0776763	0.0665984	0.0212949	0.0129309	0.0156231	0.0109219	0.0102225	0.0141296	0.013376	0.0299553	0.0329666	0.0278233	0.0666415	0.0976412	0.131358	0.154348
soeur	0.076204	0.0613516	0.0663129	0.0409167	0.0187548	0.0105298	0.0134651	0.010978	0.0102464	0.0176622	0.0212051	0.0325397	0.0357396	0.0231094	0.0546446	0.102634	0.142464	0.261242
</S>	0.142528	0.174445	0.30803	0.115988	0.0340891	0.00996219	0.00876572	0.00238982	0.00223146	0.00372063	0.00535073	0.0103781	0.0136085	0.0153165	0.028282	0.0245061	0.0332959	0.0671114
