 	w	a	á	b	h	i	á	e	d	z	ε	s	i	i	y	á	b	a	r	e	á	t	s	ω	e	k	í	i	d	z	a	a	i	l	ώ	n	g	í	</S>
il	0.148292	0.328541	0.279157	0.130965	0.032187	0.0116818	0.00609414	0.00236448	0.000616299	0.000872328	0.00122099	0.000695315	0.00171041	0.00242433	0.00361887	0.00205511	0.00177917	0.00215657	0.00319909	0.00278562	0.00161803	0.00164648	0.00154453	0.00130036	0.00110774	0.00116774	0.00118257	0.00151894	0.00240525	0.00289928	0.00260557	0.00279391	0.00261306	0.00245284	0.00227677	0.00238565	0.00225195	0.00209928	0.00171455
est	0.00692401	0.00762921	0.00964583	0.0131138	0.0414992	0.100364	0.121309	0.161552	0.0561934	0.0711478	0.0802737	0.0700669	0.0287631	0.0241686	0.0219787	0.0149342	0.0170228	0.0104257	0.0114406	0.0108149	0.011168	0.00953522	0.0133443	0.0114827	0.0168901	0.0111439	0.00659475	0.00504296	0.00532345	0.00602645	0.00410793	0.00356307	0.00384143	0.00316506	0.00211945	0.00135321	0.00125465	0.00128331	0.00349266
devenu	0.0126555	0.0148146	0.0150844	0.016163	0.0159409	0.017407	0.0216858	0.0283598	0.0235346	0.020949	0.016008	0.0219249	0.0217152	0.0360001	0.0298068	0.0293924	0.0263675	0.0371356	0.0415242	0.07064	0.0486333	0.0415193	0.0332098	0.0330139	0.0146733	0.0213435	0.0251216	0.0410716	0.0333115	0.0279188	0.0266421	0.027701	0.0220712	0.0283777	0.0179447	0.0132079	0.00778809	0.00841116	0.0109304
la	0.0134092	0.012083	0.0176857	0.0145552	0.0147708	0.0135331	0.0134237	0.0108079	0.00940104	0.01408	0.00866455	0.0102549	0.0132402	0.0213424	0.0139762	0.0136422	0.0160333	0.0167678	0.0161133	0.0223791	0.0305578	0.0368195	0.0340513	0.067741	0.052882	0.0457686	0.0394364	0.038357	0.0378332	0.0405466	0.0538206	0.0357573	0.0360983	0.040185	0.0256059	0.0271595	0.0248894	0.0260036	0.0203233
risée	0.0114624	0.0116477	0.015996	0.0136869	0.0110319	0.00545031	0.0140901	0.0138988	0.0161238	0.0309259	0.0183664	0.0208955	0.0290099	0.0238983	0.0217586	0.0324521	0.0409592	0.0610033	0.0326969	0.0289094	0.0287658	0.0310309	0.0239642	0.0396701	0.0380633	0.0390706	0.0310215	0.0372909	0.0327278	0.0232923	0.0218323	0.0139877	0.0214245	0.0216024	0.0184271	0.0300501	0.0240161	0.0284429	0.041056
de	0.0141239	0.0143257	0.0128107	0.00814606	0.0068645	0.00416009	0.00755603	0.00628722	0.00593226	0.0121904	0.0112383	0.0115642	0.0166162	0.0110236	0.0114975	0.0162227	0.0158188	0.0260212	0.0211495	0.021493	0.0228781	0.0289815	0.0216089	0.0369464	0.0416115	0.0406075	0.0548788	0.0702126	0.0492076	0.0323312	0.0319875	0.0287705	0.0381265	0.0312859	0.0327547	0.0323465	0.0473214	0.0467143	0.0563866
tout	0.0129834	0.0129426	0.00900653	0.00936908	0.00918738	0.0106545	0.00995795	0.0227533	0.0183514	0.0160869	0.0194767	0.0180271	0.0125337	0.0164906	0.0188373	0.0211717	0.0194287	0.0237621	0.0231441	0.0262819	0.0289232	0.0321783	0.0328566	0.0376597	0.0311559	0.027594	0.0345046	0.0256305	0.0208333	0.0177701	0.0190595	0.0195166	0.0253556	0.02492	0.0353803	0.0359772	0.0605623	0.0717232	0.0879522
le	0.015868	0.0122115	0.00915282	0.0109656	0.0107016	0.0180881	0.00967487	0.0124838	0.00830353	0.00817177	0.00842235	0.00823624	0.00804924	0.00838258	0.00917661	0.00917392	0.00912626	0.0105797	0.010028	0.0116572	0.0145763	0.0165922	0.0207253	0.01932	0.0266373	0.0267234	0.0310834	0.0334376	0.033906	0.0375446	0.0360918	0.0389014	0.0531681	0.0592284	0.0663384	0.0629359	0.0669108	0.0718952	0.0755304
monde	0.0135341	0.0148138	0.0154238	0.0117126	0.0119887	0.0150114	0.0110433	0.00838248	0.00875832	0.013242	0.0111243	0.0106907	0.00800332	0.00838565	0.0105149	0.0091923	0.00982701	0.0106461	0.0103743	0.0112227	0.0144686	0.0175521	0.0235984	0.0216008	0.0535058	0.0354347	0.0312943	0.0428243	0.0405773	0.0323459	0.0291743	0.0242149	0.0273652	0.0433147	0.0540647	0.0614141	0.0589016	0.0698573	0.0945994
à	0.0176168	0.0128452	0.0118584	0.0112217	0.0136779	0.0188591	0.0114021	0.0173703	0.0095628	0.0117816	0.0109066	0.010287	0.00824753	0.0108777	0.0126903	0.0131948	0.0127428	0.0140978	0.0148584	0.0168977	0.020652	0.0225534	0.0246048	0.0209403	0.0197857	0.0196915	0.0225362	0.0262206	0.0283342	0.0263821	0.0225166	0.0293233	0.0309405	0.0380453	0.0561052	0.0552357	0.0775742	0.0927543	0.104808
cause	0.042408	0.0417225	0.0395939	0.0392205	0.0422361	0.0310679	0.0360001	0.0150023	0.0100976	0.0175082	0.0128534	0.0135583	0.0134229	0.0112183	0.00889446	0.00965851	0.011698	0.0140741	0.0120948	0.013843	0.0158802	0.0183073	0.015983	0.0209643	0.0249807	0.0200912	0.0290556	0.0318171	0.0305239	0.0288191	0.0286121	0.0260088	0.0294806	0.0262798	0.0268114	0.0277945	0.0451356	0.0508	0.0664817
de	0.0190172	0.0187998	0.0181482	0.0185899	0.0186698	0.0184276	0.0192076	0.0190088	0.018941	0.0188252	0.0192578	0.0192774	0.018252	0.0202477	0.0225405	0.0219034	0.0229129	0.0235987	0.0231996	0.0272155	0.0332691	0.0364602	0.0308879	0.0276171	0.0286882	0.0249314	0.0331191	0.0278075	0.0249142	0.0143092	0.013583	0.0150609	0.0192196	0.0217363	0.0250689	0.0290499	0.0558585	0.062958	0.0694204
sa	0.0234296	0.0241902	0.0201642	0.0205171	0.0214259	0.0225765	0.0237102	0.0189438	0.011471	0.0132081	0.0140423	0.0152315	0.0148764	0.0162112	0.0204589	0.0199358	0.0226983	0.0230907	0.0238431	0.0311325	0.0373619	0.0357563	0.0290802	0.0205201	0.0198924	0.0205681	0.0260389	0.0245879	0.0256091	0.0194477	0.0207067	0.0214673	0.0266026	0.0262862	0.0246643	0.0293404	0.0541804	0.064134	0.072598
bave	0.0142665	0.0196653	0.0222358	0.0167591	0.017843	0.0215311	0.0136668	0.0117602	0.0145715	0.0179313	0.016635	0.018055	0.0178487	0.0201753	0.0259221	0.0221706	0.0261332	0.0229536	0.0253735	0.0222761	0.0235082	0.0264741	0.0312834	0.0228216	0.0268916	0.0249362	0.020544	0.021712	0.0215028	0.0149304	0.0142604	0.0142859	0.0199285	0.028873	0.0356295	0.0435464	0.0563336	0.0752957	0.0894691
</S>	0.0139248	0.0131369	0.0172642	0.0133722	0.0188022	0.0136068	0.0179692	0.0157687	0.0156414	0.0236125	0.0211948	0.0185	0.00990069	0.0155132	0.0230104	0.0212644	0.0229513	0.0253779	0.0271711	0.0299718	0.0379071	0.0402799	0.0330095	0.0293596	0.0506053	0.0318972	0.0351998	0.0365722	0.0332029	0.0157717	0.0132344	0.0136367	0.0143461	0.0164101	0.0188604	0.0222287	0.0428849	0.0537542	0.0828849
