 	o	y	u	r	u	y	a	o	f	u	l	ú	w	ó	l	á	a	y	í	á	i	k	á	n	d	á	b	h	o	o	b	h	o	o	s	á	l	e	p	á	n	g	e	</S>
cette	0.0184365	0.0235118	0.0194208	0.0162148	0.0136297	0.0136545	0.0150001	0.0212158	0.0317295	0.0192396	0.023072	0.035112	0.0446921	0.0216226	0.0150074	0.039803	0.0285073	0.0279735	0.0203528	0.01488	0.0122954	0.018526	0.016253	0.0218419	0.0128789	0.0173077	0.0158151	0.0263117	0.0301481	0.0214068	0.0172724	0.0225572	0.0210774	0.0193048	0.0202929	0.0176704	0.0184435	0.0172809	0.0224737	0.022166	0.0271577	0.0424171	0.0345485	0.0414773
femme	0.0591313	0.212529	0.116737	0.0933379	0.0791646	0.0333595	0.0246163	0.0143817	0.00988505	0.0193249	0.0133252	0.0288989	0.0290211	0.0140629	0.0215717	0.0624103	0.0542	0.0284735	0.0126413	0.00475853	0.0160346	0.00896152	0.00396091	0.00633089	0.00255342	0.00171374	0.00348096	0.00311754	0.00158007	0.00138475	0.00138249	0.000932978	0.000832463	0.00201537	0.00137975	0.00115155	0.00205332	0.00150357	0.00172406	0.00170854	0.00273002	0.000997891	0.000406369	0.000233518
malpropre	0.0131243	0.00682248	0.00679272	0.0071265	0.00858912	0.0176311	0.00964358	0.0157419	0.00955067	0.022223	0.00946239	0.0208843	0.15507	0.039251	0.0369677	0.0420298	0.0460608	0.0439159	0.0512705	0.0526263	0.0551558	0.037879	0.0293654	0.0298805	0.0365495	0.0232352	0.0254027	0.00857273	0.0247199	0.0127775	0.0198758	0.00748481	0.00931426	0.0079734	0.00525838	0.00836114	0.00952118	0.00702709	0.00556151	0.0055554	0.00494099	0.00407926	0.00416778	0.00255673
laisse	0.0119773	0.0132499	0.0191393	0.0200572	0.0184217	0.0323482	0.0201283	0.0217987	0.0190472	0.0257621	0.0178136	0.0208611	0.0216898	0.0258691	0.024226	0.0252511	0.0249847	0.0191815	0.0376458	0.0330803	0.0274609	0.0321915	0.041178	0.0390887	0.0477983	0.0331517	0.036561	0.0272232	0.0150739	0.0231251	0.0183915	0.0196317	0.0170991	0.0106399	0.012353	0.0133548	0.0121745	0.0122393	0.0160941	0.0128983	0.0137457	0.0166013	0.0191073	0.0302842
des	0.026996	0.0296409	0.0393309	0.026401	0.0310624	0.0288189	0.0257974	0.0249469	0.0265069	0.0233499	0.0183675	0.0161005	0.0175391	0.0202641	0.0157639	0.0171753	0.0202205	0.0237761	0.024624	0.0196765	0.0275162	0.0242436	0.0287817	0.0193927	0.0285765	0.02136	0.0179649	0.0166353	0.0123004	0.0166825	0.0145929	0.0163608	0.0160252	0.0166477	0.0147656	0.0117671	0.0157355	0.0155692	0.0151473	0.0184557	0.0231946	0.0348077	0.0289324	0.0681861
vêtements	0.0158833	0.0130818	0.0156586	0.01596	0.0177939	0.0236122	0.0243202	0.0173692	0.0174427	0.020727	0.0182486	0.0191944	0.0262619	0.0127608	0.00766394	0.0114529	0.0129947	0.00897433	0.0149694	0.00959204	0.0107755	0.0172817	0.0255479	0.0165108	0.0205199	0.0207198	0.0166529	0.0184489	0.0256369	0.0191895	0.0191707	0.0231651	0.0245848	0.0323403	0.0367027	0.0226219	0.0387219	0.0336182	0.0363537	0.0370611	0.0372464	0.0511757	0.0395913	0.0524004
ça	0.0209657	0.0214735	0.0262789	0.0238262	0.0244335	0.0182524	0.0158029	0.0133182	0.014484	0.0206496	0.0173122	0.0180731	0.0232711	0.0111176	0.00975066	0.0134637	0.0164398	0.00752148	0.0172156	0.00841946	0.0083112	0.00894894	0.00985586	0.00862584	0.0116509	0.0110296	0.0137423	0.0195622	0.0178886	0.0171135	0.0210817	0.0273799	0.0267584	0.0396465	0.0388164	0.0253857	0.0451229	0.0402643	0.0437117	0.0419622	0.0326778	0.0327175	0.0452495	0.070427
et	0.0204537	0.0195514	0.0254421	0.0205534	0.020104	0.0159621	0.016332	0.0168498	0.0177716	0.0210155	0.0156864	0.0146031	0.0226886	0.00814158	0.00707263	0.00934826	0.0108547	0.00578135	0.00582518	0.00521813	0.0044905	0.00364085	0.00337505	0.00404798	0.00532949	0.00471675	0.0058952	0.00995443	0.00805102	0.0127786	0.0122064	0.0219095	0.0257727	0.041979	0.0393489	0.0274298	0.0498528	0.0572568	0.0459281	0.0481687	0.0491602	0.0518659	0.0662629	0.101323
là	0.0400242	0.0334764	0.0282116	0.0176005	0.0108777	0.0099039	0.00880036	0.0120035	0.0172295	0.0310054	0.0156528	0.0160898	0.0332379	0.0154951	0.00938425	0.0099225	0.00626715	0.0058153	0.0105091	0.00837951	0.0114444	0.0107886	0.00978865	0.0105957	0.015982	0.0132847	0.0192676	0.0290665	0.011103	0.0212389	0.0232915	0.0405036	0.0422143	0.0462099	0.0369257	0.0306691	0.0468052	0.0495278	0.0432924	0.0367467	0.0215663	0.019487	0.0256851	0.0446286
dans	0.0516591	0.0394958	0.0388435	0.0249421	0.0156784	0.0127926	0.0082855	0.0118011	0.0158367	0.026778	0.0105431	0.00929364	0.0188161	0.00958971	0.00706823	0.00562707	0.00447367	0.00407054	0.00601919	0.00631643	0.00820178	0.00996239	0.0123992	0.00704557	0.0179171	0.0143725	0.0172346	0.0214947	0.0127854	0.0256073	0.0233278	0.0284883	0.0347782	0.0259642	0.0299525	0.0287753	0.0377394	0.0306844	0.0318809	0.0382895	0.0420444	0.0454053	0.0456407	0.082078
