 	b	í	s	í	l	é	k	y	e	o	t	á	b	h	í	í	m	í	s	u	n	g	a	l	ó	b	i	a	y	e	e	d	í	l	i	k	ω	n	í	s	ó	p	i	t	á	á	l	e	</S>
nous	0.190774	0.124902	0.0473429	0.0774518	0.050028	0.0230053	0.0127671	0.0135906	0.0096852	0.0120679	0.0102919	0.0138631	0.0100042	0.0244306	0.0144395	0.0128171	0.0249882	0.0112076	0.00743257	0.00498568	0.00449674	0.00449571	0.0107631	0.014916	0.013551	0.0128316	0.00906936	0.00857838	0.00767399	0.00623812	0.00535267	0.00547294	0.00656201	0.0127887	0.00960651	0.0130237	0.0135002	0.0165395	0.0157202	0.0142534	0.0163092	0.0148801	0.0125701	0.00971821	0.0102592	0.00842456	0.00844507	0.00642958	0.0114549
avons	0.0861845	0.0922008	0.0388007	0.0214487	0.0229852	0.0374188	0.0598682	0.0601654	0.0628818	0.0412363	0.0326061	0.0388156	0.0098652	0.0226709	0.0189705	0.0245058	0.0260972	0.0266401	0.0322007	0.0243428	0.023275	0.0124957	0.0153179	0.00816138	0.0123123	0.00218119	0.00286777	0.00406364	0.006832	0.00318149	0.00620612	0.00358045	0.00595897	0.00331762	0.0084412	0.00748334	0.00706824	0.0130849	0.00970247	0.0109434	0.0146269	0.0082057	0.00810733	0.00359971	0.00866696	0.00474756	0.00169303	0.0016114	0.00236125
fait	0.0138687	0.0255448	0.0266993	0.0278306	0.014191	0.0153263	0.0139458	0.021274	0.0252911	0.0311142	0.0275104	0.0381421	0.0414473	0.057756	0.0931578	0.0451225	0.0512449	0.0323672	0.0234643	0.0265267	0.020741	0.0173229	0.0165254	0.0184079	0.0118377	0.019756	0.0116359	0.0129314	0.00985269	0.0174272	0.0177491	0.0137709	0.0190308	0.0171116	0.013854	0.0122399	0.00968753	0.00673622	0.0067643	0.00686011	0.00832556	0.00670608	0.00633802	0.00476104	0.006551	0.00921015	0.00850002	0.0108188	0.00672175
une	0.0142339	0.0129774	0.0141135	0.0206198	0.0160945	0.0189436	0.0226459	0.021474	0.0419127	0.0363635	0.0308223	0.0405283	0.0292572	0.0339842	0.0456085	0.047862	0.0438882	0.0536456	0.0467313	0.0404847	0.0327244	0.0283145	0.0246585	0.0156962	0.0186297	0.0147253	0.0105339	0.0119323	0.0114217	0.00674665	0.0079917	0.00659362	0.00697766	0.00830376	0.00924535	0.00794292	0.007795	0.00816849	0.00754737	0.00749118	0.00806421	0.0083694	0.00873198	0.00717719	0.00800183	0.0100143	0.0148439	0.0196757	0.0294901
collecte	0.0102063	0.00804771	0.00811623	0.0092757	0.00719973	0.0111137	0.0165823	0.0199814	0.0243378	0.0200339	0.0182119	0.022315	0.0168806	0.0275119	0.025217	0.0343658	0.0247214	0.0260927	0.0193729	0.0209667	0.0207055	0.0188104	0.0200369	0.0155463	0.019362	0.0176591	0.0112778	0.0141928	0.0114658	0.00699196	0.0113332	0.0123398	0.0119179	0.0150969	0.0178668	0.0170279	0.0232229	0.0284137	0.0322797	0.0336059	0.0308951	0.0354979	0.0271518	0.0297019	0.0295037	0.0322778	0.024983	0.0267867	0.0334979
d'	0.00721047	0.00811437	0.00746411	0.00971534	0.00948018	0.0124158	0.0104929	0.0195425	0.0331571	0.0296593	0.0248876	0.0285165	0.0276375	0.0254426	0.0193297	0.0162502	0.015228	0.0200937	0.032042	0.0287422	0.0284938	0.0303262	0.0285199	0.0230014	0.0269832	0.031718	0.0322914	0.0306995	0.0294775	0.023342	0.0272134	0.0238532	0.023946	0.0250853	0.0230272	0.0218219	0.0223049	0.0122825	0.0179057	0.0119894	0.0133777	0.0109473	0.0101045	0.00722529	0.00967511	0.0110895	0.0132182	0.0112528	0.033405
argent	0.0143189	0.00991577	0.00843998	0.0106312	0.0092452	0.0143293	0.0179673	0.0286417	0.036155	0.0298661	0.0330127	0.03602	0.0374944	0.041902	0.0347758	0.0324189	0.0281763	0.0264067	0.0224073	0.0201547	0.0186621	0.023444	0.0202337	0.0188765	0.0198777	0.0184758	0.017315	0.0165312	0.0158049	0.015409	0.017192	0.0150629	0.0176567	0.0159925	0.0179281	0.0198868	0.0147527	0.0230656	0.0198764	0.0192766	0.0135976	0.0141119	0.0117128	0.0135996	0.0157687	0.0134267	0.0148688	0.0158372	0.029477
en	0.0073157	0.00933541	0.00787964	0.00897051	0.00714352	0.00570953	0.00459953	0.00525685	0.00781482	0.0057661	0.00549658	0.00640299	0.00720628	0.00689766	0.00501764	0.00515013	0.00560595	0.00868197	0.0190705	0.021423	0.0263187	0.0263072	0.0296205	0.0290057	0.0362344	0.0350271	0.0326573	0.0366288	0.0332801	0.0234995	0.0269449	0.0310664	0.0274384	0.0343608	0.0304843	0.0321536	0.0329437	0.0337272	0.0310077	0.0299589	0.0228613	0.0251635	0.0191704	0.02359	0.0220853	0.0203441	0.0233543	0.0218649	0.0421569
vue	0.0130499	0.0107097	0.00791395	0.00772724	0.00645535	0.00488423	0.00568984	0.00611749	0.00930115	0.0070438	0.00744801	0.0105896	0.00568684	0.00684731	0.00828683	0.0110885	0.0135081	0.0172561	0.0231067	0.022601	0.0238737	0.0280058	0.0291667	0.0311437	0.0390499	0.0316696	0.0310457	0.0298336	0.0283809	0.0234135	0.0209517	0.0188479	0.0202184	0.0184313	0.0202657	0.0250774	0.0153373	0.0232965	0.0133158	0.0188291	0.0143486	0.0159633	0.0152006	0.0239995	0.0314556	0.0355547	0.0455042	0.0521104	0.0703973
d'	0.0249401	0.0231423	0.0168879	0.0115227	0.0123235	0.0120373	0.0147099	0.0155193	0.0197236	0.0192528	0.0218778	0.0219845	0.0167379	0.0180408	0.0113879	0.0129083	0.0165291	0.0141884	0.0262508	0.0249713	0.0323729	0.0268604	0.022618	0.0230703	0.0283998	0.0297494	0.0305385	0.0307019	0.030771	0.0309834	0.0245081	0.0236205	0.0237053	0.0221949	0.0212261	0.0217031	0.0202213	0.0190914	0.0171368	0.0131153	0.0108146	0.00787321	0.00975444	0.00781394	0.0110243	0.0124679	0.0144063	0.0232691	0.0550518
