 	n	g	á	l	í	i	d	z	w	á	o	y	é	n	g	á	k	ó	n	y	i	m	ó	i	t	u	m	b	a	l	á	m	í	á	</S>
je	0.101174	0.312743	0.230656	0.086869	0.0944388	0.0410086	0.0238756	0.0085166	0.00466745	0.00364106	0.00294143	0.00195246	0.00178398	0.00187932	0.00240894	0.00342614	0.00403158	0.00494452	0.00439007	0.00459074	0.00361558	0.00363474	0.00396054	0.00423838	0.00347453	0.00358269	0.00405776	0.00358182	0.00347314	0.00403959	0.00458178	0.00478888	0.00449845	0.00453537	0.00399799
vais	0.0216795	0.0131059	0.01889	0.0226872	0.0423418	0.0357244	0.0475925	0.104208	0.0636739	0.0767981	0.10735	0.137207	0.0439993	0.0271584	0.0269124	0.022044	0.01638	0.0154507	0.0179722	0.018575	0.0165169	0.017826	0.0102427	0.0076791	0.00623499	0.00341839	0.00139991	0.00284146	0.00321668	0.00253166	0.00329802	0.00300781	0.00426216	0.00988836	0.0278861
chercher	0.0160475	0.01527	0.0129875	0.00967722	0.0140788	0.0109681	0.0170032	0.0144796	0.0155743	0.0159724	0.0266153	0.0350609	0.0641189	0.0694825	0.0692784	0.0690916	0.0676	0.0736203	0.0359013	0.035994	0.02811	0.0190675	0.0175796	0.0175633	0.0272156	0.0215961	0.0152208	0.0173268	0.0202405	0.0209871	0.0200509	0.0239719	0.0238711	0.0202266	0.0181502
du	0.0309597	0.0452643	0.0454966	0.0278206	0.0221547	0.0125405	0.00780054	0.00657932	0.00709007	0.0123392	0.0110525	0.0134078	0.041577	0.0280128	0.0450731	0.0348287	0.0370546	0.031363	0.0421802	0.0533055	0.0289149	0.0223678	0.0212018	0.0321899	0.0345726	0.0385924	0.0292529	0.0227311	0.0434161	0.0301203	0.0276975	0.0291868	0.0281696	0.0285821	0.0271037
bois	0.00357368	0.00344169	0.00224394	0.00257494	0.00421188	0.0055782	0.00448877	0.00669293	0.00600738	0.0105688	0.0270868	0.0496362	0.0298732	0.0246575	0.0199006	0.0214215	0.0202145	0.0264173	0.0206735	0.0199876	0.0328252	0.0312353	0.0357006	0.0482694	0.0595118	0.0634166	0.0736906	0.0471355	0.0515736	0.0361222	0.0377938	0.0304947	0.0299046	0.0386092	0.0744661
pour	0.00794307	0.00659101	0.00512368	0.00515132	0.00561015	0.00560774	0.00354592	0.00914558	0.00885211	0.0105272	0.0199739	0.0387921	0.024829	0.0239063	0.0194853	0.0222806	0.0183118	0.0274897	0.022785	0.0260266	0.0399218	0.0450644	0.0409165	0.0469223	0.0546316	0.058014	0.0593701	0.0392093	0.0409758	0.0331409	0.0324282	0.0305083	0.036152	0.0419312	0.0888353
faire	0.0188247	0.00564505	0.00413772	0.0043523	0.00491685	0.00572124	0.00565723	0.0125657	0.0103257	0.0118725	0.0114876	0.018419	0.019461	0.0196232	0.0205974	0.0263996	0.0323142	0.0367915	0.032272	0.0346946	0.053797	0.0534309	0.0565582	0.0548032	0.0541485	0.0527615	0.033782	0.0376369	0.0300402	0.0251943	0.0250755	0.0266761	0.0474768	0.0455126	0.0670272
du	0.0326113	0.0150692	0.0143687	0.0147456	0.0147444	0.0134138	0.00910796	0.0131643	0.0110898	0.00978404	0.00802728	0.0143008	0.0156778	0.0175931	0.0176137	0.0193377	0.0259964	0.0328083	0.0357169	0.0380065	0.0413368	0.0353377	0.0347602	0.0327702	0.0407233	0.0367559	0.0226715	0.0294644	0.0383828	0.0387572	0.0413126	0.0477011	0.0553406	0.0584172	0.0730906
feu	0.0148032	0.00966856	0.00904976	0.00872483	0.00967917	0.00789933	0.00618646	0.00624109	0.0063587	0.00606182	0.0065989	0.00787441	0.00767857	0.00801317	0.0090501	0.0126132	0.0189076	0.0270782	0.0380655	0.0694961	0.0549267	0.0538084	0.0454458	0.0390568	0.0402926	0.0263208	0.016621	0.0202232	0.0262414	0.0284809	0.0382032	0.052692	0.07016	0.0743882	0.12309
</S>	0.0186801	0.0080173	0.007638	0.0103427	0.011872	0.0121579	0.0107476	0.0109598	0.0111514	0.0108373	0.0105793	0.012193	0.0127041	0.011401	0.0120078	0.0125314	0.0142842	0.0171054	0.0214397	0.033311	0.0478491	0.0506421	0.0471231	0.0402223	0.0437166	0.0499314	0.0200679	0.0326146	0.0355522	0.0394959	0.0436763	0.0538837	0.0697563	0.0640492	0.0914582
