 	k	y	é	m	a	a	d	í	í	l	a	m	w	á	n	a	y	a	o	d	i	m	í	o	b	v	u	a	k	a	á	</S>
le	0.00935094	0.00779056	0.0108678	0.012857	0.0130371	0.0316523	0.0294787	0.0300228	0.033239	0.0271577	0.0449638	0.0345324	0.0435376	0.0440213	0.0779671	0.0736962	0.081599	0.0515205	0.0442688	0.0222167	0.0167035	0.0129219	0.0175407	0.0279634	0.014867	0.0326384	0.0314951	0.0330641	0.0364366	0.0191542	0.0212062	0.0122317
singe	0.048606	0.0952309	0.236699	0.221038	0.112713	0.0764148	0.0282873	0.0143843	0.0137347	0.0126071	0.0170696	0.0200487	0.00552512	0.00853831	0.00766061	0.0102122	0.00529855	0.00330772	0.00379116	0.00688969	0.0045091	0.00630582	0.00711612	0.00634021	0.00426394	0.00305195	0.00591893	0.00430334	0.00480806	0.00312708	0.0013955	0.000803432
n'	0.0214024	0.0169188	0.045387	0.0336053	0.0435097	0.0404265	0.0301397	0.0373131	0.0238415	0.0132222	0.0324865	0.03431	0.0232447	0.0218575	0.0193965	0.0205784	0.0257615	0.0265696	0.0389123	0.0574908	0.0234894	0.0265274	0.0670659	0.0512343	0.0432734	0.061249	0.0235726	0.0320478	0.0239028	0.0211764	0.0175771	0.00250995
adopte	0.0199291	0.0288102	0.0662681	0.090051	0.0685485	0.0992041	0.067797	0.0413923	0.0391341	0.0341486	0.0892829	0.0911936	0.0417246	0.0202426	0.0199719	0.0196853	0.0167845	0.0104125	0.0129704	0.00499986	0.00948249	0.0133225	0.0155484	0.0231342	0.0119826	0.0127812	0.00690579	0.00727431	0.00580697	0.00392796	0.00257311	0.00470931
pas	0.0558365	0.0382041	0.0479002	0.0413661	0.0309639	0.0270556	0.0236212	0.0244977	0.0259863	0.028206	0.0676089	0.0529809	0.0676467	0.0288615	0.0294697	0.0262212	0.0375295	0.0186767	0.0217428	0.0193745	0.014033	0.0128572	0.0135183	0.0189217	0.0200993	0.0109641	0.0228346	0.0100663	0.0192269	0.0188847	0.0329137	0.0919299
le	0.043461	0.0305197	0.0298549	0.030366	0.0296576	0.028702	0.0381657	0.0188357	0.0287358	0.0317746	0.042778	0.0293451	0.0444059	0.0463247	0.0457822	0.0299955	0.0491978	0.0219446	0.0484469	0.0328719	0.0174017	0.0186243	0.0153357	0.0132766	0.0167073	0.0160841	0.0219877	0.0151711	0.0263128	0.0276258	0.0391085	0.0711989
fils	0.0658173	0.0379358	0.04599	0.0456828	0.0452409	0.0467879	0.0360735	0.0141284	0.0184801	0.00975961	0.0493898	0.0503256	0.0250703	0.0193444	0.0226052	0.017395	0.0196922	0.0183219	0.0177942	0.0205908	0.0166664	0.0203633	0.0107149	0.0248499	0.0255701	0.0182512	0.0375138	0.0262179	0.0314471	0.0364656	0.0535508	0.071963
de	0.171264	0.0458298	0.0425478	0.0366053	0.0734977	0.040734	0.0359244	0.0285733	0.0165904	0.0265148	0.0271402	0.0506578	0.038519	0.0174656	0.0153227	0.0126399	0.0159582	0.0117239	0.0210035	0.0118908	0.00645169	0.00734574	0.00491737	0.00909887	0.00896749	0.00584457	0.0126089	0.00700602	0.0146415	0.0178463	0.0272356	0.137633
son	0.0901638	0.0490947	0.062024	0.0557518	0.0572658	0.0407973	0.0344844	0.0152235	0.0151633	0.0141373	0.0223364	0.0168914	0.0251606	0.0195525	0.0217443	0.0209102	0.0234698	0.0149439	0.0168601	0.00605248	0.01282	0.00607577	0.00249768	0.0141548	0.0152106	0.00340085	0.0326242	0.010993	0.0306767	0.0326242	0.0654238	0.151471
frère	0.0688735	0.0667949	0.0706629	0.0536126	0.0677227	0.0493502	0.0434183	0.0304812	0.0418046	0.0374635	0.0324604	0.00944561	0.00818449	0.00723468	0.0130753	0.0110255	0.0143417	0.00995232	0.0226745	0.0154381	0.0127416	0.0108372	0.0120648	0.0166028	0.0130053	0.0143261	0.0203978	0.0146293	0.0303423	0.0282671	0.0440583	0.10871
</S>	0.110582	0.110462	0.0778659	0.0612351	0.062881	0.0311113	0.0194754	0.0220027	0.0173194	0.0140311	0.00577936	0.00528712	0.00736292	0.0106741	0.00728394	0.00473974	0.00840332	0.00639081	0.0210717	0.00981806	0.0167141	0.0252532	0.0199003	0.0455817	0.0325427	0.0157602	0.0226784	0.0148176	0.0180961	0.0194146	0.0300062	0.125458
