 	w	a	á	p	f	e	o	d	u	n	ú	i	k	ω	n	í	k	a	á	</S>
il	0.137706	0.153021	0.131547	0.36851	0.104143	0.0808221	0.00989317	0.000672513	0.000288157	0.000234039	0.000875885	0.000771827	0.00104929	0.00174537	0.00140388	0.00143392	0.0015089	0.00132121	0.00164693	0.00140612
a	0.042609	0.0434184	0.0655967	0.150077	0.057578	0.107128	0.205466	0.0658834	0.0564585	0.0290131	0.0407565	0.0265028	0.0190733	0.00812397	0.00727857	0.00719072	0.00611644	0.00367176	0.0178543	0.0402029
atteint	0.0271588	0.0362432	0.0322357	0.0310934	0.0480881	0.06305	0.0763737	0.0993539	0.0862876	0.0861061	0.0794587	0.0523199	0.0373903	0.0336069	0.0305715	0.0317489	0.0313764	0.0311117	0.0461836	0.0402415
la	0.00974628	0.0099571	0.00932818	0.0104875	0.0139735	0.0206756	0.0231839	0.0201629	0.0166603	0.0352487	0.03603	0.0685406	0.0710343	0.0849311	0.0862786	0.0745122	0.0865561	0.114893	0.107251	0.100549
vieillesse	0.0309685	0.028683	0.0325376	0.0166752	0.0133086	0.0202076	0.0192545	0.0502859	0.0851837	0.0940795	0.0726502	0.0564247	0.070363	0.075253	0.0479658	0.0657071	0.0374721	0.0339935	0.0544016	0.0945849
sans	0.0182312	0.0230802	0.022894	0.0249473	0.0330933	0.0459596	0.0281614	0.023799	0.0255142	0.0291941	0.0357081	0.0434766	0.0516294	0.0518982	0.0697865	0.0827755	0.0742886	0.0840257	0.107253	0.124283
jamais	0.0299374	0.0367378	0.0278994	0.0129922	0.0148162	0.0179762	0.0140995	0.00822804	0.0216843	0.0427531	0.0443699	0.0453407	0.0410342	0.0458994	0.044054	0.039376	0.0519616	0.0625389	0.180989	0.217312
être	0.0301288	0.0401818	0.0373396	0.0425822	0.062834	0.0629012	0.0418491	0.0143803	0.0156855	0.0180351	0.0237265	0.0218794	0.026822	0.0269332	0.033593	0.0384307	0.0682065	0.0714067	0.103267	0.219817
malade	0.0306307	0.0325937	0.0328604	0.033307	0.0330469	0.0352617	0.0350271	0.0172014	0.0177809	0.0251976	0.0284542	0.0249694	0.0251363	0.0276642	0.0384805	0.0509508	0.0918168	0.0952646	0.141246	0.18311
</S>	0.0341629	0.0362269	0.036731	0.0363612	0.0351896	0.037119	0.0355768	0.017287	0.017626	0.0270825	0.0352904	0.0320563	0.0327723	0.0335668	0.0456716	0.0527792	0.0932824	0.10813	0.116002	0.137086
