 	w	a	á	d	z	e	i	s	á	l	a	o	y	a	a	k	a	á	e	k	í	i	d	z	a	a	m	b	v	ú	á	</S>
il	0.334936	0.200812	0.148256	0.129204	0.0206417	0.0136515	0.00704016	0.00290523	0.00649279	0.00630465	0.00574011	0.00599563	0.00557871	0.00683671	0.00749423	0.0060717	0.00509098	0.00546083	0.00565158	0.0055096	0.00632459	0.00741046	0.00771576	0.0071373	0.00570312	0.00627382	0.00524964	0.00543723	0.00524573	0.00546166	0.00456682	0.00380006
n'	0.00750565	0.0162746	0.0178689	0.0296273	0.0962897	0.063771	0.0370919	0.0379862	0.0602504	0.0648955	0.0778732	0.0715692	0.052016	0.0403609	0.0317438	0.0208691	0.0158782	0.0141742	0.0261327	0.023968	0.0357882	0.0261255	0.0270894	0.0186314	0.0185356	0.0173421	0.0200079	0.00852457	0.00447371	0.00363757	0.00579166	0.00790596
est	0.0198804	0.015734	0.0146916	0.0199768	0.0460693	0.055828	0.0594878	0.0495867	0.0343209	0.0324136	0.0404496	0.0469747	0.039724	0.0567778	0.0493595	0.0493412	0.0479766	0.0334396	0.0245345	0.0191092	0.0252635	0.0214494	0.0228311	0.0149971	0.0149562	0.0133052	0.0156556	0.0157669	0.0210711	0.0171003	0.0233636	0.038564
pas	0.0197645	0.0149771	0.0163536	0.0155982	0.0224648	0.0159161	0.0155398	0.0135185	0.0239173	0.0283081	0.0331047	0.0309425	0.0442028	0.0780379	0.0776029	0.0611924	0.0523301	0.035823	0.0341165	0.042244	0.0324073	0.0267558	0.0254098	0.0194935	0.0304694	0.0315308	0.0408541	0.0354216	0.0204392	0.0147052	0.0155915	0.0309669
venu	0.0251102	0.0134848	0.0144956	0.0166452	0.0228582	0.0185129	0.0117272	0.01292	0.0094455	0.0210584	0.0371598	0.0274174	0.0345708	0.0234373	0.0235163	0.0255191	0.0684553	0.0611557	0.0507428	0.042625	0.0364605	0.0269272	0.0267373	0.0255114	0.0276916	0.0234313	0.022548	0.031104	0.0429648	0.0441205	0.070649	0.060997
travailler	0.00489304	0.00615111	0.00465201	0.00384661	0.00645883	0.00904596	0.0095047	0.0133007	0.00846556	0.0100228	0.0113623	0.0174442	0.0142713	0.0175124	0.0192952	0.0291077	0.0548231	0.0666048	0.0619207	0.0653675	0.0616286	0.0502885	0.0541252	0.0545335	0.0624297	0.0539454	0.0396462	0.0493317	0.0453491	0.0299629	0.0303427	0.0343658
à	0.0109632	0.0101448	0.00924529	0.0103592	0.0152927	0.0197256	0.0174519	0.0180399	0.0101264	0.0153698	0.0184537	0.0208557	0.0165217	0.0175506	0.0195144	0.0246159	0.0476815	0.0701255	0.0738684	0.0792931	0.0586994	0.0353414	0.0379316	0.0387523	0.0425904	0.0323974	0.0336253	0.0359869	0.034125	0.0312483	0.0358312	0.0582714
cause	0.0160931	0.0152196	0.0152479	0.0164663	0.0179004	0.017791	0.0163747	0.0164949	0.0121226	0.012883	0.0124567	0.0146683	0.0119365	0.0153118	0.0185236	0.0226388	0.0361566	0.0395675	0.0351938	0.0442717	0.0507092	0.0477553	0.0488032	0.0444925	0.0448996	0.0327243	0.04395	0.0468172	0.0504663	0.0541403	0.059049	0.0688744
de	0.0136617	0.0115574	0.0102965	0.0149568	0.0157932	0.0151692	0.0145738	0.0132693	0.0115941	0.0102954	0.0131537	0.0151694	0.013636	0.0157096	0.0173452	0.0199494	0.0269757	0.0358525	0.0402015	0.0537494	0.0403538	0.0415108	0.038722	0.0504953	0.0518714	0.0469325	0.0521378	0.0587462	0.0608279	0.0566416	0.0580681	0.0607829
la	0.0287208	0.0317543	0.0263068	0.026828	0.0234006	0.0204943	0.0159691	0.0237285	0.0145585	0.0139424	0.0145936	0.0130569	0.0168493	0.0169149	0.0198599	0.0165583	0.0251076	0.0386732	0.0573096	0.0273378	0.0263409	0.0259662	0.0221037	0.0225858	0.028745	0.0243393	0.0393387	0.0595192	0.0747848	0.0479344	0.0548166	0.101561
pluie	0.0216168	0.0215347	0.0228163	0.0241505	0.01494	0.0116197	0.0132993	0.0113956	0.0169129	0.0147893	0.0184908	0.0218118	0.0195209	0.0230322	0.0192028	0.016348	0.0276806	0.0359162	0.0542535	0.0391278	0.0404612	0.0279796	0.0237129	0.0239672	0.0284062	0.021358	0.0356738	0.0437571	0.0544887	0.0464254	0.0708425	0.134468
</S>	0.0401505	0.0238494	0.0225229	0.0356641	0.058783	0.0191358	0.0171976	0.0136604	0.0122177	0.0121353	0.0115812	0.0163886	0.0143285	0.0267865	0.024269	0.0358277	0.0425999	0.0323389	0.0298198	0.032634	0.0272754	0.019341	0.0250504	0.0182446	0.0275482	0.0160708	0.0294293	0.0273651	0.0353549	0.0344827	0.0599859	0.157961
