 	w	a	á	m	i	k	y	á	ω	n	d	z	ε	l	ε	m	ó	ó	p	é	n	d	í	m	ó	i	d	z	w	a	l	á	n	g	y	ε	l	έ	</S>
elle	0.0496643	0.117553	0.144384	0.449819	0.122782	0.0439296	0.0179167	0.0171159	0.00444553	0.00262899	0.00193071	0.00194293	0.00177497	0.00171386	0.00163439	0.00155617	0.00115971	0.000681856	0.000652048	0.000390781	0.000597111	0.000352384	0.000532436	0.000488295	0.000759967	0.000429053	0.000458324	0.000463876	0.000986801	0.000499365	0.0011092	0.000971395	0.0010219	0.00132889	0.00110466	0.00150599	0.00145762	0.00143094	0.0008247
a	0.037906	0.0324356	0.0448824	0.0451326	0.070892	0.0592573	0.104014	0.0318003	0.049296	0.0396755	0.0187563	0.0325222	0.0493898	0.029715	0.038452	0.0176192	0.0516913	0.0847344	0.0492931	0.0204197	0.00662173	0.00186005	0.00225748	0.00365222	0.00239074	0.00194792	0.00327804	0.00183386	0.00973015	0.00443368	0.0052368	0.00228279	0.00992205	0.0133049	0.00485954	0.00392703	0.00292849	0.00601614	0.00563164
mis	0.0126546	0.0143732	0.0171771	0.0220286	0.0273244	0.0158665	0.024903	0.0227535	0.0274638	0.022938	0.0386729	0.0383636	0.0409603	0.0348933	0.0416762	0.0545047	0.0917739	0.0530421	0.0491675	0.0334986	0.0342644	0.0233885	0.0224312	0.0128842	0.0251997	0.016798	0.0258717	0.0140331	0.0167438	0.0200914	0.0100498	0.0102553	0.0131922	0.0106262	0.0109358	0.0110024	0.0120491	0.0131147	0.0130329
ses	0.0082533	0.00850864	0.00705888	0.0115671	0.011778	0.00863922	0.0139619	0.00990859	0.0128454	0.00901029	0.0172077	0.0101792	0.00985248	0.0159845	0.0176325	0.0257928	0.0233933	0.0532163	0.0439364	0.0559571	0.0406916	0.0723027	0.0440579	0.0644433	0.0518139	0.0689311	0.0649931	0.0252643	0.0154052	0.0427755	0.014293	0.0155463	0.0112319	0.0153606	0.0120915	0.0133213	0.0159722	0.0141428	0.0226784
plus	0.00487956	0.00427139	0.00364523	0.00359879	0.00459129	0.00384166	0.00511618	0.00481546	0.00984984	0.0110655	0.0246494	0.0237431	0.0295547	0.029198	0.0394132	0.0712192	0.0714266	0.0686869	0.0578924	0.0757616	0.0460187	0.0353735	0.0379618	0.0393931	0.027463	0.0258769	0.022812	0.014376	0.029314	0.0219173	0.0164257	0.0172656	0.0158492	0.0165714	0.0128804	0.0132437	0.0132054	0.0202575	0.0265749
beaux	0.00579855	0.00717297	0.00546009	0.00299472	0.00373332	0.0033072	0.00580137	0.00577362	0.0102787	0.00983051	0.0152274	0.0138834	0.0156573	0.0198007	0.0206294	0.0224138	0.0202312	0.0433372	0.0338543	0.0318732	0.0287443	0.0237719	0.0448203	0.0712828	0.0368372	0.0665846	0.0480694	0.0323976	0.0382145	0.0362169	0.0350929	0.0293011	0.0337775	0.035885	0.0212419	0.0262485	0.0268954	0.0320921	0.0354672
atours	0.00617527	0.00586749	0.00540886	0.00547623	0.00600988	0.00955773	0.00970898	0.0123277	0.0136397	0.0137284	0.0160221	0.0153486	0.0166417	0.0229332	0.0307289	0.0315227	0.0296117	0.0292496	0.0149066	0.0233634	0.0147374	0.0143173	0.0210754	0.0379022	0.0243662	0.0326155	0.0353781	0.0339893	0.0537488	0.042132	0.0428486	0.0451177	0.0382966	0.0400319	0.0336302	0.0370139	0.0383572	0.0445715	0.0516414
pour	0.0088761	0.0086727	0.00839867	0.00669165	0.0078967	0.0130197	0.012027	0.0101071	0.0124503	0.0134919	0.0122191	0.0129999	0.00995088	0.014526	0.0157306	0.0164537	0.0139975	0.0164122	0.0104468	0.0103451	0.0118716	0.00777573	0.0128713	0.0218542	0.0169479	0.030984	0.0200512	0.0282299	0.0694213	0.0281136	0.0590914	0.045802	0.0595184	0.0720958	0.0553475	0.0557331	0.0556848	0.0567739	0.057119
aller	0.0156034	0.014787	0.0157255	0.0150579	0.0157198	0.0159117	0.0159333	0.0153661	0.015665	0.0159152	0.0175007	0.0155725	0.0105382	0.00782601	0.00741651	0.00787948	0.0106692	0.0183704	0.013567	0.0210062	0.0147041	0.0190393	0.0210968	0.0301253	0.0262376	0.0414098	0.0434753	0.0368621	0.0306006	0.0371215	0.0313216	0.0292935	0.0347137	0.0535344	0.0423351	0.0498574	0.0549153	0.057336	0.0599894
à	0.0149621	0.0145462	0.014596	0.0148148	0.0148741	0.0154503	0.0158639	0.0153343	0.015512	0.0155591	0.018642	0.0169514	0.0134452	0.0179347	0.011697	0.0113573	0.0101241	0.0147945	0.00853511	0.00922475	0.0113074	0.0139662	0.0169833	0.0342416	0.0350596	0.0479941	0.0259648	0.0415926	0.0573036	0.02547	0.0474362	0.0242076	0.0357645	0.0587854	0.0391573	0.0434622	0.045848	0.0543856	0.056851
la	0.0131662	0.00917126	0.0109271	0.0151828	0.015399	0.015073	0.0152805	0.0129165	0.0151837	0.0158022	0.0207894	0.0189055	0.0128315	0.0204839	0.0163873	0.0176012	0.0110861	0.0166726	0.00970725	0.00820119	0.0108778	0.0160396	0.0226618	0.0314784	0.0371633	0.0476386	0.0216168	0.0337911	0.0649895	0.0253658	0.0486692	0.0251589	0.0354507	0.0515771	0.0404409	0.0408493	0.0432467	0.0534802	0.0587359
ville	0.010933	0.00868093	0.0112946	0.0129461	0.0190757	0.0215238	0.0264287	0.0171165	0.0330418	0.0372552	0.0389684	0.0577	0.023894	0.0173827	0.016572	0.0247909	0.0237769	0.0227678	0.016673	0.0118842	0.0138691	0.0110676	0.0140481	0.0112622	0.0109256	0.0120907	0.0092135	0.00998403	0.0251996	0.00852806	0.0221125	0.0138152	0.0289789	0.0469604	0.0476252	0.0502893	0.0593427	0.0774401	0.0745408
