 	w	a	á	m	i	d	i	á	a	y	έ	l	i	m	á	i	s	á	s	i	l	a	l	á	o	d	i	m	í	y	a	w	a	m	ó	e	b	é	e	y	a	w	a	</S>
il	0.143842	0.122076	0.134872	0.14119	0.13751	0.14059	0.0550318	0.0247089	0.0154572	0.00938504	0.00673944	0.00484764	0.00473626	0.00328042	0.00560179	0.00230901	0.00415906	0.0022536	0.0053053	0.00128061	0.00132588	0.00122366	0.00204723	0.00126853	0.00115833	0.00046359	0.000878292	0.000713946	0.00113104	0.00110864	0.0010452	0.00121473	0.00175481	0.0015844	0.00177525	0.0017461	0.00130073	0.00222529	0.00172075	0.00169442	0.00203649	0.00203253	0.00208961	0.00128351
a	0.0132188	0.00612209	0.00840934	0.0212005	0.0264911	0.0335417	0.0421116	0.055075	0.0471548	0.0477147	0.0401062	0.0573627	0.0352832	0.0421834	0.0606212	0.0395815	0.0388911	0.0308647	0.00955529	0.00905673	0.0215649	0.0281138	0.0248976	0.0196686	0.0254925	0.0132866	0.0173074	0.015011	0.00631758	0.00843613	0.00640816	0.0166892	0.0106331	0.00934116	0.00572705	0.008435	0.00771295	0.0071066	0.0113936	0.0113731	0.015061	0.0131543	0.0135007	0.0188222
trouvé	0.00833883	0.00876431	0.00935281	0.00982244	0.0160817	0.0221333	0.0175494	0.0201034	0.0152187	0.0127408	0.0204466	0.0119863	0.0134104	0.0188473	0.00982973	0.0263951	0.0268771	0.0323493	0.0228895	0.0520229	0.032383	0.0252177	0.0266961	0.0613587	0.0577624	0.0618122	0.0327072	0.018003	0.0169521	0.0194647	0.0141754	0.0338267	0.0412938	0.0225565	0.0188191	0.0224934	0.0152093	0.015342	0.0148859	0.0151611	0.0176624	0.0137946	0.0144065	0.012856
une	0.0139015	0.0124807	0.00889795	0.0121668	0.0120877	0.0135496	0.0130035	0.0128597	0.0121768	0.0123214	0.0204207	0.0170423	0.0163859	0.0141903	0.0159928	0.028963	0.0393719	0.0352935	0.0396422	0.046434	0.0289144	0.0230532	0.0230366	0.0223321	0.0244799	0.0372109	0.0287101	0.0342623	0.0300691	0.0267519	0.0548799	0.0219407	0.0178927	0.0223096	0.0240668	0.0196818	0.0218361	0.0278644	0.0164087	0.0145833	0.0157333	0.0139629	0.0179983	0.0348386
astuce	0.0129828	0.0184267	0.0175049	0.0170338	0.0160349	0.0159742	0.015423	0.0182919	0.0124718	0.0124729	0.0252287	0.0173769	0.0171091	0.00930194	0.0189404	0.0177009	0.0140862	0.020036	0.0167193	0.0314296	0.0203083	0.021419	0.0453092	0.0349966	0.104376	0.0537215	0.0494394	0.0313059	0.0306276	0.0282022	0.0308874	0.0314119	0.0249484	0.0143821	0.015989	0.0133536	0.0129608	0.0119701	0.0126445	0.01196	0.0119293	0.0117989	0.0124494	0.0190628
pour	0.00810256	0.00761239	0.00638537	0.00615002	0.00577931	0.00569527	0.00569211	0.0059257	0.00607415	0.00774189	0.0107822	0.0124278	0.0167383	0.0159187	0.0175547	0.0371372	0.022725	0.0244596	0.0365507	0.0352051	0.0230201	0.0178095	0.0277235	0.0278234	0.0155124	0.0240029	0.0512645	0.0354678	0.0248745	0.0312639	0.036579	0.0194017	0.0226366	0.0351007	0.0390743	0.0267092	0.030009	0.044262	0.0304941	0.0224393	0.0192379	0.0202631	0.0330905	0.0472821
faire	0.00541823	0.00433551	0.00418748	0.00365498	0.00471997	0.00493914	0.00448538	0.00545157	0.00872255	0.0101054	0.0122743	0.00966428	0.0212889	0.00947237	0.00952011	0.00897814	0.0148496	0.0115175	0.0115396	0.0119968	0.0138974	0.0131318	0.017819	0.0228864	0.0308544	0.0353266	0.0446711	0.0405609	0.0336532	0.0330509	0.0435878	0.0630751	0.048784	0.0306213	0.0383025	0.0298004	0.0315361	0.0294906	0.0277371	0.0337537	0.0315708	0.0330625	0.0373065	0.058398
faire	0.0179749	0.0193636	0.0158007	0.017419	0.0161119	0.0106181	0.012087	0.0144786	0.0141777	0.015097	0.0132228	0.0122124	0.0114763	0.00939804	0.00862818	0.00751476	0.00774657	0.00899983	0.00834344	0.00756603	0.00955899	0.00688111	0.00978383	0.0115474	0.014259	0.0161854	0.0190436	0.0193855	0.019368	0.0219867	0.0170691	0.0241939	0.0219582	0.0244701	0.0384539	0.0297063	0.0369898	0.0417829	0.0495874	0.0598244	0.0589894	0.0635405	0.0664087	0.0707889
son	0.0161552	0.0181966	0.0158136	0.0205285	0.0187799	0.0174679	0.0167891	0.0125006	0.00999077	0.0112003	0.00952069	0.00903051	0.00828917	0.00815577	0.0075219	0.00825021	0.00754831	0.00809464	0.00831954	0.0100254	0.00864862	0.00803597	0.00863442	0.0109156	0.0109053	0.0191117	0.023403	0.025874	0.0254557	0.0276141	0.0281996	0.0274919	0.0263019	0.0306669	0.0357511	0.0317326	0.0388524	0.0399872	0.0522282	0.0477038	0.0479632	0.0560197	0.0610874	0.0652372
travail	0.00994224	0.012888	0.0163863	0.0184279	0.0120424	0.0140406	0.00913532	0.0121877	0.0156973	0.012495	0.022127	0.0155003	0.014964	0.0120022	0.0149236	0.0127586	0.0150368	0.0142538	0.0119368	0.0108477	0.0114179	0.00943865	0.0111715	0.0140843	0.0153106	0.0238467	0.0284567	0.0318455	0.030008	0.0349177	0.0297344	0.0272846	0.0282302	0.0299416	0.0301526	0.0281106	0.0322524	0.0370278	0.0328186	0.0326543	0.0333198	0.0486025	0.0553079	0.0664718
par	0.00975343	0.0088867	0.00928335	0.00873322	0.00844272	0.007834	0.00856916	0.00983832	0.0103488	0.0137483	0.0136751	0.0114477	0.0102193	0.0134972	0.00950741	0.0195796	0.0155386	0.0162839	0.0184711	0.0246871	0.014002	0.011288	0.012978	0.0194342	0.00842306	0.0194293	0.0223496	0.0168406	0.0184086	0.0231694	0.0218184	0.0351014	0.0241377	0.0551714	0.0546931	0.0343547	0.0402582	0.0474715	0.0510103	0.0405011	0.0392077	0.0417238	0.0513065	0.0485764
son	0.0268753	0.0377029	0.0400565	0.0424864	0.0402986	0.0424351	0.0371334	0.0323506	0.0345002	0.0263077	0.0465695	0.0176947	0.0138057	0.00863913	0.0127772	0.0102405	0.00938138	0.0114714	0.0109183	0.0142772	0.0092982	0.0083552	0.00834684	0.0124484	0.0079777	0.0232597	0.0142021	0.0130343	0.0100608	0.0146135	0.0100506	0.0210151	0.0164761	0.0205738	0.0231033	0.0116331	0.0168775	0.0281983	0.0282448	0.0226378	0.0200064	0.028886	0.053566	0.0612127
frère	0.0170997	0.0268962	0.0267859	0.036547	0.0337435	0.036061	0.0294007	0.0257496	0.0268335	0.0213471	0.0380912	0.016557	0.0128399	0.00913028	0.0127875	0.00911631	0.00967972	0.00986355	0.00855245	0.00845347	0.00735211	0.00628995	0.00691431	0.0101507	0.0101685	0.0199195	0.0171785	0.0194497	0.0160992	0.0253511	0.013243	0.0219749	0.0159864	0.0179225	0.0208904	0.0171253	0.0237968	0.0245379	0.0331537	0.0274928	0.0282021	0.0522587	0.066121	0.0828851
</S>	0.00941978	0.00941312	0.00933591	0.00996152	0.0109324	0.0127255	0.0112671	0.0101364	0.0097093	0.0113891	0.0114703	0.00983342	0.0105162	0.010486	0.00978797	0.0114531	0.0108402	0.00977536	0.0119197	0.0102563	0.00918742	0.00915665	0.0103967	0.0142547	0.0140612	0.0149707	0.0256013	0.0337597	0.0284762	0.0355651	0.0359146	0.0314813	0.0304659	0.0346166	0.0342234	0.0356915	0.0372276	0.0379276	0.0466253	0.0516322	0.0472362	0.0520087	0.0514763	0.0674144
