 	b	e	a	b	í	í	y	í	í	n	ω	ó	m	í	á	í	b	h	i	ó	t	s	ω	k	ó	l	í	</S>
la	0.00905156	0.00621127	0.00519902	0.00491137	0.0079277	0.0121233	0.043829	0.116029	0.127931	0.133487	0.0722161	0.0570047	0.0596916	0.0338224	0.0460577	0.0394866	0.037804	0.0290545	0.0185681	0.0193122	0.0149332	0.0126325	0.0156061	0.0125868	0.0121487	0.0165129	0.016776	0.0190858
nourriture	0.0297805	0.0750221	0.157597	0.205901	0.281219	0.0610189	0.0445255	0.00860717	0.0111201	0.00755132	0.00386364	0.00413791	0.0051108	0.00566354	0.00493049	0.00900404	0.0134403	0.00826136	0.00909219	0.0072402	0.0105163	0.00856216	0.0128316	0.00469176	0.00423706	0.00327779	0.00119812	0.00159828
que	0.149617	0.0426513	0.0218505	0.0304293	0.0343255	0.0394755	0.0223435	0.0216906	0.0104321	0.00851017	0.0112708	0.0167567	0.0342787	0.0347608	0.0281795	0.0421715	0.0476673	0.040014	0.053248	0.0360013	0.0415913	0.0389066	0.0323467	0.0357017	0.0369644	0.0342625	0.0372251	0.0173275
tu	0.0414061	0.0427348	0.0603315	0.0151615	0.00897557	0.00873163	0.00689546	0.012078	0.01889	0.0299225	0.0359561	0.079029	0.0269477	0.0529707	0.0371984	0.0208203	0.0272262	0.0195708	0.021108	0.021005	0.0274995	0.0237045	0.0365909	0.0386702	0.045962	0.0574682	0.0745388	0.108607
as	0.066571	0.0374576	0.0356745	0.0398782	0.0478846	0.0547752	0.0453517	0.0594782	0.0430794	0.041203	0.0510799	0.0481738	0.0285752	0.0201007	0.0159384	0.0240592	0.0286931	0.0262501	0.0282088	0.0211202	0.0204769	0.0207866	0.0204601	0.0230974	0.0214859	0.0246357	0.0379929	0.0675121
laissée	0.0356771	0.0257511	0.0327168	0.0334647	0.0496427	0.0449241	0.0318667	0.0358255	0.0351018	0.036552	0.0330295	0.0197872	0.00362166	0.00352275	0.010101	0.0251739	0.0594478	0.0587146	0.0663328	0.0394358	0.0344369	0.035934	0.0415736	0.0269226	0.0178688	0.0261268	0.0479846	0.088463
au	0.0628865	0.0501244	0.035547	0.0253799	0.0231317	0.0221942	0.0157244	0.0145291	0.0135412	0.0136449	0.0313166	0.0341169	0.0257943	0.0171728	0.0166584	0.0191766	0.0249544	0.0302829	0.0447835	0.0421269	0.0500198	0.0469958	0.0396866	0.0437759	0.0470787	0.051379	0.055735	0.102243
feu	0.0997858	0.135469	0.095838	0.0380729	0.0596766	0.0199845	0.0109055	0.00481197	0.00650034	0.00642852	0.00845721	0.00722475	0.00345823	0.003884	0.00493382	0.00845281	0.0153309	0.0151493	0.0260143	0.0179671	0.0214596	0.0203521	0.0260299	0.0226037	0.0226119	0.0249586	0.0296182	0.24402
s'	0.0432385	0.0457535	0.0286979	0.0188683	0.0238923	0.0253145	0.0198686	0.0218179	0.019227	0.020559	0.0288209	0.0388907	0.023828	0.0182346	0.0156966	0.0139077	0.0126922	0.0115718	0.0143479	0.0192439	0.0252932	0.0335966	0.0300649	0.0590108	0.0629108	0.0667785	0.0742911	0.183582
est	0.0958046	0.0885897	0.0526889	0.04098	0.027226	0.0155878	0.00965072	0.00653752	0.00560684	0.00811085	0.0144415	0.0148497	0.0045416	0.0072245	0.0113343	0.0111387	0.0213598	0.0261622	0.0399509	0.0239332	0.0303227	0.0287624	0.0432537	0.0489831	0.0547175	0.0605017	0.0725331	0.135207
entièrement	0.0776325	0.0611616	0.0400418	0.0319937	0.0184224	0.00817482	0.00565095	0.00505646	0.00602748	0.0105595	0.0208651	0.0212682	0.00663342	0.0114551	0.016453	0.0195016	0.0305528	0.0297129	0.0468731	0.0260413	0.0410623	0.0283152	0.0599264	0.0428071	0.0521507	0.0645381	0.0767676	0.140355
calcinée	0.0922123	0.0725521	0.0513536	0.0384218	0.0232101	0.0129501	0.00720338	0.00593939	0.00565777	0.00680016	0.0114419	0.0113163	0.00522597	0.00754172	0.0104724	0.00714078	0.0113408	0.0172119	0.0229444	0.0244615	0.0277521	0.0277558	0.0404239	0.0479231	0.0658717	0.0900548	0.10237	0.15245
</S>	0.148082	0.103192	0.0337585	0.0245694	0.0168501	0.0151719	0.00850826	0.00483791	0.00366792	0.00348867	0.00567123	0.00696085	0.00382342	0.00455454	0.00563959	0.00469224	0.00942298	0.0138417	0.0325937	0.0277458	0.0393008	0.0333912	0.0401463	0.047117	0.0644736	0.0563326	0.0780413	0.164124
