 	n	y	a	m	a	y	e	e	y	í	í	b	á	a	s	á	k	ú	k	u	a	d	í	o	k	y	έ	s	έ	k	y	ε	s	ε	</S>
le	0.0120206	0.0151978	0.0139607	0.0212604	0.029161	0.024357	0.0296041	0.0263993	0.0232828	0.0239159	0.0352512	0.038602	0.0402587	0.0445603	0.0577565	0.0501831	0.042297	0.0384945	0.0312879	0.0303584	0.0313738	0.04981	0.0529842	0.0497951	0.0360785	0.0287714	0.0274008	0.0214436	0.0112162	0.00853049	0.0106786	0.00890319	0.00664306	0.0130075	0.0151545
gibier	0.0236854	0.0327814	0.0625564	0.111195	0.142551	0.083488	0.0682664	0.0252154	0.0115716	0.00626674	0.00622288	0.00664525	0.0137935	0.033269	0.0415888	0.0616786	0.0394466	0.0276419	0.0207065	0.0161554	0.0165507	0.0143397	0.0177781	0.0127377	0.0119765	0.0105706	0.0129662	0.017362	0.0176558	0.00935543	0.00873794	0.0080584	0.00392058	0.00167931	0.0015847
qu'	0.0290479	0.0184691	0.0130326	0.0169902	0.0190061	0.0214491	0.0260503	0.0346187	0.0366732	0.0177974	0.0144658	0.0303648	0.03856	0.0357351	0.0470626	0.035395	0.0324593	0.0367558	0.0485515	0.0543409	0.0472055	0.0549133	0.0620331	0.0359147	0.0374893	0.0273121	0.0201985	0.028813	0.0217862	0.012344	0.00936654	0.00831565	0.00879254	0.0114959	0.00719405
ils	0.0342673	0.0310103	0.0284505	0.0168737	0.0129411	0.00974754	0.0164084	0.0152953	0.0385305	0.0480451	0.0812145	0.0766215	0.0637965	0.0654267	0.0643828	0.0522771	0.0388498	0.0332406	0.0182885	0.032328	0.0412677	0.0404779	0.019415	0.0121181	0.0128702	0.00520825	0.00500813	0.00250608	0.00401924	0.0035891	0.00324707	0.0087143	0.0119137	0.0174913	0.0341583
ont	0.0857608	0.055309	0.0584733	0.0629582	0.0546566	0.0458649	0.0305887	0.0245256	0.0276445	0.0177954	0.0183563	0.0265867	0.0274946	0.0250871	0.0328028	0.0330769	0.0472055	0.0373804	0.0212504	0.0243534	0.0190529	0.0143733	0.0123761	0.0144764	0.0148526	0.0145893	0.00940302	0.00838071	0.0082304	0.0105898	0.0142276	0.0172845	0.0231878	0.021103	0.0407014
laissé	0.094283	0.0786433	0.0647049	0.0631893	0.0568398	0.0418268	0.0364996	0.0296941	0.0189844	0.0144371	0.00918927	0.0142568	0.0107577	0.00698145	0.00977874	0.00840252	0.0149675	0.0170868	0.0111739	0.0110226	0.0101806	0.00825303	0.0110689	0.0109732	0.0147617	0.0146742	0.0138467	0.0153031	0.0179663	0.0219614	0.015331	0.0338336	0.0318167	0.0391144	0.128195
dans	0.0417935	0.0391608	0.0520175	0.0543523	0.0504495	0.0427164	0.0290915	0.0255251	0.0226432	0.0152661	0.0102077	0.0131802	0.00816194	0.00926364	0.00722366	0.00881987	0.0122355	0.0199517	0.0135174	0.0195825	0.016649	0.0111673	0.0155182	0.0163427	0.0213747	0.0205941	0.0209035	0.0246643	0.0259311	0.0332646	0.0381729	0.0484836	0.0461035	0.0518708	0.1138
la	0.0404545	0.0411286	0.040583	0.0482316	0.071315	0.0721246	0.0636607	0.0499157	0.0409812	0.024672	0.0170609	0.0157147	0.00931678	0.010082	0.00916564	0.00837404	0.00923622	0.012659	0.00598161	0.00715469	0.00600853	0.00324087	0.00741485	0.0100311	0.0158683	0.0166541	0.0163711	0.0164728	0.0257834	0.0238323	0.0122539	0.0256731	0.0219215	0.0288419	0.17182
cuisine	0.0401288	0.0399691	0.0348537	0.0293058	0.0385122	0.0274071	0.0157323	0.0128285	0.00651039	0.00624559	0.00715078	0.00474248	0.00376398	0.00841404	0.00821759	0.0111635	0.013956	0.0181245	0.0145412	0.0219673	0.0293231	0.019501	0.0336528	0.0327553	0.0277461	0.0315121	0.0358543	0.0339597	0.0696938	0.0466905	0.0251547	0.0343351	0.0414971	0.0320528	0.142737
est	0.0865559	0.0514173	0.0332722	0.0238352	0.0164956	0.0122294	0.00842352	0.00674942	0.00609971	0.00522216	0.00551184	0.00482983	0.00246791	0.00163297	0.00215637	0.00216385	0.00398257	0.00652789	0.00568732	0.0086677	0.0141142	0.00969477	0.0237128	0.0297558	0.0398591	0.0525371	0.0598826	0.0269267	0.042645	0.0322836	0.0337954	0.0384899	0.0879778	0.0884468	0.12595
déjà	0.0989724	0.0552158	0.0368697	0.026728	0.0191211	0.0117673	0.0064136	0.00564389	0.00501917	0.00532946	0.0063547	0.00465504	0.00168212	0.00121959	0.00136116	0.00144219	0.00308769	0.00404039	0.00464362	0.00443718	0.00663735	0.00531492	0.0101126	0.0182837	0.0154282	0.0377471	0.0324199	0.0205638	0.0399057	0.0512286	0.0429882	0.0684486	0.114893	0.0924598	0.139564
dépécé	0.18242	0.112751	0.0578034	0.0400358	0.0249202	0.0133867	0.00638774	0.00545548	0.00454453	0.00449915	0.0063408	0.00265082	0.000670833	0.000583762	0.00102597	0.00117805	0.00177779	0.00220094	0.00277994	0.0025907	0.00369876	0.00357477	0.00589205	0.00992915	0.0115043	0.0273248	0.0324288	0.0153273	0.0416644	0.0328311	0.0245856	0.025156	0.0911339	0.0784555	0.12249
</S>	0.115655	0.0774204	0.0459288	0.0292935	0.0197107	0.0157336	0.0110318	0.0105113	0.00622929	0.0055625	0.00615007	0.00524043	0.00133683	0.000993947	0.000893263	0.0008743	0.0018629	0.00344882	0.00399781	0.00647045	0.0107659	0.0106094	0.0119108	0.0154417	0.0192789	0.0276662	0.0383719	0.0156154	0.0302683	0.0225404	0.0305527	0.0418367	0.0868295	0.0819788	0.187988
