 	m	w	á	n	a	l	á	a	b	í	n	á	á	ó	t	s	ε	n	g	ε	t	s	í	n	a	n	g	ó	o	á	b	έ	r	i	w	a	</S>
l'	0.00220662	0.00195643	0.00427946	0.00313219	0.00355787	0.00241454	0.00308539	0.0049713	0.0153142	0.0186538	0.0388963	0.0331501	0.0472975	0.0520161	0.0457588	0.0556269	0.130873	0.128565	0.0967021	0.0781035	0.0603205	0.0198843	0.00992763	0.0103347	0.00692342	0.00713235	0.00835801	0.00915803	0.00688278	0.00862422	0.0096223	0.0111987	0.0135461	0.0132902	0.0145884	0.0109943	0.0126532
enfant	0.0412155	0.143295	0.0723625	0.246903	0.230471	0.125811	0.0277873	0.00912396	0.0152146	0.0132102	0.00692428	0.00636182	0.00638982	0.00184776	0.00127384	0.00164896	0.00146598	0.00117442	0.0018067	0.00174388	0.00347361	0.00258359	0.00295214	0.00319257	0.00319659	0.00213643	0.00386091	0.00291896	0.00431749	0.00259168	0.00382902	0.00142403	0.00225992	0.0013755	0.00254523	0.000839656	0.000471895
roule	0.011858	0.0254256	0.0227731	0.0195582	0.0200045	0.0343752	0.0673438	0.104784	0.0905251	0.0728415	0.0667895	0.0360883	0.0288011	0.0331546	0.0230061	0.0253789	0.0263865	0.0445878	0.026762	0.0517	0.026804	0.0153649	0.0122574	0.0101362	0.010572	0.00829179	0.00795783	0.00980319	0.00800662	0.00840548	0.00885523	0.00669675	0.00820963	0.00785933	0.0065196	0.00723389	0.00488269
par	0.0171477	0.0086504	0.00506103	0.00784963	0.00653668	0.0109606	0.0111237	0.0145145	0.0201452	0.0279166	0.0311319	0.0297239	0.0343086	0.0212573	0.0186599	0.0358184	0.0312024	0.0307231	0.0303716	0.0253749	0.0355348	0.0431978	0.0429778	0.0405134	0.0413555	0.0274259	0.0311389	0.0554207	0.0385657	0.0355934	0.0389024	0.0353093	0.0131289	0.0166045	0.020585	0.0295941	0.035674
terre	0.0388085	0.0148375	0.0101085	0.00967713	0.00918401	0.00968763	0.0100636	0.0132265	0.0225006	0.0292776	0.0375205	0.0318091	0.0386206	0.0307078	0.0210924	0.0199332	0.0150317	0.0228347	0.0178186	0.0178817	0.0214634	0.0343001	0.0367652	0.0329854	0.0407394	0.0411466	0.0384057	0.0406966	0.0370179	0.0345217	0.0329202	0.0335018	0.0278965	0.0291941	0.0283209	0.0302505	0.0392522
parce	0.0509664	0.0137209	0.0123443	0.00842531	0.00899129	0.0129055	0.0137979	0.0158605	0.010361	0.0149059	0.0168914	0.0132372	0.0159111	0.0157539	0.0126417	0.0152349	0.0184011	0.0249771	0.0282724	0.022699	0.0359276	0.0474357	0.0488304	0.0373805	0.0449888	0.0460797	0.0386033	0.0382218	0.0432787	0.0384603	0.0301924	0.0268093	0.0259632	0.0305439	0.0322914	0.0290229	0.0596715
que	0.0230661	0.0136983	0.0190956	0.0192278	0.0192336	0.0270057	0.0223334	0.0233862	0.0246608	0.0287913	0.0374327	0.0336562	0.0400823	0.0387122	0.0382469	0.0176538	0.0222674	0.0374208	0.0287362	0.0164943	0.0219903	0.0217454	0.0232904	0.0175593	0.0299877	0.0283973	0.0246039	0.0244209	0.0253224	0.0276957	0.0246199	0.0225257	0.0207645	0.0249951	0.0417823	0.0287823	0.0603154
sa	0.0449127	0.018674	0.0148395	0.0161022	0.015328	0.0141016	0.0101383	0.0117733	0.0127833	0.0146855	0.0157156	0.0144897	0.0137081	0.0157279	0.0197326	0.0201663	0.0128572	0.0201817	0.0232868	0.0183379	0.0273342	0.0387495	0.0456002	0.0341862	0.0473411	0.0508193	0.043513	0.0360028	0.0474206	0.0435748	0.0224984	0.0180591	0.0183912	0.0156628	0.0310954	0.0321699	0.100039
mère	0.135106	0.053496	0.0182152	0.0169761	0.0106211	0.00463422	0.00447029	0.00355125	0.00416198	0.0114181	0.0118866	0.0127621	0.0148531	0.0186871	0.0165127	0.0330888	0.0235376	0.0356311	0.0473292	0.0215367	0.0288163	0.0384363	0.0422097	0.0305997	0.0421563	0.0424355	0.0390702	0.0195547	0.0284079	0.0198151	0.00954041	0.00542765	0.0183421	0.0104062	0.0257548	0.0107511	0.0898011
l'	0.0716524	0.0391764	0.0155298	0.0311363	0.010086	0.00907031	0.00761532	0.00735845	0.00605486	0.00950564	0.0117662	0.0105172	0.0131628	0.0118663	0.0177748	0.0331337	0.025385	0.0342891	0.0416978	0.0418621	0.0300829	0.0571585	0.0501487	0.0458533	0.0361749	0.0386221	0.032095	0.0237193	0.0230526	0.019531	0.00970181	0.00781726	0.0117336	0.00874148	0.0189266	0.0263703	0.11163
