 	n	y	ω	s	í	a	d	í	s	a	a	m	ó	t	w	ó	ó	r	ώ	</S>
l'	0.0118932	0.0156918	0.00967441	0.00682978	0.00737043	0.00758186	0.00880956	0.012311	0.0332642	0.0749321	0.111925	0.137229	0.173773	0.134568	0.163116	0.0350565	0.0226496	0.0172631	0.00916317	0.00689798
oiseau	0.0404861	0.148434	0.279421	0.169687	0.0612799	0.0343935	0.0289019	0.0593144	0.0198133	0.0385238	0.0550177	0.0257378	0.0118374	0.00643635	0.0050398	0.00405993	0.0036491	0.00290875	0.00229715	0.00276039
est	0.0522768	0.0238379	0.0339867	0.0636679	0.124188	0.168672	0.111798	0.100527	0.0826059	0.0321387	0.0314359	0.0240837	0.0213181	0.0335959	0.0288819	0.0277022	0.0185683	0.00766912	0.00691986	0.00612656
perché	0.040333	0.0367538	0.0558056	0.0976274	0.116002	0.106099	0.0875493	0.113801	0.0800754	0.029044	0.0252217	0.0174629	0.0165208	0.0319248	0.0190116	0.0247384	0.0167892	0.0201944	0.0275185	0.0375271
sur	0.0641924	0.0553741	0.0834244	0.137913	0.14756	0.13833	0.0614801	0.036364	0.0225589	0.0102034	0.00956027	0.0132296	0.0133512	0.0138486	0.0168231	0.0182637	0.0180431	0.0281929	0.0286603	0.082627
la	0.0171037	0.0312779	0.0373256	0.0490755	0.0311087	0.0307056	0.0402687	0.0501515	0.0318659	0.0407276	0.128932	0.0989116	0.116563	0.0529832	0.080043	0.0476185	0.0205178	0.0286941	0.0245493	0.0415773
plus	0.0608253	0.0453385	0.0516734	0.0696337	0.0521119	0.024077	0.0110165	0.0143143	0.00671928	0.00582945	0.0212699	0.0242998	0.0170981	0.0246783	0.0293325	0.0499149	0.0976493	0.0846751	0.110588	0.198955
jeune	0.0361659	0.0373011	0.0475103	0.065692	0.0540653	0.0349491	0.021497	0.0306224	0.0192565	0.0143481	0.0152656	0.0213482	0.010667	0.0197295	0.0223604	0.0543897	0.085687	0.0943983	0.113721	0.201026
palme	0.0507135	0.0276883	0.0300153	0.0242998	0.0225875	0.00444095	0.00302324	0.00386766	0.00686054	0.00213012	0.00436947	0.00360902	0.00584863	0.0153551	0.0136158	0.0473287	0.13506	0.125894	0.208538	0.264754
</S>	0.102288	0.0801485	0.127593	0.166092	0.0775599	0.0409205	0.0365096	0.0162505	0.00487479	0.00316437	0.00357254	0.00295755	0.0031626	0.00732349	0.0118063	0.0333366	0.0369949	0.0366806	0.0697051	0.139059
