 	o	y	ú	r	u	w	ó	b	ó	l	á	a	s	w	έ	n	g	έ	s	έ	n	g	á	t	s	í	n	a	n	g	á	i	d	í	l	e	b	y	é	m	b	o	y	á	w	a	</S>
cette	0.00390179	0.0032152	0.00283085	0.00334893	0.0044438	0.00628084	0.00728517	0.00225396	0.00557674	0.00515096	0.00530814	0.00686597	0.00747962	0.0065951	0.017649	0.0303393	0.0130897	0.0233869	0.0124937	0.028069	0.0178829	0.0279255	0.0365351	0.0156386	0.0260254	0.0116189	0.0191433	0.0208226	0.0423398	0.0676212	0.0665794	0.0421467	0.0283124	0.0342371	0.0181679	0.0147566	0.013185	0.00678842	0.012357	0.0183212	0.0332491	0.042851	0.0481422	0.0430837	0.02191	0.0406725	0.0341219
femme	0.18431	0.177886	0.202616	0.141715	0.0799623	0.0141291	0.0299154	0.0154451	0.017313	0.00819032	0.00849123	0.00368348	0.00364317	0.00134876	0.0014766	0.00247611	0.000832284	0.000417426	0.000703532	0.00119924	0.0016628	0.000687716	0.00421582	0.000318525	0.00179713	0.000644604	0.00119817	0.000469556	0.000299783	0.00154741	0.00250908	0.00401622	0.00467904	0.00488221	0.00419008	0.00340034	0.00802998	0.00933453	0.00819367	0.0168411	0.00701446	0.00872435	0.00437788	0.00217053	0.000750759	0.00175402	0.000535531
est	0.0224658	0.0310255	0.0459805	0.0253799	0.0260473	0.118715	0.047431	0.0346128	0.0262135	0.0437488	0.0436514	0.0339653	0.0307251	0.0215225	0.016282	0.0380995	0.0245373	0.0127388	0.0134771	0.01257	0.00865917	0.0164991	0.0124549	0.00731783	0.0101619	0.0087763	0.0121461	0.0157672	0.0163979	0.0190647	0.0327682	0.0100225	0.0111447	0.0189008	0.00772955	0.0061129	0.0112368	0.0080277	0.0117246	0.0117271	0.0130686	0.0138339	0.0132598	0.00798524	0.00930257	0.0105219	0.00619875
en	0.0326383	0.0439862	0.0418535	0.0251289	0.0241226	0.0286012	0.028913	0.0177409	0.0189079	0.0194543	0.0198329	0.0186196	0.0236578	0.0157158	0.0109141	0.0241729	0.0241294	0.0186916	0.0238678	0.0245688	0.0212254	0.0129582	0.0216076	0.0109571	0.018241	0.0136499	0.0160617	0.0232458	0.0282038	0.0268289	0.0266703	0.0155913	0.0163872	0.0279874	0.014623	0.0132325	0.0215808	0.014685	0.0162861	0.0181613	0.0180739	0.0190558	0.0201948	0.0174195	0.0163576	0.0162317	0.0289652
train	0.0249003	0.0202496	0.0194618	0.0190474	0.00821404	0.00229511	0.0057638	0.00948323	0.0114576	0.0153479	0.0129024	0.0130299	0.0208754	0.0117732	0.0170292	0.0150475	0.0159583	0.0132852	0.0346642	0.0321495	0.0314656	0.0212993	0.0304361	0.0256091	0.0290068	0.0243155	0.025535	0.0251666	0.0205623	0.0428424	0.0466758	0.0235912	0.0268649	0.0262601	0.0253197	0.0358293	0.0306735	0.0290967	0.030617	0.0319079	0.0195812	0.0146004	0.00980525	0.0123867	0.00982265	0.0107364	0.0170571
de	0.0335219	0.0270358	0.02458	0.0171147	0.00976653	0.0107541	0.00937509	0.0105388	0.00852837	0.0109539	0.0105298	0.00903362	0.0110069	0.0156406	0.00849567	0.0203339	0.0133764	0.0203503	0.0316242	0.0297881	0.0448172	0.0363914	0.0374746	0.0535384	0.0342547	0.0421385	0.032409	0.0292429	0.0394313	0.0256984	0.0176885	0.0295079	0.0133645	0.00697862	0.0157949	0.0133262	0.00644763	0.00919222	0.00807976	0.00952692	0.00827317	0.00757636	0.0154119	0.0141425	0.00749139	0.0465519	0.0629004
me	0.02566	0.0238628	0.0213681	0.0238668	0.0335046	0.0159857	0.0268152	0.0153841	0.0233191	0.00969818	0.00993594	0.0171424	0.0267169	0.00714121	0.0126416	0.0295602	0.0151407	0.0181309	0.0206714	0.0306396	0.0400081	0.0262712	0.0420451	0.0242438	0.0373358	0.0327716	0.0307041	0.0285518	0.0265705	0.0395005	0.0273078	0.0256498	0.0126112	0.00922494	0.0142838	0.0109921	0.0132391	0.0149862	0.0134867	0.0201473	0.0146586	0.0121738	0.0155823	0.0113206	0.00698056	0.0135554	0.0286118
harceler	0.00911907	0.010608	0.0094702	0.00901147	0.0088547	0.014827	0.00789597	0.0116353	0.0109006	0.0167482	0.0106424	0.0222668	0.0312614	0.0306813	0.0303955	0.030257	0.0359997	0.0336834	0.0432256	0.0426838	0.0421492	0.033218	0.0398401	0.0359582	0.0418142	0.0395655	0.0359704	0.0368436	0.0308987	0.0337445	0.0198539	0.0151129	0.00799834	0.00692946	0.0148987	0.0112227	0.00852196	0.0162606	0.0155648	0.0092096	0.00946388	0.00665395	0.00967715	0.0102446	0.00826041	0.0146448	0.0253123
parce	0.0116088	0.0110147	0.0114512	0.0103498	0.00327322	0.00431975	0.00201726	0.00266813	0.00207209	0.00244652	0.00202919	0.00432638	0.0080909	0.00730139	0.00894139	0.0137561	0.0191309	0.0147061	0.0447515	0.0349227	0.0427091	0.0598693	0.0312288	0.0762939	0.0553976	0.0831025	0.0700515	0.040005	0.0292035	0.0360108	0.0289727	0.0476205	0.0306322	0.01217	0.0215244	0.0218137	0.0135321	0.0143118	0.0101589	0.00540487	0.00581054	0.00409496	0.00482944	0.0064196	0.00441282	0.00526186	0.0199794
que	0.0622943	0.0301456	0.0184564	0.00969709	0.0071448	0.00514299	0.00715527	0.00966559	0.00647281	0.00752809	0.00373314	0.00686189	0.00817079	0.0073636	0.00906597	0.0113671	0.00880685	0.0131895	0.0298711	0.0327324	0.0350256	0.0391533	0.0370483	0.0631096	0.042967	0.0579301	0.0420078	0.0319643	0.0225879	0.0212009	0.0173215	0.0257907	0.0203066	0.0175905	0.0280309	0.0207347	0.0268391	0.0245584	0.0227206	0.00954498	0.00940215	0.00796142	0.00762488	0.00877426	0.0114279	0.0158766	0.0376345
je	0.0443716	0.0270122	0.0213367	0.0122665	0.0047065	0.00569977	0.00458969	0.00770542	0.00608799	0.00806911	0.00421337	0.00802056	0.0112256	0.013467	0.0102864	0.0164433	0.0165007	0.0155578	0.0300713	0.0264574	0.0335495	0.0320859	0.0323169	0.0431641	0.0405794	0.0467166	0.0451136	0.0359715	0.0308897	0.0359961	0.0222794	0.0378907	0.0196056	0.022439	0.0221865	0.0237377	0.0167966	0.0153374	0.0142829	0.00763939	0.00777652	0.00574334	0.00727609	0.0102485	0.0122989	0.0306912	0.0532978
lui	0.0280926	0.0203446	0.0180952	0.01244	0.00615454	0.00533797	0.00369616	0.00604863	0.00482715	0.00659772	0.00536779	0.00887673	0.0130201	0.0143317	0.0115625	0.0190801	0.0234904	0.0232016	0.0356462	0.0314135	0.0439439	0.0275604	0.0405864	0.031766	0.0434451	0.0404961	0.0376692	0.0353717	0.0376833	0.0400202	0.0231589	0.0322056	0.0151398	0.0222072	0.0234417	0.023338	0.0123613	0.0183927	0.011234	0.0056764	0.00775231	0.00568414	0.00986758	0.00917375	0.011149	0.0255593	0.0674906
dois	0.0703676	0.0222782	0.0158951	0.010621	0.0052265	0.00722512	0.00412967	0.015564	0.012013	0.0177034	0.00798541	0.0132935	0.0197979	0.0262688	0.026091	0.0291409	0.0434544	0.0450374	0.0344595	0.0324008	0.057447	0.016063	0.0297265	0.0189301	0.0309786	0.027377	0.0216688	0.020829	0.0254457	0.0327932	0.0212791	0.0228737	0.013953	0.0177267	0.0124067	0.0153352	0.00923048	0.0113302	0.00790733	0.00489858	0.00539971	0.00410834	0.00627576	0.00680511	0.00668298	0.0188445	0.0747306
