 	n	g	ó	o	y	a	b	á	a	l	á	a	k	ω	n	í	s	ω	o	l	ó	m	i	s	ó	p	i	t	á	á	l	e	</S>
leur	0.0961181	0.0980819	0.0299705	0.0184713	0.0212106	0.00865775	0.0180753	0.0370216	0.0293267	0.0380532	0.0396639	0.0494826	0.0441349	0.0470436	0.0464273	0.0371021	0.0365474	0.0237211	0.0237601	0.019062	0.0159768	0.0284692	0.0254078	0.0308581	0.0237175	0.0189367	0.016145	0.0112858	0.0150781	0.0141355	0.00913462	0.0104979	0.0184251
mère	0.0596056	0.0542073	0.246206	0.21156	0.250809	0.0924436	0.0256383	0.00774647	0.0025612	0.00285751	0.000796522	0.00052648	0.000237371	0.000129095	0.000286703	0.000391244	0.0010815	0.00133377	0.00226176	0.00081428	0.00153986	0.0035882	0.00541891	0.00456397	0.00822333	0.0062618	0.00389867	0.00278759	0.000785511	0.00079807	0.000406012	0.000171983	6.23695e-05
s'	0.0200294	0.0165176	0.0270466	0.0218144	0.0400698	0.0520805	0.0393285	0.0463606	0.033964	0.0325769	0.0259714	0.0163359	0.0238257	0.0236944	0.0225679	0.0352446	0.0335828	0.0495624	0.0273016	0.0494874	0.0459031	0.0288621	0.0413587	0.0615991	0.0355559	0.0336754	0.0257892	0.0241603	0.0140208	0.0121296	0.014779	0.0138291	0.0109753
occupe	0.0529673	0.021486	0.0257768	0.0208922	0.0224485	0.0250469	0.0126518	0.0157194	0.0331316	0.0324527	0.0369794	0.0465833	0.0404782	0.0386209	0.0296662	0.0295264	0.0193644	0.0232517	0.025874	0.0297838	0.0311113	0.0341796	0.0478313	0.0253357	0.0311919	0.0397146	0.0351742	0.0251544	0.0337764	0.0215552	0.0230521	0.0237778	0.0454438
de	0.0501768	0.013573	0.021273	0.0201298	0.014262	0.0183245	0.0216944	0.0231531	0.0289138	0.0331044	0.0514423	0.038677	0.0507123	0.0598707	0.0464664	0.0255172	0.035358	0.0255378	0.0439239	0.0163724	0.0215812	0.0362652	0.018886	0.0151508	0.027554	0.0238897	0.0233185	0.024868	0.0297531	0.0312725	0.0393326	0.0310989	0.0385469
son	0.0258766	0.00884794	0.0143661	0.0143302	0.00876856	0.0111855	0.0153779	0.0190902	0.025699	0.0265128	0.0400651	0.031277	0.0269693	0.0303908	0.0268271	0.0170517	0.0297378	0.0308321	0.0557575	0.0169629	0.0357981	0.0455002	0.0297193	0.0242822	0.0405613	0.0349215	0.0343996	0.0370185	0.0445868	0.0467091	0.0576629	0.0481983	0.0447163
mari	0.0304353	0.0202575	0.01434	0.0144516	0.0107213	0.0121976	0.0131532	0.0135893	0.0192667	0.0136166	0.0153704	0.0152426	0.0181679	0.0200097	0.0139452	0.0120612	0.0133589	0.0247187	0.0299848	0.018793	0.0303422	0.0398394	0.0516981	0.0541453	0.0613238	0.0565219	0.0564867	0.0552354	0.03893	0.0520009	0.0539648	0.0525341	0.0532961
qui	0.0126037	0.00988558	0.00814114	0.00835561	0.00826161	0.00794462	0.00788009	0.00918399	0.0111217	0.00600347	0.0114101	0.00931837	0.0113532	0.0153801	0.0084415	0.00971258	0.0197947	0.0303023	0.0406145	0.0316564	0.0437925	0.0507703	0.0666821	0.056839	0.0649322	0.0602868	0.0558074	0.0529285	0.0577482	0.044487	0.0449653	0.0488155	0.07458
est	0.0522477	0.0229328	0.0229908	0.0208726	0.0194047	0.0184482	0.0175869	0.0177541	0.0176292	0.0127697	0.0127763	0.0131122	0.0116539	0.0154262	0.0104794	0.00885526	0.0107026	0.0161206	0.0251632	0.0139675	0.031028	0.0223026	0.0267704	0.0211686	0.0222954	0.0227984	0.0285187	0.0382865	0.0481477	0.0543268	0.080058	0.107514	0.135891
souffrant	0.0450377	0.0218419	0.026493	0.0216772	0.0167097	0.0102762	0.00828426	0.00839635	0.00912089	0.00879209	0.00780158	0.00849869	0.00755951	0.00830075	0.00470138	0.00516468	0.00643801	0.0103878	0.0117248	0.00840319	0.0154266	0.00911274	0.0146391	0.0128401	0.0198474	0.0296127	0.0419684	0.0542917	0.0593588	0.0913089	0.118562	0.129353	0.14807
