 	o	y	ú	r	u	w	ó	á	s	é	m	b	i	s	i	n	g	á	t	s	í	n	a	n	g	á	i	d	í	e	b	y	ó	m	b	o	y	á	w	a	</S>
cette	0.00384674	0.00316554	0.00289855	0.00472362	0.00281706	0.0145342	0.00446918	0.0157948	0.00497806	0.00598291	0.00756596	0.00670147	0.00792428	0.0111639	0.00684443	0.00683617	0.00893159	0.028454	0.0321189	0.0594519	0.0349741	0.0518502	0.0462811	0.0759859	0.0593036	0.0407138	0.0243708	0.0093167	0.0106666	0.0189401	0.0145694	0.0164651	0.021296	0.0164444	0.0531204	0.0446516	0.0574466	0.04726	0.0380274	0.042225	0.0368878
femme	0.208772	0.162086	0.195099	0.149361	0.025823	0.0267174	0.0263824	0.0198167	0.0107158	0.0101863	0.00820744	0.00645415	0.00743767	0.00684597	0.00443911	0.00498854	0.00136414	0.0104882	0.00376018	0.00442107	0.00306585	0.00425634	0.00369559	0.00441956	0.00208871	0.00444328	0.00410386	0.00530665	0.00426534	0.00340154	0.00245041	0.00582637	0.00771133	0.0111165	0.00935348	0.0135958	0.0100341	0.00361561	0.00274501	0.000848023	0.000290149
m'	0.0897679	0.0507758	0.0396628	0.0162243	0.0193356	0.017554	0.0262647	0.0297176	0.0282662	0.0248269	0.0175927	0.0267294	0.0240464	0.0193521	0.0429835	0.0515432	0.0396276	0.022369	0.0324224	0.0491996	0.0432092	0.0421126	0.043537	0.0280432	0.0183682	0.0111911	0.0131584	0.0109888	0.0109119	0.0103693	0.0144536	0.00675577	0.00704414	0.00527395	0.00965175	0.0106371	0.00938688	0.00827065	0.0129799	0.00916972	0.00622534
a	0.020131	0.0189891	0.0201072	0.0238028	0.0239347	0.0227671	0.0115729	0.0140596	0.0121327	0.015367	0.0123352	0.00936863	0.0213267	0.0449059	0.0624997	0.10923	0.0507078	0.0620735	0.0468303	0.0424263	0.0365395	0.0412574	0.0322552	0.0287744	0.0272521	0.0200272	0.0222307	0.0119811	0.0152178	0.0100986	0.0112312	0.0154019	0.0107437	0.0115399	0.00587908	0.00655798	0.00591605	0.00805989	0.00848278	0.0114862	0.0144995
dénigré	0.0316103	0.0234869	0.0145105	0.00807808	0.0152259	0.00809863	0.0119982	0.0118987	0.0123947	0.00840183	0.00949616	0.00529128	0.00867708	0.0118511	0.0188161	0.0348492	0.0285835	0.0476837	0.0537596	0.0436493	0.0732657	0.0350013	0.0701944	0.03954	0.0560437	0.0307131	0.0398623	0.0270735	0.0236159	0.0195406	0.0451829	0.0237253	0.0200609	0.0136504	0.00768652	0.00798162	0.0074422	0.00763985	0.0105199	0.00888386	0.0240154
parce	0.0178334	0.0141147	0.0097953	0.00699965	0.00761914	0.00586891	0.00574531	0.00585286	0.00564842	0.00523303	0.00353511	0.00217427	0.00388474	0.00534287	0.00669363	0.0116318	0.0163629	0.0240429	0.0465259	0.032603	0.0710621	0.0625557	0.067866	0.0481277	0.0569517	0.0560928	0.0492854	0.0325502	0.0367324	0.0266226	0.0440173	0.023146	0.0214736	0.0180982	0.0159444	0.0133156	0.0172061	0.0154418	0.0151197	0.017997	0.0528858
que	0.0135022	0.00951633	0.00782609	0.00513384	0.00752092	0.00629437	0.00698483	0.00733849	0.00949013	0.0110868	0.0125759	0.0146956	0.026351	0.0238247	0.0473922	0.0300446	0.0676571	0.0859703	0.0649568	0.0463262	0.0701742	0.0411547	0.0583814	0.0400367	0.0516876	0.025633	0.0283754	0.0198851	0.030817	0.0180089	0.0306837	0.0150486	0.0113752	0.00754208	0.00566037	0.00448867	0.00498012	0.00532695	0.00441585	0.00698517	0.0148508
je	0.0226772	0.0221731	0.0157077	0.0101413	0.0110336	0.00687338	0.00706498	0.00726074	0.00904275	0.00889282	0.0132216	0.0167595	0.0233595	0.0213032	0.0309083	0.0262306	0.03973	0.0627007	0.0618312	0.0401582	0.0569505	0.0416503	0.0679716	0.0443758	0.0597733	0.0350821	0.0293344	0.0173713	0.0198689	0.0173095	0.0235951	0.0119076	0.0102895	0.00704457	0.00859513	0.006066	0.00849665	0.0126256	0.010265	0.0165411	0.0378157
lui	0.0662347	0.0400847	0.0313114	0.0135144	0.0193222	0.00728507	0.00678798	0.00635269	0.005939	0.00519006	0.00938996	0.0263623	0.0323802	0.0253231	0.0477159	0.0335223	0.0451469	0.0558666	0.055998	0.039646	0.0337827	0.0281602	0.0313976	0.0191498	0.0347961	0.0262189	0.023483	0.0130498	0.0219571	0.0261376	0.012949	0.0202245	0.0137469	0.0140876	0.00815063	0.00994851	0.00999942	0.0119272	0.0115276	0.015973	0.0399591
dois	0.0443943	0.0238119	0.023177	0.0128519	0.0213332	0.00840998	0.00874408	0.00806952	0.0102433	0.0114806	0.019609	0.0279298	0.0419258	0.0456214	0.0592013	0.0481843	0.0523326	0.0711936	0.0607487	0.0470008	0.0415998	0.0359868	0.0382039	0.0224403	0.0315509	0.0276796	0.0160208	0.0155599	0.0127282	0.0209235	0.0119657	0.00960491	0.00774607	0.0078507	0.00344024	0.00322089	0.0032077	0.00596071	0.00370139	0.0087842	0.0255609
