 	i	k	ó	b	h	á	i	m	i	t	έ	m	b	ó	s	i	s	ó	l	ω	n	g	ώ	</S>
la	0.13979	0.0436457	0.024534	0.0264699	0.0298679	0.0503193	0.040188	0.0279226	0.0317967	0.0363119	0.0348288	0.0319105	0.0488876	0.0491625	0.0402408	0.0473751	0.0376296	0.0411747	0.0373434	0.0306038	0.0301681	0.032025	0.0354913	0.0523131
vipère	0.0429805	0.100625	0.144371	0.189554	0.157632	0.0951557	0.0792985	0.081524	0.0542354	0.0220941	0.00702882	0.00241773	0.00242769	0.00174905	0.00228546	0.00215057	0.00356772	0.00422947	0.00283437	0.00158219	0.00071195	0.000822253	0.000334792	0.000386813
a	0.0727426	0.102523	0.0671734	0.0841474	0.0802073	0.0850898	0.0770444	0.0573831	0.0605543	0.0471483	0.0367569	0.0640815	0.0205904	0.019716	0.0180315	0.0132625	0.0105781	0.012337	0.0303332	0.0156811	0.00883697	0.00601606	0.00553942	0.00422577
mordu	0.0600513	0.114101	0.114551	0.0950046	0.0554349	0.0373794	0.0469709	0.0583313	0.0559187	0.0517412	0.0383659	0.0175602	0.012636	0.00913262	0.0119703	0.00743682	0.00696747	0.0120367	0.0165145	0.0155411	0.0239722	0.0383523	0.0403473	0.0596821
un	0.0421851	0.0403517	0.0388703	0.0362083	0.030175	0.0299545	0.0256553	0.02764	0.0349823	0.0332077	0.0244184	0.0321152	0.0528402	0.0309435	0.0308886	0.0196581	0.0200381	0.0276802	0.0354141	0.0340883	0.0654142	0.0854643	0.0687009	0.133106
cabri	0.0215956	0.0221689	0.0200157	0.0204468	0.0183523	0.0178206	0.0143443	0.0207344	0.0314923	0.0236979	0.0217734	0.0226291	0.0364914	0.0204239	0.0476369	0.0677797	0.0706645	0.0663215	0.0527418	0.0570428	0.0641426	0.067327	0.0634312	0.130926
dans	0.0171204	0.0158623	0.0153838	0.0159449	0.0160351	0.0136984	0.0121354	0.0155766	0.0191787	0.0111278	0.00733409	0.013564	0.0233864	0.0210673	0.0494082	0.0568276	0.0688115	0.0744945	0.0733581	0.0813809	0.0895368	0.0905946	0.082369	0.115803
la	0.0373865	0.045433	0.0562807	0.0504557	0.0357723	0.0161933	0.0130247	0.0103169	0.00957698	0.00874763	0.00822572	0.00739096	0.0227578	0.0198484	0.0308535	0.0279437	0.032433	0.0414377	0.0439554	0.0701347	0.081414	0.0979004	0.104953	0.127564
plaine	0.0215312	0.0184042	0.0164643	0.0115392	0.00454289	0.00288578	0.00172116	0.00170532	0.00138859	0.00139258	0.00119939	0.00133628	0.00468095	0.00683681	0.0198922	0.0445608	0.0640816	0.0910838	0.0699965	0.0978288	0.0944608	0.11347	0.128471	0.180525
</S>	0.03832	0.0288609	0.0264109	0.0157949	0.00824318	0.00802462	0.00518207	0.00666064	0.0039513	0.00338597	0.00268677	0.00347164	0.00807638	0.0131321	0.0337128	0.0610182	0.0908648	0.0800187	0.0562833	0.0746472	0.0786539	0.0869541	0.122576	0.14307
