 	e	k	y	ε	n	y	i	i	y	é	é	d	i	b	í	s	í	f	u	l	ú	l	a	k	o	l	i	o	p	έ	ε	k	a	á	</S>
ce	0.0162676	0.018995	0.0234945	0.0316157	0.0282521	0.0353634	0.0404754	0.0551909	0.050014	0.08064	0.0379208	0.112567	0.0440591	0.0340471	0.0155189	0.0140791	0.0144218	0.0089606	0.00880026	0.00840779	0.00669392	0.0062621	0.00572157	0.0076255	0.00573325	0.00644186	0.0144417	0.0155464	0.0264458	0.0306596	0.0406803	0.0416111	0.0468967	0.0360754	0.0300732
bébé	0.0136306	0.0198413	0.024074	0.00835529	0.00821171	0.00526095	0.00472774	0.0061357	0.00400991	0.00702459	0.00320642	0.0163336	0.023368	0.0128814	0.00644505	0.00363377	0.00510876	0.00834145	0.00816218	0.013162	0.0174981	0.0388613	0.0395159	0.044533	0.0769924	0.0545803	0.187125	0.12044	0.0745525	0.0712637	0.0388037	0.0125726	0.0136203	0.00327497	0.004452
pleurnichard	0.0819809	0.0776808	0.0537373	0.0316059	0.0291867	0.0258959	0.0460961	0.0251404	0.0109924	0.0151474	0.0107419	0.0289645	0.0425105	0.028988	0.0121151	0.0087199	0.0120055	0.0175954	0.0216907	0.0224314	0.010886	0.0178849	0.0176447	0.0706759	0.0270626	0.0305913	0.0387793	0.0190787	0.038088	0.0398298	0.0353076	0.0218087	0.0158663	0.00534697	0.00792226
nous	0.0500878	0.0513881	0.0631588	0.0728492	0.0775821	0.0609094	0.0688019	0.0717313	0.0487033	0.0399912	0.0319707	0.0210576	0.0116906	0.0162117	0.0155062	0.0150402	0.0100123	0.0144456	0.0169225	0.0157355	0.0331302	0.0309967	0.0222427	0.0168407	0.0131776	0.010928	0.0141796	0.00837358	0.0101151	0.0112893	0.00837338	0.00945963	0.00959127	0.007374	0.020132
empêche	0.0355364	0.035021	0.0300224	0.0310793	0.0552131	0.0504546	0.0510298	0.0483961	0.0357754	0.027845	0.0267704	0.0277369	0.0269272	0.0201178	0.018064	0.0108632	0.00810964	0.00782057	0.0157192	0.0238268	0.0466787	0.0999132	0.0505928	0.0481963	0.0319863	0.0173928	0.0228945	0.0162416	0.0125758	0.0134194	0.00802204	0.00777294	0.00951528	0.0102922	0.0181772
de	0.0188604	0.0116513	0.0126548	0.0122424	0.0184221	0.0230905	0.0264804	0.0241355	0.0208795	0.0174601	0.015172	0.0127186	0.0163149	0.0209242	0.031312	0.02349	0.0300637	0.0309277	0.0416045	0.0587921	0.0502804	0.102559	0.0659976	0.0583044	0.0557785	0.0360143	0.0254774	0.0199488	0.0233532	0.0176141	0.0128793	0.0129354	0.0138375	0.014357	0.0234664
dormir	0.0190785	0.0114414	0.0133951	0.0126274	0.0161559	0.020139	0.024584	0.0298489	0.0259349	0.0222324	0.0259518	0.0262503	0.0300916	0.0241707	0.0364852	0.0151415	0.0208688	0.0229346	0.0172205	0.0276189	0.0355311	0.0734644	0.0509128	0.0670341	0.0617366	0.0534246	0.0314846	0.0259696	0.0344822	0.0240911	0.0223646	0.016167	0.0189212	0.0183276	0.0239168
la	0.0166199	0.0125317	0.0148811	0.0113487	0.0138226	0.0158817	0.0181937	0.0271751	0.028279	0.0258339	0.0291136	0.0272379	0.0266678	0.0261117	0.0292564	0.0237261	0.0198318	0.0207412	0.0189114	0.0204962	0.0304027	0.0392944	0.0283189	0.0388908	0.0468614	0.0431641	0.0414553	0.0426056	0.0389195	0.0368869	0.0250798	0.0266672	0.0310915	0.0392244	0.0644763
nuit	0.0239899	0.0231681	0.0289026	0.0134431	0.00721912	0.00262423	0.0031038	0.00425784	0.00306575	0.00816301	0.00723911	0.0115461	0.0179782	0.0347587	0.0428658	0.0550879	0.0413263	0.0527108	0.0435684	0.062106	0.0668501	0.0589678	0.0478582	0.0331714	0.0303385	0.0217585	0.0134769	0.00902028	0.00941405	0.0171061	0.0195264	0.0145637	0.0287981	0.0363711	0.105654
</S>	0.0498929	0.0283189	0.0255734	0.0205458	0.0231491	0.0232526	0.0274154	0.0309936	0.0246229	0.0186664	0.0187183	0.0110433	0.0100545	0.00925597	0.017235	0.015464	0.0217323	0.033421	0.0314577	0.0457513	0.0378916	0.0578159	0.054331	0.045794	0.0482728	0.0534327	0.0201958	0.0282463	0.014459	0.0132642	0.009518	0.0125753	0.0160201	0.0162974	0.0853215
