 	n	ω	k	á	a	ó	b	v	a	f	u	l	u	m	b	v	á	a	b	í	s	í	</S>
il	0.0209738	0.0251365	0.025185	0.0281852	0.0416468	0.0288089	0.0938256	0.0669001	0.107715	0.0754285	0.0716687	0.0566916	0.0476706	0.0300141	0.0314292	0.0300287	0.0318216	0.0305317	0.0355209	0.0338938	0.0301489	0.032317	0.0244583
faut	0.10534	0.0500357	0.0484451	0.0600622	0.070393	0.0579934	0.0936849	0.12617	0.115139	0.0859814	0.0621677	0.0232717	0.00699009	0.010666	0.00995142	0.00782084	0.0127345	0.0130306	0.00952245	0.00458109	0.00563	0.00557034	0.0148195
que	0.0561658	0.0857701	0.0499031	0.0321792	0.020023	0.0224785	0.0256069	0.0412016	0.047992	0.0541412	0.0553722	0.0519468	0.0561174	0.0682655	0.0729858	0.0749154	0.0555347	0.0408341	0.0269877	0.0182004	0.0173584	0.0155775	0.010443
tu	0.0362138	0.036427	0.0534689	0.0824827	0.0682532	0.0642736	0.0526828	0.0436835	0.0338439	0.0276139	0.0223102	0.019415	0.0149795	0.0172102	0.0151929	0.0240845	0.0492007	0.0678496	0.0674049	0.0291394	0.0501434	0.0396032	0.0845232
passes	0.0274192	0.0344672	0.0463388	0.0525099	0.0599962	0.0631674	0.0494868	0.0528355	0.0582254	0.0491471	0.0466474	0.0444302	0.0490276	0.0365654	0.0425623	0.0326523	0.0331515	0.0362712	0.0321457	0.0243945	0.0273226	0.0271247	0.0741109
la	0.0417161	0.0337294	0.0379755	0.0359188	0.0335048	0.0314219	0.0343398	0.0257057	0.0236656	0.0153164	0.0146481	0.0177263	0.0184895	0.0242811	0.0408155	0.0522516	0.055958	0.0581715	0.0589507	0.0623539	0.0577935	0.0647935	0.160473
nuit	0.0727786	0.0547443	0.0472668	0.0342028	0.0312333	0.0333973	0.0432968	0.030418	0.0304341	0.0225532	0.0193081	0.0178895	0.0161602	0.0224787	0.0343903	0.0370111	0.0388454	0.0399583	0.049225	0.0467144	0.0525469	0.0632688	0.161878
chez	0.0367579	0.0241686	0.0239375	0.0233812	0.0242629	0.025164	0.0370754	0.039462	0.0404776	0.0344292	0.026985	0.0229263	0.0247991	0.0230599	0.0241154	0.0498203	0.0694485	0.0694103	0.0684388	0.0453822	0.0687979	0.0652071	0.132493
nous	0.0612241	0.048747	0.0495266	0.0450626	0.0494234	0.0446499	0.0432991	0.0347499	0.0224545	0.0114836	0.00732017	0.00666126	0.00665182	0.00898918	0.0111834	0.0259043	0.0379109	0.0376525	0.0642609	0.0540261	0.0822863	0.0973325	0.1492
</S>	0.0986311	0.0541551	0.0443984	0.0400644	0.0315302	0.0193628	0.0121227	0.0103938	0.00746666	0.00543542	0.00399815	0.00461981	0.00540402	0.0079014	0.0133815	0.0287918	0.042753	0.0354195	0.0746519	0.0672476	0.113324	0.129531	0.149416
