 	l	e	k	u	m	u	í	m	i	s	á	a	o	b	o	m	á	i	b	í	a	d	í	</S>
la	0.0320029	0.0277414	0.0195719	0.0208593	0.0226208	0.0267935	0.0332394	0.0751218	0.0789171	0.0656938	0.0826694	0.0668151	0.0426523	0.0315069	0.0297014	0.0275263	0.0176165	0.0378529	0.0460806	0.053573	0.0426639	0.0374594	0.0461311	0.0351896
plante	0.0631717	0.0840621	0.056388	0.0484593	0.0266049	0.0255839	0.0414218	0.042142	0.0739732	0.0948714	0.118892	0.0704288	0.0544587	0.0501786	0.0242724	0.021121	0.0131415	0.0237215	0.0175984	0.0115296	0.0159714	0.0140999	0.00425754	0.00365015
parasite	0.0266417	0.0296849	0.0231045	0.0153014	0.00855493	0.00833357	0.0284757	0.0284338	0.0338296	0.062118	0.0467452	0.0738531	0.122941	0.0940451	0.0523552	0.0809906	0.0845613	0.0565614	0.0445468	0.0298504	0.0160986	0.0107784	0.0106405	0.0115543
lekumu	0.03684	0.0504469	0.0503478	0.0737657	0.0738813	0.0531303	0.0376749	0.0593055	0.0546329	0.037034	0.0322226	0.038293	0.0644582	0.0513067	0.0325862	0.0460593	0.0480336	0.0346559	0.035136	0.021518	0.0141659	0.00994703	0.00931371	0.0352447
a	0.0272061	0.0227193	0.0297314	0.0351255	0.0365578	0.0343627	0.0352019	0.0411045	0.0650049	0.0589962	0.0640161	0.0508675	0.0582003	0.0592633	0.0469382	0.0486568	0.0689615	0.040576	0.0444959	0.0296182	0.0167545	0.0175174	0.0167346	0.0513896
déjà	0.0167931	0.0181035	0.0197488	0.0193006	0.0194679	0.0202323	0.017919	0.0205573	0.024686	0.0199847	0.02665	0.0356433	0.0684806	0.107692	0.105117	0.0737595	0.090467	0.0428765	0.0507134	0.0462385	0.0373366	0.0487094	0.0264404	0.0430829
détruit	0.0277542	0.0190931	0.0220294	0.0229764	0.0212854	0.0231756	0.0188569	0.0259084	0.0283828	0.0217043	0.0164753	0.0195394	0.0264642	0.0461033	0.0493464	0.0875868	0.0998724	0.107316	0.0767352	0.0639092	0.0430636	0.0450997	0.0277855	0.0595359
ce	0.0206419	0.0232833	0.0251146	0.0239082	0.0361415	0.0404658	0.0445052	0.0560315	0.0556216	0.0367334	0.0337896	0.0335145	0.0487861	0.0699144	0.0660794	0.0584772	0.0513025	0.0285994	0.0348866	0.0300181	0.0279205	0.0431187	0.038648	0.0724978
palmier	0.0373531	0.037153	0.0369529	0.0313608	0.022808	0.0233579	0.0181317	0.0254943	0.0221803	0.0146052	0.0129034	0.0102711	0.0157211	0.019438	0.0153657	0.0274812	0.0321125	0.0370046	0.059073	0.0665488	0.0718466	0.115149	0.10956	0.138128
à	0.0862362	0.0631258	0.0554868	0.0485995	0.0349332	0.0200391	0.0176763	0.0201815	0.019585	0.0155446	0.0133633	0.010335	0.0174475	0.0182303	0.0159644	0.0235086	0.0275324	0.0161628	0.0271305	0.0375802	0.0403681	0.0963992	0.102728	0.171842
huile	0.133677	0.0896467	0.0663065	0.038029	0.0177592	0.0115396	0.0076591	0.0088667	0.00698501	0.00625265	0.00666043	0.00882654	0.0140121	0.0148731	0.007602	0.013622	0.0156824	0.0125933	0.0219234	0.0488266	0.0466836	0.0921819	0.133069	0.176722
</S>	0.0672837	0.0508882	0.0524972	0.0521037	0.050318	0.0309352	0.0158803	0.020311	0.0130329	0.00847232	0.0107311	0.0113371	0.0136009	0.0162274	0.0297033	0.0306386	0.0329642	0.0172171	0.0307208	0.0596768	0.0643615	0.110559	0.0822398	0.1283
