 	b	a	r	e	a	m	i	k	ó	a	t	u	g	h	u	g	h	u	m	b	v	á	a	m	w	á	n	a	</S>
un	0.167487	0.0361297	0.0156581	0.0107004	0.011581	0.0114533	0.0127961	0.01569	0.01819	0.0208017	0.0376623	0.031258	0.0403415	0.0426912	0.0497564	0.0326284	0.0318201	0.0429079	0.0455118	0.0377351	0.0295356	0.0391458	0.0353499	0.0295455	0.0305328	0.0307848	0.0319872	0.0357465	0.0245721
grand	0.0776142	0.0652958	0.0936446	0.171876	0.0788893	0.0843577	0.0408534	0.0297309	0.0300473	0.0132414	0.00820672	0.00536808	0.00381817	0.00916707	0.00994325	0.0190322	0.0321444	0.0327029	0.0355413	0.0608215	0.0249574	0.0158961	0.00818187	0.0146332	0.0110096	0.003332	0.0112994	0.00385971	0.00453454
nombre	0.0760644	0.0609573	0.0670138	0.0531626	0.0374929	0.0379738	0.0441067	0.0538067	0.0251476	0.043863	0.0265053	0.0326012	0.0483121	0.0356471	0.0393234	0.0256112	0.0219278	0.0215864	0.0219127	0.0235376	0.0140078	0.018696	0.0205631	0.0190512	0.024497	0.0196872	0.0255201	0.0309323	0.0304918
de	0.058853	0.119773	0.106566	0.15391	0.0865598	0.050893	0.0342761	0.0549516	0.0548192	0.0454641	0.024224	0.0205264	0.0155308	0.011725	0.00889262	0.00874758	0.00464653	0.00331276	0.00418012	0.00579337	0.00705309	0.00967139	0.0103193	0.0130482	0.0292171	0.017413	0.014092	0.0104903	0.0150508
gens	0.0339081	0.0446923	0.0690461	0.0803141	0.0670506	0.0589979	0.0493301	0.0504974	0.0303606	0.028712	0.0201572	0.0159116	0.0193793	0.029106	0.0305053	0.0279882	0.027158	0.0333391	0.0321045	0.024605	0.0241716	0.0195332	0.0124731	0.0102187	0.0111684	0.0181887	0.0195155	0.0212316	0.0903357
est	0.0498899	0.0402413	0.0445344	0.0495742	0.0425376	0.0465652	0.0485467	0.0471862	0.0337392	0.030264	0.0250568	0.0265316	0.0263723	0.0265738	0.0325489	0.0205536	0.0241394	0.0224874	0.0237874	0.0190444	0.0236949	0.0286729	0.0282846	0.0249392	0.0280733	0.0316184	0.0338992	0.0302542	0.0903888
réuni	0.0503246	0.0378207	0.0392138	0.0441085	0.0474257	0.0466099	0.0429259	0.035542	0.0265165	0.0247693	0.019833	0.0186685	0.0213944	0.0202049	0.0328895	0.0344142	0.0488511	0.0462194	0.0317833	0.0358548	0.0389416	0.0136156	0.0140479	0.0210781	0.0109283	0.0137963	0.0364814	0.0197189	0.126022
chez	0.0188979	0.0194995	0.0193877	0.0210913	0.0212716	0.0417264	0.0632139	0.0534609	0.0466104	0.0471266	0.0515045	0.0457285	0.038545	0.0354995	0.0396114	0.0342675	0.0423048	0.0256387	0.0398571	0.0343942	0.0563788	0.0178371	0.0216206	0.0240093	0.0115905	0.0164407	0.0234999	0.0195662	0.0694194
le	0.0223875	0.0210495	0.0218706	0.0237138	0.0229687	0.0275045	0.0264309	0.0170289	0.0143717	0.0133668	0.0117219	0.0110546	0.0097169	0.0104147	0.0172468	0.021475	0.0187537	0.0205687	0.0327422	0.0480388	0.0567171	0.0548701	0.054639	0.0631977	0.0444763	0.0513607	0.0732711	0.0698162	0.119225
notable	0.029709	0.0251173	0.0289493	0.0423213	0.0346672	0.0179866	0.0186302	0.0174594	0.011192	0.0124334	0.0137413	0.0113691	0.0123912	0.0129091	0.0210686	0.0227458	0.0322898	0.0347693	0.0302278	0.0500484	0.0387184	0.0174445	0.0193853	0.0351821	0.0195454	0.0265847	0.114439	0.0514431	0.197232
</S>	0.0395834	0.0314222	0.032849	0.0340624	0.0331948	0.0250941	0.0173335	0.0152286	0.0128252	0.0174407	0.00789339	0.00737778	0.00904206	0.00641688	0.0212629	0.0260479	0.025119	0.0260588	0.0204201	0.0355634	0.0537542	0.0258178	0.0306576	0.0362649	0.0329321	0.040545	0.0647512	0.0566467	0.214394
