 	k	á	a	l	é	e	d	z	á	l	a	a	y	έ	l	i	m	ó	y	έ	έ	s	ε	r	έ	b	á	a	l	a	b	í	n	í	</S>
il	0.0434795	0.134785	0.127474	0.125677	0.0538849	0.0435691	0.0443216	0.033672	0.0619533	0.0283329	0.031096	0.023632	0.0213339	0.0296143	0.026956	0.00983807	0.00756195	0.00545408	0.00454725	0.00509529	0.00544813	0.00680572	0.0069682	0.00780872	0.0089137	0.0101443	0.00738635	0.0072225	0.0103081	0.00933705	0.00920427	0.0077787	0.0132127	0.0143612	0.0128227
faut	0.0485507	0.043632	0.0440581	0.041186	0.0520804	0.0760768	0.0484698	0.0881592	0.0889374	0.084608	0.0668113	0.0829975	0.0537564	0.0245914	0.0155905	0.00693749	0.0064111	0.00751312	0.00934686	0.012883	0.00987	0.00693051	0.00562372	0.00345318	0.0028057	0.00365863	0.00380958	0.00306529	0.00749042	0.0106154	0.0101966	0.00498542	0.00493572	0.0071765	0.0127864
faire	0.0459057	0.0145315	0.0115062	0.0198283	0.0287875	0.0432345	0.0414499	0.043655	0.0601735	0.0626177	0.0495023	0.048789	0.049506	0.0660316	0.0454053	0.0248985	0.0296221	0.022443	0.0206947	0.0261769	0.0193648	0.0147745	0.0214933	0.0186951	0.0175283	0.0217297	0.0204652	0.0132536	0.0170393	0.0160565	0.0167865	0.00888578	0.0125387	0.0135033	0.0131264
attention	0.0457408	0.0255113	0.0264113	0.0237527	0.0325599	0.0343608	0.0190986	0.0214339	0.0205767	0.0259673	0.0269403	0.0225751	0.0182992	0.0255289	0.0296376	0.033831	0.0474398	0.0562441	0.0778683	0.0801672	0.0521856	0.0334124	0.0267373	0.0223956	0.0153696	0.0106441	0.0100052	0.0138891	0.0157331	0.0140616	0.0168526	0.0160798	0.0166054	0.0181917	0.0238922
à	0.0233383	0.0196327	0.0189002	0.018605	0.0184965	0.0178783	0.0183149	0.0198294	0.0177133	0.0184355	0.0197635	0.0187696	0.0184672	0.0185869	0.0246164	0.023557	0.0354911	0.0350579	0.0408667	0.0420698	0.0444589	0.0387582	0.0289983	0.0234627	0.0231527	0.0139739	0.0189779	0.0223678	0.0318495	0.0266082	0.0427576	0.0406148	0.0497639	0.0478409	0.0780243
ce	0.0181423	0.0125069	0.0112809	0.0129891	0.0173017	0.0218081	0.0259813	0.0264984	0.0232105	0.028056	0.0216365	0.0226226	0.0194272	0.0167242	0.014194	0.0125834	0.0168766	0.0221767	0.0305245	0.0298394	0.0345293	0.038487	0.0346597	0.0383283	0.0326078	0.031342	0.0288391	0.0274336	0.0330208	0.0356291	0.0427287	0.0500382	0.0498383	0.040992	0.0771456
que	0.0199275	0.0107131	0.0098441	0.0121643	0.0162998	0.0245154	0.0301906	0.0289955	0.0272629	0.0250446	0.0167759	0.015036	0.0125292	0.0137306	0.0121875	0.012636	0.0116087	0.012245	0.0177475	0.0181109	0.0360976	0.0415231	0.0410096	0.041113	0.0374602	0.0280237	0.0402183	0.0384694	0.0395206	0.0448656	0.0474994	0.0508841	0.0524673	0.0491501	0.0641325
l'	0.0181144	0.0123232	0.0115256	0.0122343	0.0143405	0.019543	0.0225112	0.0235282	0.026113	0.028373	0.0358452	0.0344791	0.0319603	0.0333333	0.0384846	0.0384756	0.038656	0.0334469	0.0304617	0.0322064	0.0296989	0.0314873	0.023321	0.017784	0.016414	0.0114332	0.0136789	0.0119751	0.0179788	0.0249422	0.0380878	0.0494747	0.0483398	0.0556911	0.0737379
on	0.0961344	0.0567184	0.0514377	0.0651459	0.0783879	0.0815542	0.0761755	0.0283411	0.0169515	0.00889705	0.0114253	0.0123428	0.00677474	0.00624625	0.00464232	0.00328163	0.00348288	0.00321415	0.00498609	0.00809418	0.00925033	0.0134407	0.0136882	0.0145967	0.0111522	0.00723219	0.015409	0.0123797	0.0218185	0.0172111	0.0298404	0.033012	0.044251	0.0298439	0.10264
vous	0.0407473	0.0241731	0.0211403	0.0165914	0.0124578	0.013087	0.0140634	0.00921028	0.00609385	0.00759363	0.0080008	0.00590205	0.00472488	0.00389647	0.00416869	0.00471933	0.00532886	0.00854096	0.0169357	0.021392	0.0264254	0.0292442	0.0340011	0.0348557	0.0310699	0.0257202	0.0327561	0.0348343	0.0623836	0.0558104	0.0693097	0.0745591	0.0765241	0.0749568	0.0887817
dit	0.161664	0.0479787	0.0280835	0.0146931	0.0149836	0.0198251	0.0150888	0.0134525	0.0073868	0.00662422	0.00460658	0.00422205	0.00313498	0.00333586	0.00350533	0.00494953	0.00785974	0.0123001	0.0382308	0.0470201	0.0621613	0.0420379	0.0297017	0.0254725	0.0211793	0.019815	0.0211963	0.0196954	0.0313492	0.0369229	0.0308168	0.0419792	0.0363218	0.0448634	0.0775419
</S>	0.0761372	0.0293538	0.0276799	0.0293829	0.0366014	0.0216324	0.0390958	0.0316524	0.0252376	0.0238737	0.0223256	0.0190487	0.0108583	0.0112711	0.00971694	0.011737	0.0122437	0.0122232	0.0171958	0.0181614	0.0301395	0.0311012	0.0277966	0.0225053	0.0164462	0.0141535	0.0146272	0.0193637	0.0297858	0.0305245	0.0374035	0.0466512	0.0571479	0.0451235	0.0918014
