 	o	n	d	i	e	m	á	p	f	á	á	n	g	e	ó	d	í	l	a	p	y	é	b	h	i	</S>
au	0.00816172	0.0087963	0.00855586	0.0120154	0.00564281	0.00763587	0.010881	0.0226878	0.0332217	0.0374504	0.0604938	0.058678	0.0834622	0.0803359	0.0757463	0.0861988	0.0565616	0.0437089	0.0425651	0.0381834	0.0311871	0.0343469	0.0407351	0.0365937	0.0406387	0.0355157
terme	0.0378118	0.0397502	0.0385147	0.193605	0.0624163	0.05371	0.0311398	0.0348576	0.0278814	0.0305882	0.0285235	0.0177852	0.0466651	0.0563819	0.0498004	0.0418778	0.030075	0.0258275	0.0239738	0.0406133	0.0252511	0.0213158	0.0151335	0.0125434	0.00939811	0.00455988
de	0.0648543	0.0425375	0.0640053	0.0355218	0.0489547	0.0427686	0.0392293	0.0612365	0.0733388	0.0818271	0.0659705	0.0419272	0.0314984	0.0151825	0.0220776	0.0221392	0.0336368	0.0266117	0.0381765	0.038979	0.0326067	0.0242267	0.0119572	0.0103918	0.0166964	0.0136479
la	0.0360829	0.0456243	0.0539089	0.0463603	0.0569006	0.0670294	0.0605775	0.0432492	0.0338348	0.0273855	0.0253528	0.0170964	0.0213384	0.0275685	0.0323558	0.0285953	0.0359872	0.033564	0.0463967	0.0364926	0.0378868	0.0328879	0.0313844	0.0231308	0.0340139	0.0649951
saison	0.0698005	0.0424604	0.0323719	0.0522233	0.041813	0.0242389	0.0103176	0.00956718	0.00692377	0.0091682	0.0104599	0.00799862	0.0188719	0.00922587	0.0168198	0.0325278	0.0384342	0.0339642	0.0827926	0.0631678	0.0667809	0.068986	0.0898127	0.0537567	0.0534411	0.0540753
des	0.0923466	0.100726	0.119652	0.0722476	0.0542166	0.0555158	0.0513487	0.0489843	0.0414347	0.0538643	0.0520416	0.0376038	0.0206832	0.0140297	0.0050251	0.00442219	0.00590687	0.00629994	0.00714422	0.00738459	0.0100624	0.0113043	0.00860127	0.0130754	0.0255118	0.0805672
pluies	0.138817	0.0751042	0.100579	0.0544306	0.0517618	0.0472585	0.0271886	0.0241007	0.0280491	0.0315082	0.0368295	0.02386	0.024896	0.00852574	0.0126697	0.0140353	0.0125597	0.0172105	0.0341292	0.0299981	0.0295553	0.026785	0.0243553	0.0297217	0.039445	0.0566265
il	0.299827	0.242558	0.158492	0.0566859	0.0305867	0.0201592	0.00915992	0.00691178	0.00538352	0.00577461	0.0112695	0.00415189	0.00280434	0.00386333	0.00194705	0.00276832	0.0018643	0.00274038	0.00491204	0.00586061	0.0104137	0.0103332	0.0232325	0.00762689	0.027233	0.04344
fait	0.351136	0.179311	0.0789418	0.0280606	0.0186772	0.0121875	0.00855336	0.00797389	0.00666049	0.0067853	0.0131821	0.00295845	0.00241226	0.00274534	0.00423635	0.00563244	0.00515453	0.00804976	0.0112721	0.00957252	0.0144711	0.0100526	0.0267763	0.0114847	0.0512246	0.122487
froid	0.147478	0.0708411	0.0358613	0.0162529	0.0112562	0.00752769	0.00393743	0.00312149	0.00203244	0.00232392	0.00395419	0.00340925	0.00246184	0.0031066	0.00378259	0.00720804	0.00856547	0.0173155	0.0259966	0.0424439	0.0651289	0.0441992	0.0872055	0.096608	0.122858	0.165123
</S>	0.108803	0.0751146	0.055948	0.0230001	0.0159813	0.0151563	0.00947466	0.00679526	0.00527525	0.00354452	0.00632274	0.00439116	0.00326736	0.0021454	0.00253267	0.00317921	0.00441039	0.0107667	0.0233825	0.0390081	0.0635561	0.046286	0.0888151	0.0848841	0.115796	0.182164
