 	b	á	a	á	y	ε	i	o	d	z	o	o	l	á	i	k	á	n	d	á	m	ó	w	é	e	</S>
ils	0.156969	0.140466	0.163735	0.142375	0.023382	0.0131615	0.0106952	0.0141466	0.0316991	0.0251358	0.0255858	0.028959	0.0280085	0.027867	0.0259755	0.0195172	0.0160449	0.0160874	0.01141	0.0134414	0.0127167	0.0149669	0.0091216	0.00573364	0.00855694	0.0142418
sont	0.0915258	0.0432772	0.0555748	0.0588143	0.0591845	0.1551	0.155454	0.101471	0.0577108	0.0371998	0.0364985	0.0319149	0.00813081	0.0104634	0.00497192	0.00897948	0.00723122	0.00615248	0.00763985	0.0117027	0.00888857	0.0116716	0.0105252	0.00382952	0.0112042	0.00488398
venus	0.0436336	0.0367097	0.0383954	0.0460787	0.0503699	0.0547273	0.0448938	0.0454791	0.0522319	0.059489	0.0518952	0.0507549	0.0559002	0.0452973	0.043809	0.0361792	0.0594849	0.0386165	0.0322337	0.0212051	0.0197174	0.0194862	0.0105399	0.0136029	0.0141228	0.0151466
pour	0.0288874	0.0199399	0.0182558	0.0136485	0.0209449	0.0267729	0.0272558	0.0327955	0.0397292	0.0487283	0.0339607	0.0416267	0.0505843	0.0636922	0.069015	0.0605332	0.0614377	0.0766222	0.0884415	0.0293372	0.0245488	0.0255787	0.0221871	0.0186081	0.0245131	0.0323553
disputer	0.0183529	0.0137307	0.0128831	0.0123721	0.0243249	0.0251478	0.0324308	0.0315701	0.0303397	0.0305809	0.0310073	0.0295891	0.0382504	0.0286314	0.0667766	0.0494588	0.0524792	0.0570965	0.0421316	0.0370143	0.0456757	0.0472648	0.0378417	0.0390673	0.0628014	0.103181
les	0.0240612	0.0159949	0.0126028	0.0156764	0.0364192	0.0312573	0.0335555	0.0310985	0.0289756	0.0288098	0.019786	0.0279441	0.0386764	0.0296738	0.0434908	0.0294278	0.0299767	0.0427417	0.030078	0.0295517	0.0683281	0.0772129	0.0472891	0.0567753	0.0409754	0.129621
habits	0.0415165	0.0285992	0.0293669	0.0343546	0.0443676	0.0691952	0.0657466	0.0611734	0.0564871	0.0432782	0.0355929	0.0372005	0.0241591	0.0244562	0.0243301	0.0276589	0.027972	0.0294337	0.0263857	0.0300991	0.0334028	0.0297758	0.0315763	0.0229516	0.0308598	0.0900601
du	0.0196915	0.0228418	0.0183553	0.0213995	0.0240294	0.0216759	0.0237929	0.0257257	0.0301929	0.028418	0.0185941	0.0264998	0.0336644	0.0266335	0.0254283	0.0240727	0.0285946	0.0489682	0.0353022	0.0658116	0.0661733	0.0735591	0.0535622	0.0787255	0.0605205	0.0977673
mort	0.0309085	0.0378658	0.0474929	0.0544139	0.0606273	0.0495326	0.0305132	0.0249553	0.0263313	0.0247126	0.017751	0.0181812	0.0119127	0.00651161	0.00447676	0.00577969	0.00737621	0.00782173	0.0087807	0.0364082	0.0557566	0.0582669	0.030665	0.069028	0.109526	0.164404
</S>	0.0518838	0.0241511	0.0229379	0.019044	0.0203836	0.0312118	0.0350245	0.0317398	0.0227007	0.0194207	0.0138169	0.0111132	0.00920104	0.0128079	0.0107972	0.0195077	0.0211709	0.0309741	0.0293936	0.0359077	0.0479999	0.0664083	0.0892	0.0777855	0.116743	0.128675
