 	k	y	é	m	a	b	ó	l	á	a	b	v	a	m	b	á	s	á	i	b	v	u	m	á	</S>
le	0.0219132	0.0145389	0.0112316	0.00793259	0.0126449	0.0263676	0.0401263	0.0753183	0.0632314	0.0548689	0.0816425	0.118065	0.108134	0.0700029	0.0601293	0.0486543	0.0279041	0.0311463	0.0217127	0.0172392	0.0130508	0.0143074	0.0171767	0.0233094	0.0193522
singe	0.047948	0.101402	0.23446	0.212658	0.11756	0.0352557	0.0194034	0.0155457	0.0387616	0.0305759	0.0194003	0.0146516	0.0251036	0.0350203	0.0162805	0.0059318	0.00856628	0.00445492	0.00293169	0.00567852	0.00293215	0.00188177	0.00157122	0.00105242	0.000971786
est	0.0210737	0.0446894	0.0583003	0.0601421	0.0828834	0.0617679	0.0551128	0.0816259	0.0641686	0.0525093	0.0470316	0.0342221	0.0304396	0.0221014	0.0216301	0.03311	0.0588236	0.0274176	0.028293	0.0344171	0.0258104	0.0189829	0.0171443	0.0138551	0.00444787
en	0.0868568	0.131288	0.136206	0.135727	0.153463	0.0666561	0.0454426	0.0414085	0.023733	0.0206016	0.0197868	0.0184305	0.0151879	0.0073076	0.00610234	0.00672289	0.00985435	0.00787057	0.0123924	0.0110258	0.00978803	0.00491838	0.00588644	0.00695507	0.0163893
train	0.0576237	0.0546318	0.0674308	0.045676	0.0478847	0.0576037	0.0623154	0.086972	0.0645065	0.0389081	0.0300743	0.0244232	0.0109585	0.0115646	0.0152584	0.0182183	0.0267161	0.0190233	0.0340873	0.0215734	0.0388325	0.0346801	0.0349234	0.0383302	0.0577837
de	0.103897	0.0947283	0.0539826	0.0370353	0.0421161	0.0302519	0.0390639	0.0687299	0.096144	0.0973562	0.0504163	0.0391377	0.0399498	0.0138856	0.00692683	0.0051267	0.00438177	0.0041937	0.00421729	0.00264455	0.00668735	0.010181	0.0184081	0.0244294	0.106109
faire	0.115791	0.0684953	0.0562595	0.0558794	0.0526419	0.0417141	0.0418618	0.0412133	0.0373218	0.0206486	0.0174394	0.009252	0.0106181	0.0104301	0.0115358	0.0236783	0.0461483	0.036129	0.0429827	0.023302	0.0405858	0.0307535	0.0254292	0.0439167	0.0959726
tomber	0.0886236	0.0406771	0.0405729	0.0521886	0.0527756	0.0573478	0.0705779	0.0242177	0.0132007	0.0121335	0.00911342	0.00486785	0.00455088	0.00378825	0.0061058	0.00929764	0.0176633	0.0252466	0.046415	0.0315479	0.048079	0.0355821	0.0491791	0.0657773	0.19047
les	0.0442813	0.0348413	0.0348979	0.0427134	0.0434474	0.0332641	0.0334556	0.0193381	0.0172093	0.0171274	0.0138704	0.0125523	0.0111238	0.0109054	0.00971094	0.0106097	0.0151953	0.0176343	0.0386187	0.0280778	0.052263	0.0491186	0.0698958	0.0804781	0.25937
fruits	0.047656	0.0370973	0.036537	0.034128	0.0322329	0.024093	0.0160969	0.00776228	0.0093037	0.00663074	0.00562153	0.0045702	0.00474129	0.004934	0.00834232	0.0128528	0.0191553	0.0271515	0.0599669	0.0437762	0.0951086	0.0828563	0.108028	0.115092	0.156266
</S>	0.0581208	0.0435728	0.041559	0.0380868	0.0233011	0.0170801	0.017642	0.0156143	0.0125499	0.0101445	0.00696751	0.00504205	0.0048711	0.00465404	0.00601976	0.00989993	0.019867	0.0225953	0.0571389	0.0406826	0.0889244	0.0815035	0.101978	0.0970907	0.175094
