 	e	t	o	n	g	o	y	á	m	b	í	a	y	é	é	m	i	s	á	á	o	w	o	n	g	a	</S>
ce	0.00850436	0.0109385	0.0125404	0.0151708	0.024757	0.0262418	0.0240499	0.0369007	0.0519021	0.080527	0.0828812	0.0796739	0.123552	0.096788	0.0522381	0.0198038	0.0113417	0.0201509	0.0214528	0.024401	0.0304908	0.0227248	0.0286073	0.024504	0.0304697	0.024321	0.0150663
régime	0.024377	0.087463	0.0902387	0.0907487	0.0844043	0.0300516	0.0189804	0.0500624	0.0300392	0.0166014	0.0138685	0.016853	0.0171859	0.0372648	0.0496597	0.0457685	0.0415435	0.0815418	0.0339238	0.0397852	0.0486689	0.0122177	0.0188915	0.00544067	0.00833552	0.00314511	0.00293937
de	0.0987315	0.111303	0.0581655	0.0412833	0.0492544	0.0203608	0.0116842	0.0341262	0.024631	0.0318951	0.0207505	0.0184787	0.0161602	0.0276078	0.0254382	0.0446154	0.0681548	0.0462224	0.0478256	0.0305006	0.0490244	0.0246135	0.0153262	0.0171797	0.0212718	0.0245225	0.0208726
noix	0.0435808	0.0794155	0.101093	0.121766	0.119878	0.105625	0.0956153	0.0523841	0.0493943	0.0352895	0.0187533	0.0157017	0.0136894	0.00655465	0.00530689	0.00527767	0.00831333	0.0103608	0.00787093	0.0102595	0.00803361	0.0138559	0.00511513	0.00821705	0.0103585	0.0099306	0.0383601
de	0.0894212	0.0893786	0.0758754	0.0682746	0.0625115	0.023527	0.0180005	0.0233276	0.0194863	0.0222581	0.0175099	0.0272757	0.0182379	0.0132124	0.0238009	0.0361022	0.0354382	0.0279044	0.0220133	0.0188562	0.0225605	0.0264045	0.0185066	0.022644	0.0263997	0.0315738	0.119499
palme	0.0603531	0.0730599	0.050535	0.0375793	0.0427894	0.0294247	0.0175085	0.0196268	0.0191961	0.0263002	0.012687	0.012445	0.00919996	0.00773793	0.0126752	0.0207125	0.053142	0.0412629	0.0487885	0.0307982	0.0427828	0.0228792	0.037502	0.0280073	0.04279	0.0704095	0.129807
s'	0.0772376	0.0662925	0.0424874	0.0202228	0.0123778	0.00827696	0.00768626	0.0118056	0.0142454	0.0164243	0.0136114	0.015893	0.0127151	0.0113267	0.0248848	0.050484	0.06726	0.0593593	0.0631574	0.0390258	0.0404204	0.0149026	0.0360745	0.0284006	0.0347184	0.065798	0.144911
est	0.189633	0.124649	0.0599458	0.0251054	0.0134232	0.00732266	0.00635723	0.00982879	0.0111665	0.0112056	0.0116056	0.0187833	0.0161604	0.0126106	0.015188	0.0297526	0.0210173	0.0184277	0.0224255	0.0272692	0.0204389	0.0126351	0.0148245	0.0193328	0.0352313	0.0625297	0.18313
déjà	0.1633	0.107376	0.0450756	0.0204819	0.0128265	0.00486753	0.00505706	0.00580449	0.0079603	0.0106877	0.00962437	0.0127505	0.0105604	0.0104395	0.0103691	0.0220187	0.0137368	0.0138952	0.0181253	0.0277671	0.0255084	0.00838867	0.020253	0.0243042	0.0545271	0.082237	0.252058
gâté	0.107811	0.0817868	0.0638945	0.0469312	0.0290188	0.013759	0.00773836	0.00826039	0.00986703	0.00959003	0.0109177	0.010702	0.006316	0.00516988	0.00335568	0.0122945	0.0122476	0.018356	0.0172552	0.0266308	0.0502301	0.0187506	0.0432301	0.0345395	0.0566072	0.0824323	0.212308
</S>	0.116124	0.0964322	0.0713715	0.0594163	0.0405452	0.0227298	0.00961581	0.0125102	0.0183649	0.0144482	0.0121824	0.00860227	0.00428226	0.00407608	0.00408782	0.0127485	0.0107392	0.0196373	0.0136459	0.0222272	0.046446	0.0118402	0.0429352	0.0249182	0.0388507	0.0606008	0.200623
