 	i	b	h	ω	y	i	l	á	a	y	é	m	b	á	b	v	a	n	g	a	l	i	l	ε	m	b	í	b	v	a	n	g	a	o	b	v	έ	</S>
ibhoyi	0.101235	0.0455419	0.0190765	0.0130744	0.0223097	0.0223815	0.0155549	0.0228186	0.0209478	0.0322294	0.0334356	0.0439461	0.0429279	0.0417706	0.0468361	0.0330782	0.0225619	0.0190989	0.0217296	0.0181383	0.0204352	0.0129503	0.012387	0.0149568	0.0158524	0.0191253	0.0175407	0.0205493	0.0266855	0.0224555	0.0227669	0.0303292	0.0195507	0.021461	0.0179736	0.0269776	0.0217547	0.0175559
chante	0.0147939	0.0360774	0.0550048	0.0775258	0.0787037	0.0840632	0.0577312	0.0664991	0.0532423	0.0421496	0.0193242	0.0144673	0.00560869	0.00777192	0.00829288	0.0040687	0.0078694	0.00616232	0.0119135	0.0148992	0.0195382	0.0278458	0.037529	0.0386108	0.0346202	0.0290938	0.019244	0.0179892	0.0146629	0.0123663	0.0127818	0.0103822	0.0108327	0.0156677	0.0163419	0.00727933	0.00450333	0.00454174
doucement	0.0162709	0.0391329	0.0531139	0.0381843	0.0273316	0.0228828	0.0207913	0.0303276	0.0253556	0.0194453	0.0173653	0.0353731	0.0584174	0.063556	0.0582394	0.0430959	0.0191811	0.0264528	0.0227448	0.0223569	0.0198095	0.0185816	0.0198442	0.0222348	0.0248124	0.0212335	0.0194749	0.0228031	0.0203736	0.0187711	0.0193156	0.0217022	0.0172477	0.0162312	0.0179442	0.0138643	0.0213327	0.00480416
et	0.0204466	0.0414148	0.0476482	0.0470425	0.0434694	0.0331748	0.0258263	0.0293353	0.0276379	0.0153111	0.0211927	0.0288809	0.0336837	0.0307774	0.0342087	0.0385818	0.0276054	0.0202796	0.0221522	0.029604	0.0271271	0.0234442	0.0246103	0.0211924	0.0205214	0.0191095	0.0175606	0.0150496	0.0194657	0.0220383	0.0219257	0.025896	0.0178434	0.0294187	0.0191166	0.0182858	0.0157129	0.0234084
cela	0.0132007	0.0177824	0.0216831	0.0262128	0.0223523	0.0162344	0.014533	0.0126914	0.0130523	0.0122954	0.0111092	0.0139187	0.0222358	0.018061	0.0192791	0.0278589	0.0300038	0.0374828	0.0336754	0.0347373	0.0349636	0.0412446	0.0381869	0.0258625	0.026305	0.0245816	0.0191726	0.0182076	0.0237054	0.025103	0.0212537	0.0218406	0.0264437	0.0408912	0.0485601	0.0604515	0.0366857	0.0481411
fait	0.029956	0.027177	0.0276818	0.0266467	0.0344839	0.0308118	0.0336574	0.0252517	0.0227826	0.0154669	0.010116	0.0110047	0.0118919	0.013046	0.0140124	0.0242207	0.0294395	0.0344616	0.0273823	0.0398376	0.0347704	0.036973	0.0429003	0.0341457	0.0325562	0.0295087	0.0306585	0.021667	0.0256929	0.026134	0.0223477	0.0162402	0.017119	0.0193793	0.0176145	0.0217621	0.0226781	0.0585238
un	0.0320572	0.0289782	0.0300987	0.0302106	0.0328407	0.0290482	0.0240518	0.0232267	0.0290581	0.0251563	0.0161013	0.0155084	0.0151923	0.0205491	0.0246073	0.0226522	0.0314283	0.0394116	0.0357619	0.0335173	0.0297412	0.0342779	0.0305376	0.0257157	0.0250624	0.0219221	0.0179491	0.0184426	0.017921	0.0178654	0.0190713	0.0181481	0.0172464	0.0174348	0.0213107	0.0251681	0.0297186	0.073011
beau	0.0369251	0.0355057	0.0397834	0.0404614	0.0316866	0.0283904	0.0185064	0.0118905	0.0125596	0.0109148	0.0139528	0.0159722	0.0154565	0.0144516	0.0152799	0.0123672	0.0143635	0.0206752	0.0271293	0.0245504	0.0220469	0.0248786	0.0241005	0.0276059	0.0325988	0.0254407	0.0181175	0.0276888	0.0263061	0.0232567	0.0241309	0.0200976	0.0157936	0.0346169	0.0373214	0.037439	0.0597001	0.0780374
chant	0.0236958	0.0278216	0.0304459	0.028986	0.0204873	0.0141357	0.011056	0.00905904	0.006075	0.00554842	0.00504221	0.0063619	0.00779648	0.00722787	0.00807047	0.0132992	0.0146648	0.0299447	0.0388997	0.0373325	0.0376601	0.040315	0.032258	0.0276491	0.0371794	0.0293242	0.0250139	0.0277326	0.0270382	0.0226593	0.022375	0.0227098	0.0203107	0.0343917	0.0417325	0.048848	0.0603409	0.0965112
</S>	0.0396991	0.0213927	0.0197578	0.0153299	0.00962451	0.00781855	0.0073263	0.00719847	0.00683739	0.00645407	0.00435724	0.00441591	0.00571041	0.00727817	0.0119511	0.0232408	0.0226375	0.0337773	0.0318406	0.0305236	0.0299095	0.0435887	0.0286922	0.0246614	0.022847	0.0206015	0.0190099	0.0272847	0.0266878	0.0272828	0.0332363	0.0330616	0.0353963	0.0324519	0.0410976	0.0547696	0.0660041	0.116246
