 	o	y	ú	r	u	w	ó	á	m	i	d	u	m	á	n	d	é	e	t	s	í	n	a	o	l	ó	m	i	y	a	w	a	a	d	í	e	b	a	n	i	i	</S>
cette	0.00451899	0.00446575	0.0041262	0.00777829	0.0111808	0.0098046	0.00438236	0.00853671	0.0100538	0.0130788	0.0127081	0.0231693	0.0286608	0.0376169	0.0415618	0.0801169	0.038678	0.0336207	0.0197654	0.0203011	0.025289	0.0398769	0.0215834	0.0302508	0.0229707	0.0181916	0.0193259	0.01479	0.0224058	0.0235863	0.0179139	0.0198912	0.014393	0.0261737	0.027351	0.0315817	0.0318918	0.0273121	0.0359464	0.0417504	0.0401335	0.0332659
femme	0.0728714	0.11714	0.131732	0.153357	0.0658633	0.0122156	0.0102424	0.0148757	0.0381408	0.0110449	0.0138545	0.0283073	0.0363325	0.0459591	0.0368513	0.00853452	0.00909531	0.00504657	0.0032119	0.00256091	0.00684868	0.00873125	0.00956677	0.00390491	0.00553368	0.0111794	0.00311313	0.00422904	0.00764971	0.00598828	0.00474739	0.00655213	0.00397376	0.00744373	0.00381883	0.0152164	0.0216886	0.0149841	0.0156636	0.0143647	0.00518975	0.00237519
a	0.0606003	0.0536212	0.0469669	0.025863	0.0286638	0.026337	0.0608977	0.0608017	0.0244547	0.0128152	0.0119354	0.0196687	0.022698	0.0251737	0.0317503	0.0171144	0.0324695	0.032949	0.0224265	0.025687	0.0165372	0.0164784	0.0160131	0.0113954	0.0128602	0.0159895	0.0121766	0.0126567	0.0123935	0.0133567	0.0111059	0.0110813	0.0142479	0.0238838	0.0277183	0.0158858	0.0227538	0.00683992	0.0175158	0.0276408	0.0214272	0.0171484
abandonné	0.0165693	0.0265053	0.0436512	0.0489359	0.0320031	0.0181778	0.0178462	0.0194195	0.00911988	0.00720816	0.00497894	0.00429422	0.0115597	0.0256505	0.0528288	0.0750269	0.096218	0.075577	0.0447538	0.0293706	0.0328578	0.0278359	0.0178523	0.0140145	0.0144155	0.014074	0.0104726	0.010862	0.00641354	0.00785475	0.00711275	0.00927313	0.0128725	0.00890676	0.00660524	0.0104997	0.0205817	0.0147728	0.0222269	0.0314479	0.0170324	0.0223209
son	0.0317717	0.0339623	0.0322494	0.0219246	0.0140272	0.011557	0.01214	0.0124122	0.0108362	0.0147372	0.0171383	0.0103237	0.0184325	0.018738	0.0267013	0.0576689	0.0660518	0.0416734	0.0238352	0.0245098	0.0312144	0.0270196	0.0248433	0.0238485	0.0273179	0.0260985	0.0234661	0.0198158	0.0163638	0.0165797	0.0186502	0.0212069	0.0337744	0.0136064	0.0117941	0.0100779	0.0223798	0.0105537	0.0301408	0.0282562	0.0245453	0.0377558
foyer	0.0149083	0.0131198	0.0105769	0.0111746	0.00967547	0.00685733	0.00781357	0.00879954	0.00816612	0.00700701	0.00553437	0.00699592	0.00986549	0.010466	0.0206068	0.0248837	0.0222836	0.0175873	0.00840264	0.0161489	0.0368872	0.0390332	0.0406406	0.045178	0.0433724	0.0437901	0.0403155	0.0387037	0.0371072	0.0268227	0.0301119	0.0292014	0.0359636	0.0470996	0.0378117	0.0294091	0.0328301	0.0200523	0.0348514	0.0149196	0.0227805	0.0322449
conjugal	0.0326302	0.0321085	0.0290124	0.0313793	0.0285551	0.0172825	0.0208781	0.0175836	0.0186181	0.0174526	0.0155147	0.0197913	0.0392586	0.0372852	0.042456	0.0403671	0.0299181	0.0229857	0.0102381	0.0146893	0.031161	0.0386422	0.0313161	0.0286485	0.0321624	0.0295279	0.0290522	0.0253228	0.0172779	0.0136484	0.00802255	0.0045182	0.00396258	0.00751593	0.00312592	0.00864895	0.0141547	0.0164557	0.017078	0.0169976	0.0471187	0.0576375
parce	0.0517994	0.0551048	0.0431205	0.0358098	0.0254567	0.020613	0.019339	0.0195589	0.0119401	0.0153192	0.0216657	0.0087704	0.0145836	0.0172835	0.0330063	0.0319593	0.0469343	0.0682592	0.0512661	0.0471496	0.0459999	0.0439261	0.0398416	0.0278591	0.0305883	0.0287227	0.0266422	0.0214347	0.0131535	0.0151195	0.00592083	0.00485265	0.00582626	0.00498518	0.00501403	0.00691395	0.00507833	0.00342386	0.00259525	0.0022022	0.00354112	0.0174194
que	0.0611713	0.0514965	0.0445343	0.0321429	0.0173312	0.0146758	0.0139433	0.00932859	0.00581075	0.0082966	0.00661318	0.00516581	0.00518849	0.00608478	0.0123062	0.0122204	0.0232052	0.0347984	0.0288725	0.0269069	0.0297264	0.0347503	0.0371577	0.0298121	0.0296496	0.0267605	0.0296827	0.0252857	0.0183085	0.0212558	0.0154724	0.0191238	0.0341083	0.0135247	0.0173599	0.0251734	0.0347693	0.0213072	0.0369377	0.0151792	0.0251014	0.03946
son	0.0421979	0.0369472	0.0303804	0.0151951	0.0104671	0.0125323	0.00813711	0.00634765	0.00445693	0.00799032	0.0075021	0.00500693	0.00765542	0.00606741	0.0138795	0.0190623	0.030018	0.0360576	0.0279133	0.0332531	0.0335861	0.0308838	0.0448839	0.0382466	0.0437328	0.0440393	0.0507563	0.0392163	0.0221197	0.030948	0.0200317	0.024562	0.0435386	0.0198836	0.0241668	0.0183765	0.0138702	0.0113685	0.0198714	0.0189904	0.0146128	0.0312469
mari	0.050096	0.0411724	0.0385367	0.0409645	0.030566	0.0236478	0.0160529	0.0119115	0.00734154	0.00877181	0.0106452	0.00609188	0.0102123	0.00873165	0.01666	0.028691	0.0409945	0.0468904	0.043108	0.0392699	0.0420803	0.0348384	0.0304512	0.0220603	0.0375252	0.0349165	0.0357999	0.0301318	0.0234006	0.0217001	0.00873027	0.0108538	0.0104969	0.00766709	0.00682559	0.0108114	0.00937086	0.0157483	0.0168514	0.0119444	0.0229979	0.0344419
est	0.105073	0.0888846	0.0770093	0.0473004	0.0281488	0.0217094	0.0143828	0.010195	0.00602999	0.00520107	0.00692651	0.00356423	0.0074928	0.0079584	0.0203394	0.0324735	0.0572155	0.0586585	0.0343384	0.0228026	0.0309658	0.0243504	0.0173682	0.0106714	0.0268803	0.0238048	0.02039	0.017754	0.0128192	0.0108001	0.00376175	0.00692075	0.00525443	0.00416591	0.00473425	0.00487571	0.00581611	0.00979871	0.00822113	0.0135368	0.0214559	0.0599499
