 	o	l	ó	m	i	y	a	n	g	á	w	á	á	a	n	y	w	é	a	l	ω	i	l	á	a	y	a	á	l	e	b	h	ó	o	</S>
lorsque	0.0202719	0.0186582	0.0163105	0.0184826	0.0136982	0.0224013	0.018181	0.0308206	0.0276721	0.0091384	0.0144008	0.0305027	0.0230938	0.0336573	0.0153415	0.015603	0.0142521	0.019219	0.0336588	0.0262493	0.0222811	0.0388273	0.0346395	0.026166	0.0334854	0.0420565	0.0547924	0.0592633	0.0375075	0.0566524	0.0384051	0.0433158	0.03224	0.0338376	0.0249171
mon	0.0286669	0.0341448	0.0225524	0.0234292	0.0135902	0.0235776	0.0436479	0.0409135	0.0739453	0.0416931	0.0503073	0.0226276	0.0252169	0.0218813	0.0330509	0.0272116	0.0371458	0.0408482	0.0550103	0.0369996	0.0356186	0.0468535	0.0297904	0.0448524	0.0433727	0.0268625	0.00692209	0.0223897	0.0133597	0.0103324	0.00727827	0.00297494	0.00355892	0.00367568	0.00569773
mari	0.00987795	0.0054647	0.00948861	0.0092473	0.00798432	0.0183034	0.0129488	0.00713265	0.0148643	0.00647147	0.0198321	0.0234529	0.0163588	0.0157407	0.0220065	0.00958945	0.0260224	0.0110896	0.0316555	0.0590671	0.042975	0.112149	0.0799432	0.0752162	0.0625702	0.0552847	0.0357901	0.0401901	0.0317205	0.0302799	0.0219723	0.0269064	0.0182678	0.0196984	0.0104375
boit	0.0592855	0.0660189	0.0731534	0.0745168	0.0920542	0.0708019	0.0350077	0.0283599	0.0258182	0.0252194	0.0279304	0.0233565	0.00954085	0.00733191	0.00631901	0.0101275	0.0159955	0.0191396	0.0360639	0.0374821	0.0180586	0.0137802	0.015307	0.0151986	0.0113487	0.0114969	0.00996873	0.00912477	0.00882422	0.0120916	0.00954266	0.0189932	0.0188537	0.0308496	0.0530383
du	0.0189948	0.036794	0.0458941	0.0478661	0.0893605	0.065914	0.0654973	0.0598654	0.0769673	0.0438947	0.0343239	0.0328352	0.0212835	0.00930059	0.00484192	0.00520147	0.00355306	0.00451497	0.00882608	0.0175352	0.0171264	0.0133672	0.0234068	0.0130206	0.0125895	0.014238	0.0193583	0.0109608	0.0145084	0.0218926	0.0221023	0.0229177	0.0242168	0.0258727	0.0511576
vin	0.0351759	0.0489403	0.0572701	0.0452448	0.0597834	0.039673	0.0308194	0.0236941	0.0293135	0.0172901	0.0247467	0.0132845	0.0191213	0.0128994	0.0204635	0.0249969	0.019142	0.0202687	0.0193932	0.0215049	0.0309243	0.0294392	0.0306969	0.0339304	0.0276877	0.0183045	0.0221085	0.0194806	0.0163463	0.0145797	0.0167516	0.0245769	0.0270943	0.039918	0.0651354
il	0.0681636	0.0566565	0.0579704	0.0613683	0.0846738	0.0671031	0.057111	0.0516949	0.0546813	0.0366594	0.0299165	0.0261422	0.0341315	0.014423	0.0169159	0.02131	0.0151007	0.0111586	0.0190995	0.0231439	0.0126193	0.00708044	0.0160581	0.0104523	0.0104476	0.00490416	0.00832231	0.00544049	0.00343935	0.00853291	0.00647148	0.0116843	0.0142234	0.0201251	0.0527747
devient	0.0578198	0.0448621	0.0359211	0.0264622	0.0209247	0.012995	0.009577	0.00964081	0.0114112	0.0106362	0.00989909	0.0154386	0.0135807	0.012643	0.0137058	0.0229872	0.0200389	0.0124848	0.0147247	0.0167052	0.0309133	0.017068	0.0191298	0.0212394	0.0220907	0.0189711	0.0311488	0.0221088	0.0195783	0.0430928	0.0447922	0.0700215	0.069553	0.0666765	0.111158
toujours	0.0879605	0.0640768	0.0623132	0.0414792	0.0420463	0.0227306	0.0211766	0.0153732	0.019358	0.0135402	0.0137951	0.0120474	0.015967	0.0111624	0.0149692	0.0180086	0.0228627	0.013665	0.0133567	0.0184981	0.0113892	0.0115541	0.00991282	0.00938751	0.0110402	0.0139737	0.0255393	0.0163165	0.011728	0.0270057	0.0210659	0.0503452	0.0639221	0.0675599	0.104873
étourdi	0.0981724	0.0503485	0.0448995	0.0403786	0.0391288	0.0333479	0.0259066	0.0189846	0.0195486	0.0185779	0.0121971	0.0169661	0.0169969	0.00620454	0.0103061	0.00914262	0.00943856	0.00611323	0.0171845	0.0195693	0.00484555	0.0100851	0.0119586	0.00663827	0.0104972	0.0151895	0.0182781	0.0109711	0.0113745	0.0295742	0.0200243	0.0541241	0.0655155	0.077577	0.139935
</S>	0.0788784	0.0440737	0.0370487	0.0320762	0.0212318	0.0165002	0.0123785	0.0100312	0.0104549	0.0115401	0.0069967	0.0110494	0.0115203	0.00678782	0.0124662	0.00912305	0.00907031	0.00686455	0.011469	0.0127806	0.00718789	0.0118291	0.0122132	0.00685446	0.0103316	0.016897	0.0282393	0.0171085	0.0205376	0.0419808	0.0417464	0.0782494	0.101007	0.0859187	0.147558
