 	n	g	ó	o	y	a	b	í	s	í	á	p	i	i	i	k	u	ú	n	u	s	é	d	u	b	h	u	l	u	</S>
notre	0.0290634	0.0193993	0.0245073	0.00661872	0.00629794	0.00835349	0.00529312	0.00941453	0.046875	0.0589645	0.254935	0.142657	0.0492716	0.0446426	0.0193824	0.0125703	0.00778516	0.0104661	0.0145682	0.0113546	0.0110221	0.02101	0.0245575	0.0264579	0.0266906	0.0251041	0.02212	0.0186378	0.0205779	0.0214021
mère	0.218981	0.10334	0.122465	0.232807	0.115309	0.0664664	0.0317064	0.0265345	0.014107	0.0226717	0.00293013	0.00696507	0.00926176	0.00291612	0.00307392	0.00128998	0.000991828	0.00121779	0.000955541	0.00150499	0.00137905	0.00188585	0.00332452	0.00220671	0.00240922	0.00134297	0.000874173	0.00054731	0.000328546	0.000207445
a	0.0145255	0.0116213	0.0190132	0.0138408	0.0150173	0.0251773	0.0252272	0.0450255	0.0494673	0.0867913	0.0415038	0.0763524	0.0547059	0.0307064	0.0425632	0.0364978	0.0371097	0.0329419	0.0499724	0.0514367	0.0314732	0.0414918	0.0360521	0.0287065	0.0252346	0.0209682	0.015383	0.0136539	0.0174468	0.010093
attrapé	0.0150944	0.0128148	0.0146731	0.0206053	0.0338761	0.0278416	0.033041	0.0251695	0.0565606	0.0295419	0.0496354	0.0369321	0.0614613	0.0443371	0.0435728	0.0272883	0.0354643	0.0381931	0.0294318	0.0253887	0.0322688	0.0241701	0.0258429	0.0276452	0.0253818	0.0297441	0.0316696	0.0400346	0.0501918	0.0521279
une	0.0703477	0.0376141	0.0367495	0.0433872	0.0400948	0.0290594	0.0293107	0.028266	0.0417598	0.0372431	0.051329	0.0412146	0.0498024	0.0374134	0.030015	0.0172229	0.0166853	0.0176707	0.00990423	0.00903603	0.0204367	0.0180524	0.016043	0.0180019	0.0206732	0.0288354	0.036576	0.0493996	0.0404232	0.0774327
grenouille	0.0235206	0.0142223	0.0125207	0.0187296	0.0205494	0.0137364	0.0126843	0.0150482	0.0208038	0.0184288	0.0186434	0.0237539	0.0322698	0.0361584	0.0206746	0.0215235	0.028356	0.0350625	0.0263216	0.0262484	0.0522481	0.0484697	0.0450159	0.0497387	0.0521364	0.061637	0.0515393	0.0590257	0.0604764	0.0804568
dans	0.0268717	0.013402	0.0112627	0.0158997	0.0198622	0.0194873	0.018688	0.0215529	0.0183343	0.015947	0.0143923	0.0114363	0.023823	0.0253468	0.0293961	0.0215904	0.0312187	0.0340963	0.0278776	0.0251818	0.054946	0.0264321	0.036063	0.0431641	0.0418972	0.0568406	0.068543	0.0746372	0.0745338	0.0972758
l'	0.0406533	0.0213598	0.0286031	0.0334058	0.0356119	0.0324822	0.0254945	0.0180845	0.0242623	0.00852541	0.0141874	0.00633901	0.0112983	0.018239	0.0173116	0.0133339	0.0147092	0.0197476	0.0182299	0.0204118	0.0357005	0.031121	0.0271312	0.0305294	0.0311937	0.04087	0.0552268	0.0796637	0.0866638	0.15961
étang	0.0206986	0.0138129	0.0170296	0.0205134	0.0184316	0.00792172	0.00598463	0.00462236	0.00590838	0.0021783	0.0032557	0.00150781	0.00300368	0.0126474	0.012618	0.0187007	0.0239487	0.0290033	0.0235377	0.0259772	0.0317395	0.0221482	0.0264103	0.0382359	0.0376709	0.0457577	0.0658625	0.104658	0.121209	0.235006
où	0.0419186	0.0250609	0.0268037	0.0354272	0.0320588	0.0239035	0.0162527	0.00916689	0.0106228	0.00356187	0.00644354	0.00252627	0.00437391	0.0104471	0.0162976	0.0146053	0.0276803	0.0246688	0.0232417	0.0251114	0.0399108	0.0230491	0.0349429	0.0375815	0.0290318	0.0349914	0.0485942	0.0848351	0.105274	0.181616
elle	0.036982	0.0235475	0.0228045	0.0347212	0.040685	0.0305637	0.021537	0.0125188	0.0144156	0.00658941	0.0108662	0.00557182	0.00734148	0.00952835	0.0111971	0.00972666	0.0139357	0.0152705	0.016934	0.0208747	0.0413893	0.0386201	0.0515821	0.0425171	0.0411489	0.0424973	0.0477849	0.0730541	0.0811698	0.174625
trempe	0.0486813	0.0347899	0.0359478	0.0435257	0.0313991	0.0131648	0.0114179	0.00618336	0.0103378	0.00340429	0.00500864	0.00357094	0.00672181	0.0153629	0.0140427	0.0152029	0.0240557	0.0220756	0.0171081	0.0177415	0.0250676	0.0162487	0.020733	0.0235365	0.0234459	0.0360001	0.053362	0.112837	0.124688	0.184339
le	0.0515289	0.0349798	0.0260266	0.0279258	0.0299979	0.023762	0.0203283	0.0153857	0.0213335	0.0067701	0.0127766	0.00305428	0.0032728	0.0114824	0.0111341	0.0108657	0.0144564	0.0177875	0.0205552	0.0253591	0.0469979	0.0448869	0.0512938	0.0446261	0.0456378	0.0469081	0.055937	0.073952	0.0751601	0.125818
manioc	0.033129	0.024654	0.0299613	0.0366403	0.037514	0.0182077	0.0137478	0.00740111	0.0103816	0.00323432	0.00504743	0.00240394	0.0029776	0.00951731	0.00870448	0.011355	0.0153676	0.0166052	0.013133	0.014432	0.0197073	0.0193958	0.0267651	0.0365327	0.0338781	0.0398347	0.0585381	0.102991	0.122566	0.225377
</S>	0.0509122	0.0374753	0.036301	0.0449083	0.0605594	0.0527892	0.0458031	0.0222589	0.0262041	0.0143659	0.0182691	0.00859668	0.00781214	0.008941	0.0146456	0.0182956	0.0305624	0.0281924	0.0312658	0.0338646	0.0513748	0.0188716	0.022999	0.0206353	0.0195991	0.0232579	0.0310434	0.0531834	0.066322	0.100691
